,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,5299,3451.9,3080.1,5980.6,3677.0,-1847.1,-2218.9,681.6,-1622.0,False,True,True
Alaska,224,219.4,127.5,47.4,,-4.6,-96.5,-176.6,,False,False,
Arizona,10036,7792.1,7013.1,9913.3,6931.0,-2243.9,-3022.9,-122.7,-3105.0,False,True,False
Arkansas,4010,3194.9,4007.9,3411.1,2278.0,-815.1,-2.1,-598.9,-1732.0,True,True,False
California,29707,24371.7,19932.6,47815.9,20181.0,-5335.3,-9774.4,18108.9,-9526.0,False,False,False
Colorado,5190,2442.1,2804.0,4327.7,2353.0,-2747.9,-2386.0,-862.3,-2837.0,True,True,False
Connecticut,6324,4634.7,4626.4,7327.5,4618.0,-1689.3,-1697.6,1003.5,-1706.0,False,True,False
Delaware,1128,811.3,783.1,1145.3,705.0,-303.7,-331.9,30.3,-410.0,False,True,False
District of Columbia,813,683.4,656.9,897.1,643.0,-129.6,-156.1,84.1,-170.0,False,True,False
Florida,22804,24966.9,19727.0,27477.5,18356.0,2162.9,-3077.0,4673.5,-4448.0,False,False,False
Georgia,11457,12056.9,8489.9,13053.9,9245.0,599.9,-2967.1,1596.9,-2212.0,False,False,False
Hawaii,307,310.3,200.2,177.6,,3.3,-106.8,-129.4,,False,False,
Idaho,1528,712.6,891.7,1403.8,727.0,-815.4,-636.3,-124.2,-801.0,True,True,True
Illinois,19210,11207.3,10330.3,16304.0,10430.0,-8002.7,-8879.7,-2906.0,-8780.0,False,True,False
Indiana,10089,4679.4,4462.2,7759.5,4512.0,-5396.6,-5613.8,-2316.5,-5564.0,False,True,False
Iowa,4127,2073.7,1867.8,2612.1,2138.0,-2053.3,-2259.2,-1514.9,-1989.0,False,True,True
Kansas,3141,1229.3,1413.9,4325.1,1055.0,-1911.7,-1727.1,1184.1,-2086.0,True,True,False
Kentucky,2876,1840.4,1765.0,4292.8,1748.0,-1035.6,-1111.0,1416.8,-1128.0,False,False,False
Louisiana,7833,6906.1,6225.3,8777.4,6800.0,-926.9,-1607.7,944.4,-1033.0,False,False,False
Maine,432,154.9,191.8,261.9,264.0,-277.1,-240.2,-170.1,-168.0,True,True,True
Maryland,6246,4767.0,4301.5,5950.7,4539.0,-1479.0,-1944.5,-295.3,-1707.0,False,True,False
Massachusetts,13074,10800.6,10820.1,13653.1,9956.0,-2273.4,-2253.9,579.1,-3118.0,True,True,False
Michigan,14145,8158.3,7790.7,10535.2,8223.0,-5986.7,-6354.3,-3609.8,-5922.0,False,True,True
Minnesota,5731,2698.9,2693.9,5427.8,2931.0,-3032.1,-3037.1,-303.2,-2800.0,False,True,True
Mississippi,5146,4538.4,3791.9,5110.4,3943.0,-607.6,-1354.1,-35.6,-1203.0,False,True,False
Missouri,6173,5425.6,3825.4,6116.7,2661.0,-718.4,-2318.6,-27.3,-3483.0,False,True,False
Montana,1054,410.7,758.4,790.8,408.0,-643.3,-295.6,-263.2,-646.0,True,True,False
Nebraska,1737,886.0,877.6,1931.3,798.0,-851.0,-859.4,194.3,-939.0,False,True,False
Nevada,3450,2387.3,2256.2,3765.4,2054.0,-1062.7,-1193.8,315.4,-1396.0,False,True,False
New Hampshire,862,453.9,476.2,808.4,472.0,-408.1,-385.8,-53.6,-390.0,True,True,True
New Jersey,19854,16685.4,16551.1,24262.8,16479.0,-3168.6,-3302.9,4408.8,-3375.0,False,False,False
New Mexico,2732,1182.0,1190.9,1998.7,1131.0,-1550.0,-1541.1,-733.3,-1601.0,True,True,False
New York,39471,33784.7,33447.4,39811.9,33508.0,-5524.3,-5861.6,502.9,-5801.0,False,True,False
North Carolina,7425,6382.7,6137.3,11343.6,5763.0,-1042.3,-1287.7,3918.6,-1662.0,False,False,False
