,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,5299,5209.0,5370.1,5016.9,5235.0,5250.5,5327.0,5320.0,5333.2,5543.0,5259.0,5398.0,5252.0,5165.5,5341.1,,5817.4,5238.0,5716.6,5384.1,5378.0,5380.4,5843.0,5208.0,5303.3,5380.0,5550.1,5429.5,5628.4,5324.0,,4979.3,5330.2,5409.0,5741.6,5133.0,5187.3,,5292.7,5578.9,5317.0,5102.9,5597.0,5019.0,5139.1,4697.3,5338.7,-90.0,71.1,-282.1,-64.0,-48.5,28.0,21.0,34.2,244.0,-40.0,99.0,-47.0,-133.5,42.1,,518.4,-61.0,417.6,85.1,79.0,81.4,544.0,-91.0,4.3,81.0,251.1,130.5,329.4,25.0,,-319.7,31.2,110.0,442.6,-166.0,-111.7,,-6.3,279.9,18.0,-196.1,298.0,-280.0,-159.9,-601.7,39.7,True,False,True,True,True,True,True,False,True,False,True,False,True,,False,True,False,True,True,True,False,False,True,True,False,False,False,True,,False,True,False,False,False,False,,True,False,True,False,False,False,False,False,True
Alaska,224,206.9,195.7,259.9,261.0,208.0,240.0,262.0,233.8,262.0,271.4,242.0,222.9,228.3,270.0,,290.0,,230.7,239.8,295.0,306.2,250.6,215.0,222.0,350.0,216.0,260.5,227.0,259.0,,,207.8,240.0,255.8,244.0,216.5,,297.9,236.0,232.0,214.7,227.0,228.0,335.3,210.2,250.3,-17.1,-28.3,35.9,37.0,-16.0,16.0,38.0,9.8,38.0,47.4,18.0,-1.1,4.3,46.0,,66.0,,6.7,15.8,71.0,82.2,26.6,-9.0,-2.0,126.0,-8.0,36.5,3.0,35.0,,,-16.2,16.0,31.8,20.0,-7.5,,73.9,12.0,8.0,-9.3,3.0,4.0,111.3,-13.8,26.3,False,False,False,True,True,False,True,False,False,False,True,True,False,,False,,True,True,False,False,False,True,True,False,True,False,True,False,,,True,True,False,False,True,,False,True,True,True,True,True,False,True,False
Arizona,10036,9725.3,10609.9,10652.5,9903.0,9782.2,9865.0,9639.0,9771.3,9854.0,9080.8,9426.0,9912.8,10023.1,9871.0,,9652.7,9860.0,10042.4,9589.1,9734.0,10414.8,9869.6,11159.5,9803.3,9872.0,9878.3,10146.5,9888.3,9517.5,,9102.7,10834.7,10039.0,11324.8,9728.0,9613.6,,9156.2,9956.3,9730.0,9878.3,10329.0,10611.0,9458.9,8299.6,9973.0,-310.7,573.9,616.5,-133.0,-253.8,-171.0,-397.0,-264.7,-182.0,-955.2,-610.0,-123.2,-12.9,-165.0,,-383.3,-176.0,6.4,-446.9,-302.0,378.8,-166.4,1123.5,-232.7,-164.0,-157.7,110.5,-147.7,-518.5,,-933.3,798.7,3.0,1288.8,-308.0,-422.4,,-879.8,-79.7,-306.0,-157.7,293.0,575.0,-577.1,-1736.4,-63.0,False,False,True,True,True,False,True,True,False,False,True,True,True,,False,True,True,False,True,False,True,False,True,True,True,True,True,False,,False,False,True,False,True,False,,False,True,True,True,True,False,False,False,True
Arkansas,4010,4071.3,3949.8,4405.3,4078.0,4031.0,4084.0,3722.0,4005.5,4157.0,3690.1,3885.0,3858.1,3968.1,4227.4,,3452.3,4158.0,4173.6,3974.5,4027.0,3927.7,4138.2,4470.0,4161.5,3960.0,4061.1,4278.1,4116.9,4027.0,,4023.1,4182.8,4083.0,4011.9,3984.0,3951.0,,3734.4,4100.8,4085.0,4022.6,4193.0,4237.5,5025.2,3499.4,3938.7,61.3,-60.2,395.3,68.0,21.0,74.0,-288.0,-4.5,147.0,-319.9,-125.0,-151.9,-41.9,217.4,,-557.7,148.0,163.6,-35.5,17.0,-82.3,128.2,460.0,151.5,-50.0,51.1,268.1,106.9,17.0,,13.1,172.8,73.0,1.9,-26.0,-59.0,,-275.6,90.8,75.0,12.6,183.0,227.5,1015.2,-510.6,-71.3,True,False,False,True,False,False,True,False,False,False,False,True,False,,False,False,False,True,True,False,False,False,False,True,True,False,False,True,,True,False,False,True,True,True,,False,False,False,True,False,False,False,False,False
California,29707,27346.4,29145.0,30319.6,30515.0,27454.4,29233.0,27976.0,29625.8,33528.0,27578.9,29750.0,26946.2,29305.6,30250.0,,29331.2,27472.0,30190.4,32826.4,26576.0,30586.0,30274.4,33198.5,30019.2,28658.0,28391.0,29092.5,29712.6,25858.5,,25552.4,28532.3,29233.0,32918.7,27311.0,27250.4,29028.0,28333.3,28532.8,29724.0,29550.4,30851.0,30747.0,,23706.3,29014.1,-2358.6,-560.0,614.6,810.0,-2250.6,-472.0,-1729.0,-79.2,3823.0,-2126.1,45.0,-2758.8,-399.4,545.0,,-373.8,-2233.0,485.4,3121.4,-3129.0,881.0,569.4,3493.5,314.2,-1047.0,-1314.0,-612.5,7.6,-3846.5,,-4152.6,-1172.7,-472.0,3213.7,-2394.0,-2454.6,-677.0,-1371.7,-1172.2,19.0,-154.6,1146.0,1042.0,,-5998.7,-690.9,True,True,True,True,True,True,True,False,True,True,False,True,True,,True,True,True,False,False,True,True,False,True,True,True,True,True,False,,False,True,True,False,False,False,True,True,True,True,True,True,True,,False,True
Colorado,5190,5539.4,5393.5,6082.9,5557.0,5742.8,5577.0,4989.0,5502.8,5573.0,5319.7,5250.0,5550.8,5227.6,5778.2,,5574.5,5771.0,5695.3,4995.1,6007.0,5591.9,5436.9,5530.0,5645.1,5848.0,5668.4,6096.6,5589.6,5850.0,,5313.0,5779.3,5462.0,4747.8,5209.0,5392.0,,5962.3,5698.8,5166.0,5866.2,5508.0,5891.5,7065.3,4622.2,4810.9,349.4,203.5,892.9,367.0,552.8,387.0,-201.0,312.8,383.0,129.7,60.0,360.8,37.6,588.2,,384.5,581.0,505.3,-194.9,817.0,401.9,246.9,340.0,455.1,658.0,478.4,906.6,399.6,660.0,,123.0,589.3,272.0,-442.2,19.0,202.0,,772.3,508.8,-24.0,676.2,318.0,701.5,1875.3,-567.8,-379.1,True,False,False,False,False,True,True,False,True,True,False,True,False,,False,False,False,True,False,False,True,True,False,False,False,False,False,False,,True,False,True,False,True,True,,False,False,True,False,True,False,False,False,False
Connecticut,6324,6203.9,6053.5,6186.7,6293.0,6235.1,6372.0,6236.0,6292.1,6542.0,6377.8,6086.0,6464.0,6196.8,6492.9,,6463.5,6345.0,6494.2,6442.3,6463.0,6603.3,6342.2,6263.0,6145.8,6442.0,6558.9,6514.2,6190.7,6383.5,,6091.8,5941.8,6414.0,6256.2,5782.0,6004.1,,6365.5,6579.8,6272.0,6402.2,6379.0,6229.0,6451.2,5661.3,6267.8,-120.1,-270.5,-137.3,-31.0,-88.9,48.0,-88.0,-31.9,218.0,53.8,-238.0,140.0,-127.2,168.9,,139.5,21.0,170.2,118.3,139.0,279.3,18.2,-61.0,-178.2,118.0,234.9,190.2,-133.3,59.5,,-232.2,-382.2,90.0,-67.8,-542.0,-319.9,,41.5,255.8,-52.0,78.2,55.0,-95.0,127.2,-662.7,-56.2,False,False,True,True,True,True,True,False,True,False,False,False,False,,False,True,False,True,False,False,True,True,False,True,False,False,False,True,,False,False,True,True,False,False,,True,False,True,True,True,True,False,False,True
Delaware,1128,993.4,989.0,1045.6,993.0,987.0,996.0,973.0,995.7,993.0,929.3,989.0,1007.2,999.1,1046.0,,954.7,1022.0,994.6,963.8,1029.0,1082.8,1039.8,968.0,976.0,1038.0,1005.4,1025.5,993.2,928.0,,,997.1,1004.0,1104.4,971.0,980.9,,989.2,1043.0,999.0,927.9,1023.0,1011.0,952.2,889.8,994.0,-30.6,-35.0,21.6,-31.0,-37.0,-28.0,-51.0,-28.3,-31.0,-94.7,-35.0,-16.8,-24.9,22.0,,-69.3,-2.0,-29.4,-60.2,5.0,58.8,15.8,-56.0,-48.0,14.0,-18.6,1.5,-30.8,-96.0,,,-26.9,-20.0,80.4,-53.0,-43.1,,-34.8,19.0,-25.0,-96.1,-1.0,-13.0,-71.8,-134.2,-30.0,False,True,False,False,True,False,True,False,False,False,True,True,True,,False,True,True,False,True,False,True,False,False,True,True,True,False,False,,,True,True,False,False,False,,False,True,True,False,True,True,False,False,True
District of Columbia,813,799.9,917.0,792.5,792.0,781.0,798.0,801.0,798.2,800.0,798.8,790.0,843.3,800.9,814.6,,784.6,779.0,802.5,790.0,790.0,845.7,814.2,795.0,793.6,827.0,,,794.2,761.0,,,797.9,803.0,839.5,808.0,765.9,,826.1,,801.0,,793.0,822.0,793.4,744.7,826.3,-13.1,104.0,-20.5,-21.0,-32.0,-15.0,-12.0,-14.8,-13.0,-14.2,-23.0,30.3,-12.1,1.6,,-28.4,-34.0,-10.5,-23.0,-23.0,32.7,1.2,-18.0,-19.4,14.0,,,-18.8,-52.0,,,-15.1,-10.0,26.5,-5.0,-47.1,,13.1,,-12.0,,-20.0,9.0,-19.6,-68.3,13.3,False,False,False,False,False,True,False,True,False,False,False,True,True,,False,False,True,False,False,False,True,False,False,False,,,False,False,,,False,True,False,True,False,,True,,True,,False,True,False,False,False
Florida,22804,22573.7,22227.5,22583.3,23078.0,22536.9,22968.0,22398.0,23082.5,23278.0,22916.3,22501.0,23018.2,22701.4,23471.2,,23550.5,22400.0,23109.6,22818.4,23364.0,26015.3,23256.3,22675.0,23057.1,23372.0,23251.0,23289.3,23053.9,23934.5,,22693.1,22383.2,23026.0,25203.8,23202.0,22323.3,,22356.1,23264.5,23019.0,21948.0,22868.0,23450.0,,21504.8,22953.0,-230.3,-576.5,-220.7,274.0,-267.1,164.0,-406.0,278.5,474.0,112.3,-303.0,214.2,-102.6,667.2,,746.5,-404.0,305.6,14.4,560.0,3211.3,452.3,-129.0,253.1,568.0,447.0,485.3,249.9,1130.5,,-110.9,-420.8,222.0,2399.8,398.0,-480.7,,-447.9,460.5,215.0,-856.0,64.0,646.0,,-1299.2,149.0,False,True,False,False,True,False,False,False,True,False,True,True,False,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,True,False,True,False,False,False,,False,False,True,False,True,False,,False,True
