,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Algeria,1549,1557.6,1557.8,1550.0,8.6,8.8,1.0,False,True
Argentina,9739,9718.7,9596.8,9473.9,-20.3,-142.2,-265.1,False,False
Australia,753,767.7,731.3,660.8,14.7,-21.7,-92.2,False,False
Austria,735,733.9,736.8,737.9,-1.1,1.8,2.9,False,False
Bangladesh,4447,4511.1,4487.4,4455.4,64.1,40.4,8.4,True,True
Belarus,705,705.1,699.2,696.5,0.1,-5.8,-8.5,False,False
Belgium,9906,9810.0,9921.5,10152.7,-96.0,15.5,246.7,True,False
Bolivia,5398,5357.7,5330.6,5133.6,-40.3,-67.4,-264.4,False,False
Brazil,126203,126042.9,126054.6,127430.4,-160.1,-148.4,1227.4,True,False
Bulgaria,671,671.3,663.6,616.7,0.3,-7.4,-54.3,False,False
Canada,9192,9202.6,9198.4,9106.9,10.6,6.4,-85.1,True,False
Chile,11551,11580.0,11564.1,11442.7,29.0,13.1,-108.3,True,False
Colombia,21156,21117.6,21068.4,21139.0,-38.4,-87.6,-17.0,False,True
Croatia,197,195.1,193.8,187.0,-1.9,-3.2,-10.0,False,False
Cuba,100,96.6,97.5,90.1,-3.4,-2.5,-9.9,True,False
Cyprus,21,20.0,20.4,20.5,-1.0,-0.6,-0.5,True,True
Czechia,431,432.4,432.3,426.8,1.4,1.3,-4.2,True,False
Denmark,627,625.7,626.9,618.7,-1.3,-0.1,-8.3,True,False
Dominican Republic,1840,1778.7,1779.2,1792.1,-61.3,-60.8,-47.9,True,True
Ecuador,6724,6765.0,6743.6,18411.3,41.0,19.6,11687.3,True,False
Egypt,5511,5516.4,5507.7,5431.2,5.4,-3.3,-79.8,True,False
Estonia,64,64.9,64.6,62.9,0.9,0.6,-1.1,True,False
Finland,336,335.9,336.5,337.4,-0.1,0.5,1.4,False,False
France,30730,30690.7,30714.5,31165.6,-39.3,-15.5,435.6,True,False
Germany,9329,9321.4,9336.2,9306.3,-7.6,7.2,-22.7,True,False
Greece,280,279.1,279.6,269.4,-0.9,-0.4,-10.6,True,False
Honduras,2006,2032.9,1990.0,1768.6,26.9,-16.0,-237.4,True,False
Hungary,624,614.9,617.5,615.0,-9.1,-6.5,-9.0,True,True
Iceland,10,10.0,10.1,10.6,0.0,0.1,0.6,False,False
Indonesia,7940,7911.3,7884.9,7585.9,-28.7,-55.1,-354.1,False,False
Iran,22154,22164.0,22190.0,22732.7,10.0,36.0,578.7,False,False
Ireland,1777,1777.0,1781.4,1773.7,0.0,4.4,-3.3,False,False
Israel,1007,991.9,993.3,1028.6,-15.1,-13.7,21.6,True,False
Italy,35534,35511.3,35537.1,35413.4,-22.7,3.1,-120.6,True,False
Japan,1361,1368.1,1357.8,1319.5,7.1,-3.2,-41.5,True,False
Kuwait,540,542.9,544.0,545.7,2.9,4.0,5.7,False,False
Latvia,35,34.9,34.8,33.6,-0.1,-0.2,-1.4,False,False
Lithuania,86,87.7,87.8,83.2,1.7,1.8,-2.8,False,False
Luxembourg,124,124.0,125.7,126.5,0.0,1.7,2.5,False,False
Malaysia,128,126.9,127.0,123.3,-1.1,-1.0,-4.7,True,False
Malta,14,13.7,13.2,10.4,-0.3,-0.8,-3.6,False,False
Mexico,67326,67310.6,67180.3,67293.3,-15.4,-145.7,-32.7,False,False
Moldova,1063,1036.6,1033.2,1035.2,-26.4,-29.8,-27.8,False,False
Morocco,1329,1302.1,1294.8,1341.0,-26.9,-34.2,12.0,False,True
Netherlands,6275,6275.1,6276.3,6306.2,0.1,1.3,31.2,False,False
Nigeria,1054,1022.4,1035.8,1042.3,-31.6,-18.2,-11.7,True,True
Norway,264,264.0,265.8,268.6,0.0,1.8,4.6,False,False
Pakistan,6340,6325.7,6356.0,6376.8,-14.3,16.0,36.8,False,False
Panama,2075,2083.3,2081.8,2085.5,8.3,6.8,10.5,True,False
Peru,29554,29596.1,29637.1,39707.0,42.1,83.1,10153.0,False,False
Philippines,3790,3967.4,3947.7,3900.1,177.4,157.7,110.1,True,True
Poland,2113,2099.9,2098.4,2100.5,-13.1,-14.6,-12.5,False,True
Portugal,1838,1838.7,1836.8,1836.5,0.7,-1.2,-1.5,False,False
Romania,3850,3840.3,3825.4,3803.3,-9.7,-24.6,-46.7,False,False
Russia,17707,17648.4,17612.7,17606.5,-58.6,-94.3,-100.5,False,False
Saudi Arabia,4049,4059.4,4042.1,4105.2,10.4,-6.9,56.2,True,False
Serbia,723,722.1,730.2,731.5,-0.9,7.2,8.5,False,False
Slovakia,37,33.0,33.6,35.0,-4.0,-3.4,-2.0,True,True
Slovenia,135,134.7,134.6,130.7,-0.3,-0.4,-4.3,False,False
South Africa,14779,14858.6,14864.3,14899.6,79.6,85.3,120.6,False,False
South Korea,334,336.9,333.0,318.3,2.9,-1.0,-15.7,True,False
Spain,29418,29159.3,29177.9,29469.5,-258.7,-240.1,51.5,True,True
Sweden,5835,5825.3,5835.5,5875.1,-9.7,0.5,40.1,True,False
Switzerland,2013,2008.4,2011.6,2003.0,-4.6,-1.4,-10.0,True,False
Turkey,6620,6501.7,6486.3,6423.2,-118.3,-133.7,-196.8,False,False
Ukraine,2863,2799.6,2805.3,2733.2,-63.4,-57.7,-129.8,True,False
United Arab Emirates,388,388.0,388.9,390.0,0.0,0.9,2.0,False,False
United Kingdom,41638,41646.9,41670.8,57238.3,8.9,32.8,15600.3,False,False
