,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Austria,700,755.1,784.0,711.7,55.1,84.0,11.7,False,True
Belgium,9732,14224.0,10380.0,9464.2,4492.0,648.0,-267.8,True,True
Bulgaria,216,214.4,216.0,108.8,-1.6,0.0,-107.2,True,False
Canada,8576,13192.1,11190.0,6621.7,4616.1,2614.0,-1954.3,True,True
Croatia,107,165.4,195.0,109.3,58.4,88.0,2.3,False,True
Cyprus,19,22.9,23.0,11.1,3.9,4.0,-7.9,False,False
Czechia,349,499.4,391.0,280.3,150.4,42.0,-68.7,True,True
Denmark,604,837.6,742.0,799.4,233.6,138.0,195.4,True,True
Estonia,69,94.3,94.0,69.1,25.3,25.0,0.1,True,True
Finland,328,520.7,509.0,299.3,192.7,181.0,-28.7,True,True
France,29781,36552.1,31025.0,28859.1,6771.1,1244.0,-921.9,True,True
Germany,8968,12389.6,10790.0,8543.0,3421.6,1822.0,-425.0,True,True
Greece,191,199.0,204.0,152.0,8.0,13.0,-39.0,False,False
Hungary,578,913.6,741.0,453.1,335.6,163.0,-124.9,True,True
Ireland,1734,2520.9,2073.0,1697.5,786.9,339.0,-36.5,True,True
Italy,34716,42052.6,37338.0,31458.5,7336.6,2622.0,-3257.5,True,True
Latvia,30,31.7,36.0,36.1,1.7,6.0,6.1,False,False
Lithuania,78,77.4,75.0,53.5,-0.6,-3.0,-24.5,False,False
Luxembourg,110,135.3,132.0,97.9,25.3,22.0,-12.1,True,True
Netherlands,6124,8112.7,7367.0,6558.9,1988.7,1243.0,434.9,True,True
Norway,249,273.9,276.0,283.3,24.9,27.0,34.3,False,False
Poland,1435,1636.6,1589.0,1109.2,201.6,154.0,-325.8,True,False
Portugal,1561,1765.9,1730.0,1225.8,204.9,169.0,-335.2,True,False
Romania,1589,2133.6,2105.0,1139.1,544.6,516.0,-449.9,True,True
Slovakia,28,39.7,38.0,26.7,11.7,10.0,-1.3,True,True
Slovenia,109,143.1,135.0,129.9,34.1,26.0,20.9,True,True
Spain,28341,35926.1,30807.0,27727.0,7585.1,2466.0,-614.0,True,True
Sweden,5460,6969.0,6100.0,9251.9,1509.0,640.0,3791.9,True,False
Switzerland,1962,2319.9,2161.0,2147.7,357.9,199.0,185.7,True,True
United Kingdom,40373,55312.9,45062.0,40555.0,14939.9,4689.0,182.0,True,True
