,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,1207,1021.1,1034.0,888.8,-185.9,-173.0,-318.2,True,False
Austria,700,683.4,691.0,689.7,-16.6,-9.0,-10.3,True,True
Belgium,9732,9960.7,9835.0,9910.1,228.7,103.0,178.1,True,True
Bolivia,970,899.3,930.0,1197.0,-70.7,-40.0,227.0,True,False
Brazil,57070,56857.9,58895.0,59714.9,-212.1,1825.0,2644.9,False,False
Bulgaria,216,217.1,218.0,170.7,1.1,2.0,-45.3,False,False
Canada,8576,9314.1,9111.0,,738.1,535.0,,True,
Chile,5347,3302.7,3720.0,2675.6,-2044.3,-1627.0,-2671.4,True,False
Colombia,2939,2262.1,2404.0,2966.5,-676.9,-535.0,27.5,True,True
Croatia,107,106.9,111.0,105.0,-0.1,4.0,-2.0,False,False
Cuba,86,83.0,87.0,85.2,-3.0,1.0,-0.8,True,True
Cyprus,19,20.9,19.0,17.8,1.9,0.0,-1.2,True,True
Czechia,349,347.0,344.0,356.7,-2.0,-5.0,7.7,False,False
Denmark,604,631.9,616.0,612.2,27.9,12.0,8.2,True,True
Dominican Republic,718,640.9,613.0,612.0,-77.1,-105.0,-106.0,False,False
Ecuador,4424,4372.4,4238.0,5541.1,-51.6,-186.0,1117.1,False,False
Egypt,2708,2031.3,1966.0,1883.5,-676.7,-742.0,-824.5,False,False
Estonia,69,71.9,73.0,80.3,2.9,4.0,11.3,False,False
Finland,328,337.3,339.0,354.5,9.3,11.0,26.5,False,False
France,29781,30166.6,29812.0,32623.3,385.6,31.0,2842.3,True,False
Germany,8968,9099.3,9092.0,9055.3,131.3,124.0,87.3,True,True
Greece,191,194.3,188.0,190.7,3.3,-3.0,-0.3,True,True
Honduras,479,389.4,387.0,437.3,-89.6,-92.0,-41.7,False,True
Hungary,578,603.1,606.0,590.1,25.1,28.0,12.1,False,True
Iceland,10,10.0,10.0,10.3,0.0,0.0,0.3,True,False
Ireland,1734,1761.9,1727.0,1684.9,27.9,-7.0,-49.1,True,False
Israel,317,335.1,319.0,,18.1,2.0,,True,
Italy,34716,35281.9,34752.0,34338.1,565.9,36.0,-377.9,True,True
Japan,971,971.3,986.0,1087.8,0.3,15.0,116.8,False,False
Latvia,30,27.9,28.0,26.7,-2.1,-2.0,-3.3,True,False
Lithuania,78,73.9,79.0,92.2,-4.1,1.0,14.2,True,False
Luxembourg,110,110.0,113.0,114.6,0.0,3.0,4.6,False,False
Malaysia,121,122.7,124.0,114.0,1.7,3.0,-7.0,False,False
Mexico,26381,24467.6,24490.0,22878.1,-1913.4,-1891.0,-3502.9,True,False
Moldova,521,472.4,501.0,478.5,-48.6,-20.0,-42.5,True,True
Netherlands,6124,6194.9,6270.0,6176.8,70.9,146.0,52.8,False,True
Norway,249,243.7,246.0,232.4,-5.3,-3.0,-16.6,True,False
Panama,592,555.9,527.0,606.2,-36.1,-65.0,14.2,False,True
Peru,9135,8205.0,8820.0,,-930.0,-315.0,,True,
Philippines,1236,1134.4,1140.0,1235.0,-101.6,-96.0,-1.0,True,True
Poland,1435,1422.7,1365.0,1244.6,-12.3,-70.0,-190.4,False,False
Portugal,1561,1676.1,1624.0,1853.1,115.1,63.0,292.1,True,False
Romania,1589,1524.4,1501.0,1446.3,-64.6,-88.0,-142.7,False,False
Russia,8958,9159.6,9240.0,10979.9,201.6,282.0,2021.9,False,False
Serbia,267,266.1,269.0,292.1,-0.9,2.0,25.1,False,False
Slovakia,28,28.0,29.0,28.3,0.0,1.0,0.3,False,False
Slovenia,109,111.9,112.0,113.4,2.9,3.0,4.4,False,False
South Korea,282,278.7,287.0,308.0,-3.3,5.0,26.0,False,False
Spain,28341,27161.7,27604.0,26976.3,-1179.3,-737.0,-1364.7,True,False
Sweden,5460,5413.3,5471.0,6304.6,-46.7,11.0,844.6,True,False
Switzerland,1962,1923.9,1956.0,1986.2,-38.1,-6.0,24.2,True,True
Turkey,5082,5126.3,4988.0,5015.9,44.3,-94.0,-66.1,False,False
Ukraine,1121,1047.4,1128.0,1136.3,-73.6,7.0,15.3,True,True
United Kingdom,40373,46493.6,43553.0,42629.5,6120.6,3180.0,2256.5,True,True
