,total_deaths_2020-11-01,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Columbia_UNC-SurvCon,232127,309341.0,320986,78346.0,88859,-10513.0,-11.8%
Covid19Sim-Simulator,232127,299860.4,320986,68865.4,88859,-19993.6,-22.5%
QJHong-Encounter,232127,291690.9,320986,60695.9,88859,-28163.1,-31.7%
BPagano-RtDriven,232127,291609.7,320986,60614.7,88859,-28244.3,-31.8%
USC-SI_kJalpha,232127,289246.0,320986,58251.0,88859,-30608.0,-34.4%
JCB-PRM,232127,286002.1,320986,55007.1,88859,-33851.9,-38.1%
JHUAPL-Bucky,232127,282857.0,320986,51862.0,88859,-36997.0,-41.6%
IBF-TimeSeries,232127,282502.0,320986,51507.0,88859,-37352.0,-42.0%
Baseline,232127,270505.9,320986,39510.9,88859,-49348.1,-55.5%
COVIDhub-baseline,232127,270119.2,320986,39124.2,88859,-49734.8,-56.0%
IowaStateLW-STEM,232127,270022.0,320986,39027.0,88859,-49832.0,-56.1%
UCLA-SuEIR,232127,268019.0,320986,37024.0,88859,-51835.0,-58.3%
STH-3PU,232127,265322.0,320986,34327.0,88859,-54532.0,-61.4%
WalmartLabsML-LogForecasting,232127,253246.2,320986,22251.2,88859,-66607.8,-75.0%
