,mean_rank
COVIDhub-ensemble,15.5
JCB-PRM,15.5
USC-SI_kJalpha,15.6
LNQ-ens1,16.0
Caltech-CS156,16.2
JHU_CSSE-DECOM,16.8
Karlen-pypm,16.9
LANL-GrowthRate,17.1
UChicagoCHATTOPADHYAY-UnIT,17.3
MOBS-GLEAM_COVID,17.3
Columbia_UNC-SurvCon,18.3
RobertWalraven-ESG,18.5
UMass-MechBayes,18.7
CMU-TimeSeries,18.9
UCSD_NEU-DeepGLEAM,19.2
OliverWyman-Navigator,19.3
CEID-Walk,19.3
Google_Harvard-CPF,19.6
COVIDhub-baseline,19.7
MIT_CritData-GBCF,19.8
GT-DeepCOVID,20.5
SteveMcConnell-CovidComplete,20.5
UCLA-SuEIR,21.2
BPagano-RtDriven,21.2
UA-EpiCovDA,21.2
Microsoft-DeepSTIA,21.6
CU-select,22.5
IowaStateLW-STEM,22.6
epiforecasts-ensemble1,23.0
Geneva-DetGrowth,23.2
UT-Mobility,23.5
DDS-NBDS,24.1
PSI-DRAFT,24.2
UCSB-ACTS,24.6
JHUAPL-Bucky,25.3
Wadhwani_AI-BayesOpt,25.6
CovidAnalytics-DELPHI,26.2
JHU_IDD-CovidSP,27.8
NotreDame-mobility,29.4
TTU-squider,32.5
IHME-CurveFit,34.7
WalmartLabsML-LogForecasting,35.9
Covid19Sim-Simulator,39.5
