,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4389,3176.9,2673.5,3221.0,3211.0,,3106.9,-1212.1,-1715.5,-1168.0,-1178.0,,-1282.1,False,True,True,,False
Alaska,184,79.7,68.7,164.3,,,77.0,-104.3,-115.3,-19.7,,,-107.0,False,True,,,False
Arizona,7937,6607.1,5870.3,7299.8,6460.0,,6564.5,-1329.9,-2066.7,-637.2,-1477.0,,-1372.5,False,True,False,,False
Arkansas,3191,2695.3,2728.2,3191.8,2805.0,,2286.9,-495.7,-462.8,0.8,-386.0,,-904.1,True,True,True,,False
California,22599,22020.7,19875.1,20948.8,19886.0,,20246.9,-578.3,-2723.9,-1650.2,-2713.0,,-2352.1,False,False,False,,False
Colorado,4339,2361.1,2402.9,2642.6,2330.0,,2195.1,-1977.9,-1936.1,-1696.4,-2009.0,,-2143.9,True,True,False,,False
Connecticut,5581,4643.3,4754.3,4728.1,4651.0,,4582.7,-937.7,-826.7,-852.9,-930.0,,-998.3,True,True,True,,False
Delaware,952,775.3,811.7,795.4,694.0,,683.9,-160.7,-124.3,-140.6,-242.0,,-252.1,True,True,False,,False
District of Columbia,730,707.0,736.9,673.2,651.0,,655.7,-23.0,6.9,-56.8,-79.0,,-74.3,True,False,False,,False
Florida,20473,21608.7,19628.4,20578.0,18821.5,,18864.9,1135.7,-844.6,105.0,-1651.5,,-1608.1,True,True,False,,False
Georgia,10381,9507.1,8375.1,9123.1,8875.0,,9255.6,-873.9,-2005.9,-1257.9,-1506.0,,-1125.4,False,False,False,,False
Hawaii,281,416.6,1053.7,221.6,,,212.5,135.6,772.7,-59.4,,,-68.5,False,True,,,True
Idaho,1275,720.9,1095.2,868.7,712.0,,692.4,-554.1,-179.8,-406.3,-563.0,,-582.6,True,True,False,,False
Illinois,16326,11157.1,12202.8,10520.4,10356.0,,10300.0,-5168.9,-4123.2,-5805.6,-5970.0,,-6026.0,True,False,False,,False
