,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4389,4284.6,4414.5,4347.0,4368.0,4327.0,4378.0,4368.0,4351.2,4471.0,4179.8,4367.0,4428.2,4317.2,4288.7,4405.6,,4396.0,4450.0,4434.1,4388.8,4410.0,4264.6,4415.2,4405.0,4351.7,4404.0,4394.1,4422.9,,4262.5,4364.5,4402.0,,4361.9,4407.1,4354.0,4389.3,4378.0,4283.7,,4351.0,4400.6,4398.4,4312.0,,4386.0,4287.0,4415.9,4204.1,4329.9,-104.4,25.5,-42.0,-21.0,-62.0,-11.0,-21.0,-37.8,82.0,-209.2,-22.0,39.2,-71.8,-100.3,16.6,,7.0,61.0,45.1,-0.2,21.0,-124.4,26.2,16.0,-37.3,15.0,5.1,33.9,,-126.5,-24.5,13.0,,-27.1,18.1,-35.0,0.3,-11.0,-105.3,,-38.0,11.6,9.4,-77.0,,-3.0,-102.0,26.9,-184.9,-59.1,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,True,,True,True,True,True,True,False,,True,True,True,True,,True,True,True,False,True
Alaska,184,204.3,218.1,211.1,194.0,209.0,201.0,200.0,195.9,200.0,167.0,192.0,203.0,207.4,240.0,198.9,,176.7,,192.7,187.2,215.0,196.9,200.0,205.0,201.5,224.0,204.3,204.9,,186.8,216.0,204.0,,,214.2,194.0,188.4,195.0,196.5,,202.5,209.0,222.1,196.0,,212.0,192.5,188.2,186.0,193.8,20.3,34.1,27.1,10.0,25.0,17.0,16.0,11.9,16.0,-17.0,8.0,19.0,23.4,56.0,14.9,,-7.3,,8.7,3.2,31.0,12.9,16.0,21.0,17.5,40.0,20.3,20.9,,2.8,32.0,20.0,,,30.2,10.0,4.4,11.0,12.5,,18.5,25.0,38.1,12.0,,28.0,8.5,4.2,2.0,9.8,False,False,True,False,True,True,True,True,True,True,True,False,False,True,,True,,True,True,False,True,True,False,True,False,True,False,,True,False,True,,,False,True,True,True,True,,True,False,False,True,,False,True,True,True,True
Arizona,7937,7705.9,7842.4,7723.4,7699.0,7719.0,7733.0,7733.0,7747.8,7708.0,7313.9,7444.0,7820.5,7823.0,7766.6,7755.7,,7483.7,7810.0,7758.2,7635.2,7770.0,7690.9,7757.5,7994.0,7778.7,7745.0,7665.4,7808.9,,7646.1,7794.0,7626.0,,7629.7,7821.6,7712.0,8012.4,7736.0,7715.8,,7652.7,7682.9,7787.2,7767.0,,7795.0,7759.0,7651.5,7471.5,7686.0,-231.1,-94.6,-213.6,-238.0,-218.0,-204.0,-204.0,-189.2,-229.0,-623.1,-493.0,-116.5,-114.0,-170.4,-181.3,,-453.3,-127.0,-178.8,-301.8,-167.0,-246.1,-179.5,57.0,-158.3,-192.0,-271.6,-128.1,,-290.9,-143.0,-311.0,,-307.3,-115.4,-225.0,75.4,-201.0,-221.2,,-284.3,-254.1,-149.8,-170.0,,-142.0,-178.0,-285.5,-465.5,-251.0,True,True,False,True,True,True,True,True,False,False,True,True,True,True,,False,True,True,False,True,False,True,True,True,True,False,True,,False,True,False,,False,True,True,True,True,True,,False,False,True,True,,True,True,False,False,False
Arkansas,3191,3189.3,3281.0,3200.0,3206.0,3202.0,3142.0,3073.0,3135.5,3146.0,2835.4,3113.0,3148.7,3192.8,3296.0,3108.0,,2945.7,3179.0,3118.5,3021.8,3180.0,3047.6,3122.1,3133.0,3191.2,3120.0,3129.1,3188.1,,2992.9,3196.4,3166.0,,3115.9,3198.9,3125.0,3234.5,3178.0,3230.3,,3069.2,3141.6,3178.8,3206.0,,3146.0,3159.5,3131.9,3039.4,3025.6,-1.7,90.0,9.0,15.0,11.0,-49.0,-118.0,-55.5,-45.0,-355.6,-78.0,-42.3,1.8,105.0,-83.0,,-245.3,-12.0,-72.5,-169.2,-11.0,-143.4,-68.9,-58.0,0.2,-71.0,-61.9,-2.9,,-198.1,5.4,-25.0,,-75.1,7.9,-66.0,43.5,-13.0,39.3,,-121.8,-49.4,-12.2,15.0,,-45.0,-31.5,-59.1,-151.6,-165.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False
California,22599,21993.1,22438.6,22054.4,22058.0,22046.0,22171.0,22245.0,22149.1,22469.0,20929.7,21475.0,21977.5,22181.7,22416.0,22310.5,,21984.8,22308.0,22118.1,22133.0,22094.0,22165.3,22280.7,22409.0,22458.3,22152.0,21957.9,22603.1,,21511.5,22462.9,23192.0,,21670.8,22181.4,22016.0,24692.2,22171.0,22080.5,22300.0,21855.5,21988.4,22357.3,22238.0,,22314.0,22269.0,,21389.8,22091.8,-599.9,-154.4,-538.6,-535.0,-547.0,-422.0,-348.0,-443.9,-124.0,-1663.3,-1118.0,-615.5,-411.3,-177.0,-282.5,,-608.2,-285.0,-474.9,-460.0,-499.0,-427.7,-312.3,-184.0,-134.7,-441.0,-635.1,10.1,,-1081.5,-130.1,599.0,,-922.2,-411.6,-577.0,2099.2,-422.0,-512.5,-293.0,-737.5,-604.6,-235.7,-355.0,,-279.0,-324.0,,-1203.2,-501.2,True,True,True,True,True,True,True,True,False,False,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,False,True,,False,True,True,,False,True,True,False,True,True,True,False,False,True,True,,True,True,,False,True
Colorado,4339,4474.0,4566.2,4357.1,4385.0,4385.0,4293.0,4172.0,4284.2,4254.0,3888.6,4222.0,4582.0,4351.0,4495.1,4263.4,,3776.1,4632.0,4278.6,4111.8,4320.0,4189.3,4252.0,4407.0,4412.7,4309.0,4367.2,4863.3,,4202.7,4483.4,4457.0,,4156.0,4444.4,4203.0,3781.4,4335.0,4034.1,,4243.9,4401.9,4326.1,4277.0,,4314.0,4444.5,3980.8,4059.8,3959.1,135.0,227.2,18.1,46.0,46.0,-46.0,-167.0,-54.8,-85.0,-450.4,-117.0,243.0,12.0,156.1,-75.6,,-562.9,293.0,-60.4,-227.2,-19.0,-149.7,-87.0,68.0,73.7,-30.0,28.2,524.3,,-136.3,144.4,118.0,,-183.0,105.4,-136.0,-557.6,-4.0,-304.9,,-95.1,62.9,-12.9,-62.0,,-25.0,105.5,-358.2,-279.2,-379.9,False,True,True,True,True,False,True,True,False,True,False,True,False,True,,False,False,True,False,True,False,True,True,True,True,True,False,,False,False,True,,False,True,False,False,True,False,,True,True,True,True,,True,True,False,False,False
Connecticut,5581,5549.0,5605.9,5580.3,5586.0,5580.0,5592.0,5600.0,5567.6,5633.0,5453.6,5483.0,5570.6,5598.0,5642.7,5648.4,,5614.5,5653.0,5600.1,5630.2,5581.0,5503.5,5642.6,5611.0,5544.6,5600.0,5604.8,5660.0,,5456.7,5613.0,5601.0,,5579.7,5570.6,5618.0,5584.5,5473.0,5565.8,,5561.1,5615.1,5597.9,5574.0,,5569.0,5533.5,5672.0,5400.4,5655.0,-32.0,24.9,-0.7,5.0,-1.0,11.0,19.0,-13.4,52.0,-127.4,-98.0,-10.4,17.0,61.7,67.4,,33.5,72.0,19.1,49.2,0.0,-77.5,61.6,30.0,-36.4,19.0,23.8,79.0,,-124.3,32.0,20.0,,-1.3,-10.4,37.0,3.5,-108.0,-15.2,,-19.9,34.1,16.9,-7.0,,-12.0,-47.5,91.0,-180.6,74.0,True,True,True,True,True,True,True,False,False,False,True,True,False,False,,False,False,True,False,True,False,False,True,False,True,True,False,,False,False,True,,True,True,False,True,False,True,,True,False,True,True,,True,False,False,False,False
Delaware,858,835.7,857.1,848.2,841.0,848.0,846.0,863.0,847.5,840.0,812.5,839.0,842.1,840.2,853.4,854.7,,829.9,863.0,839.6,846.3,855.0,850.8,853.0,836.0,839.8,853.0,848.6,847.5,,825.2,848.7,836.0,,,840.0,854.0,943.5,840.0,850.7,,849.1,861.0,873.5,846.0,,854.0,834.0,841.8,826.5,836.5,-22.3,-0.9,-9.8,-17.0,-10.0,-12.0,5.0,-10.5,-18.0,-45.5,-19.0,-15.9,-17.8,-4.6,-3.3,,-28.1,5.0,-18.4,-11.7,-3.0,-7.2,-5.0,-22.0,-18.2,-5.0,-9.4,-10.5,,-32.8,-9.3,-22.0,,,-18.0,-4.0,85.5,-18.0,-7.3,,-8.9,3.0,15.5,-12.0,,-4.0,-24.0,-16.2,-31.5,-21.5,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,,True,True,False,True,True,,True,True,True,True,,True,False,True,False,True
District of Columbia,730,730.4,734.5,730.9,730.0,731.0,732.0,739.0,735.0,735.0,720.9,720.0,731.0,738.3,736.6,738.7,,721.5,728.0,733.0,731.6,732.0,730.6,733.9,733.0,729.0,737.0,,,,721.3,733.5,744.0,,,729.7,734.0,747.5,733.0,729.5,,734.6,,735.2,731.0,,733.0,734.0,730.3,719.7,732.7,0.4,4.5,0.9,0.0,1.0,2.0,9.0,5.0,5.0,-9.1,-10.0,1.0,8.3,6.6,8.7,,-8.5,-2.0,3.0,1.6,2.0,0.6,3.9,3.0,-1.0,7.0,,,,-8.7,3.5,14.0,,,-0.3,4.0,17.5,3.0,-0.5,,4.6,,5.2,1.0,,3.0,4.0,0.3,-10.3,2.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,,,False,False,False,,,True,False,False,False,False,,False,,False,False,,False,False,True,False,False
Florida,20473,20456.6,20616.9,20477.2,20532.0,20486.0,20545.0,20707.0,20512.1,20593.0,20025.2,20292.0,20771.1,20565.8,20465.2,20613.3,,20209.3,20658.0,20549.2,20532.6,20652.0,20712.1,20539.2,20494.0,20611.9,20579.0,20662.6,20635.1,,20489.2,20556.0,20834.5,,20647.1,20547.4,20513.0,21844.7,20545.0,20478.8,,20452.5,20670.6,20522.3,20527.0,,20526.0,20656.5,,20213.2,20509.9,-16.4,143.9,4.2,59.0,13.0,72.0,234.0,39.1,120.0,-447.8,-181.0,298.1,92.8,-7.8,140.3,,-263.7,185.0,76.2,59.6,179.0,239.1,66.2,21.0,138.9,106.0,189.6,162.1,,16.2,83.0,361.5,,174.1,74.4,40.0,1371.7,72.0,5.8,,-20.5,197.6,49.3,54.0,,53.0,183.5,,-259.8,36.9,False,True,False,True,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,False,False,False,True,,False,False,False,False,,False,False,,False,False
Georgia,10381,10307.4,10423.3,10370.5,10403.0,10357.0,10450.0,10451.0,10421.2,10517.0,10008.5,10492.0,10476.7,10451.1,10308.4,10507.7,,10579.4,10570.0,10445.0,10404.5,10493.0,10027.2,10517.9,10389.0,10439.2,10467.0,10463.8,10477.9,,10353.7,10595.0,10090.0,,10496.6,10425.0,10445.0,10896.3,10404.0,10326.8,,10468.3,10471.3,10459.8,10423.0,,10440.0,10287.0,,9967.9,9882.8,-73.6,42.3,-10.5,22.0,-24.0,69.0,70.0,40.2,136.0,-372.5,111.0,95.7,70.1,-72.6,126.7,,198.4,189.0,64.0,23.5,112.0,-353.8,136.9,8.0,58.2,86.0,82.8,96.9,,-27.3,214.0,-291.0,,115.6,44.0,64.0,515.3,23.0,-54.2,,87.3,90.3,78.8,42.0,,59.0,-94.0,,-413.1,-498.2,True,True,True,True,True,True,True,False,False,False,False,True,True,False,,False,False,True,True,False,False,False,True,True,False,False,False,,True,False,False,,False,True,True,False,True,True,,False,False,False,True,,True,False,,False,False
Hawaii,281,284.3,291.0,280.4,284.0,281.0,285.0,284.0,283.5,292.0,262.1,281.0,286.2,,289.9,287.4,,271.9,,281.0,287.9,286.0,286.4,284.9,283.0,283.7,300.0,285.8,288.2,,319.8,275.0,281.0,,,284.7,284.0,281.7,285.0,279.0,,285.2,295.6,281.4,284.0,,284.0,289.0,301.6,278.7,285.8,3.3,10.0,-0.6,3.0,0.0,4.0,3.0,2.5,11.0,-18.9,0.0,5.2,,8.9,6.4,,-9.1,,-0.0,6.9,5.0,5.4,3.9,2.0,2.7,19.0,4.8,7.2,,38.8,-6.0,0.0,,,3.7,3.0,0.7,4.0,-2.0,,4.2,14.6,0.4,3.0,,3.0,8.0,20.6,-2.3,4.8,False,True,True,True,False,True,True,False,False,True,False,,False,False,,False,,True,False,False,False,False,True,True,False,False,False,,False,False,True,,,False,True,True,False,True,,False,False,True,True,,True,False,False,True,False
Idaho,1275,1295.0,1331.3,1307.2,1293.0,1306.0,1293.0,1290.0,1283.6,1296.0,1162.1,1253.0,1395.4,1287.2,1326.4,1293.9,,1229.7,1339.0,1307.1,1268.3,1325.0,1240.7,1291.4,1322.0,1300.5,1296.0,1310.1,1327.8,,1275.9,1331.1,1297.0,,,1315.0,1278.0,1199.6,1295.0,1302.3,,1280.8,1321.4,1316.9,1271.0,,1292.0,1285.5,1298.2,1225.0,1288.8,20.0,56.3,32.2,18.0,31.0,18.0,15.0,8.6,21.0,-112.9,-22.0,120.4,12.2,51.4,18.9,,-45.3,64.0,32.1,-6.7,50.0,-34.3,16.4,47.0,25.5,21.0,35.1,52.8,,0.9,56.1,22.0,,,40.0,3.0,-75.4,20.0,27.3,,5.8,46.4,41.9,-4.0,,17.0,10.5,23.2,-50.0,13.8,False,False,True,False,True,True,True,False,False,False,False,True,False,True,,False,False,False,True,False,False,True,False,False,False,False,False,,True,False,False,,,False,True,False,False,False,,True,False,False,True,,True,True,False,False,True
Illinois,16326,16387.3,16615.0,16465.2,16534.0,16446.0,16361.0,16362.0,16301.0,16304.0,15586.2,16148.0,16973.3,16329.3,16568.3,16333.1,,15860.4,16632.0,16483.6,16199.4,16481.0,15851.0,16321.9,16429.0,16477.9,16395.0,16422.7,16757.2,16037.0,15375.2,15456.0,16569.5,,16567.5,16569.0,16256.0,15300.5,16271.0,16376.2,,16269.3,16438.3,16311.0,16256.0,16663.1,16254.0,16443.0,,15687.8,16001.6,61.3,289.0,139.2,208.0,120.0,35.0,36.0,-25.0,-22.0,-739.8,-178.0,647.3,3.3,242.3,7.1,,-465.6,306.0,157.6,-126.6,155.0,-475.0,-4.1,103.0,151.9,69.0,96.7,431.2,-289.0,-950.8,-870.0,243.5,,241.5,243.0,-70.0,-1025.5,-55.0,50.2,,-56.7,112.3,-15.0,-70.0,337.1,-72.0,117.0,,-638.2,-324.4,False,False,False,False,True,True,True,True,False,False,False,True,False,True,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,True,,True,False,True,False,False,False,False,,False,False
Indiana,7338,7287.6,7386.7,7314.5,7331.0,7309.0,7316.0,7471.0,7299.0,7284.0,6873.0,7264.0,7510.6,7326.5,7357.1,7298.7,,7183.5,7402.0,7355.4,7284.6,7412.0,6805.6,7318.4,7335.0,7360.2,7339.0,7373.1,7546.3,7082.0,7356.4,7339.4,7464.0,,7234.4,7376.8,7278.0,7333.5,7263.0,7285.8,,7285.2,7380.6,7344.9,7298.0,7385.6,7315.0,7299.0,7405.4,6667.8,7226.3,-50.4,48.7,-23.5,-7.0,-29.0,-22.0,133.0,-39.0,-54.0,-465.0,-74.0,172.6,-11.5,19.1,-39.3,,-154.5,64.0,17.4,-53.4,74.0,-532.4,-19.6,-3.0,22.2,1.0,35.1,208.3,-256.0,18.4,1.4,126.0,,-103.6,38.8,-60.0,-4.5,-75.0,-52.2,,-52.8,42.6,6.9,-40.0,47.6,-23.0,-39.0,67.4,-670.2,-111.7,True,True,True,True,True,False,True,False,False,False,False,True,True,True,,False,False,True,False,False,False,True,True,True,True,True,False,False,True,True,False,,False,True,False,True,False,False,,False,True,True,True,True,True,True,False,False,False
Iowa,3532,3630.7,3705.1,3725.2,3739.0,3734.0,3510.0,3424.0,3483.0,3423.0,2991.0,3391.0,3568.5,3762.4,3619.6,3401.8,,3011.4,3724.0,3414.8,2936.0,3572.0,3336.4,3352.4,3252.0,3483.3,3489.0,3512.0,3548.1,,3417.1,3573.0,3677.0,,3615.1,3292.8,3461.0,2822.3,3510.0,3373.7,,3471.7,3550.5,3568.3,3428.0,,3425.0,3539.5,3170.7,3335.6,3558.0,98.7,173.1,193.2,207.0,202.0,-22.0,-108.0,-49.0,-109.0,-541.0,-141.0,36.5,230.4,87.6,-130.2,,-520.6,192.0,-117.2,-596.0,40.0,-195.6,-179.6,-280.0,-48.7,-43.0,-20.0,16.1,,-114.9,41.0,145.0,,83.1,-239.2,-71.0,-709.7,-22.0,-158.3,,-60.3,18.5,36.3,-104.0,,-107.0,7.5,-361.3,-196.4,26.0,False,False,False,False,True,False,True,False,False,False,True,False,True,False,,False,False,False,False,True,False,False,False,True,True,True,True,,False,True,False,,True,False,True,False,True,False,,True,True,True,False,,False,True,False,False,True
Kansas,2341,2317.1,2431.0,2354.8,2368.0,2358.0,2300.0,2331.0,2248.2,2314.0,2038.9,2291.0,2261.1,2307.4,2361.8,2342.6,,2269.9,2462.0,2368.6,2187.5,2381.0,1966.1,2298.1,2236.0,2247.3,2323.0,2300.2,2381.4,,2196.3,2377.6,2455.0,,,2457.3,2284.0,2072.4,2266.0,2238.9,,2277.1,2321.3,2322.2,2296.0,,2310.0,2247.0,2311.4,1920.1,2302.2,-23.9,90.0,13.8,27.0,17.0,-41.0,-10.0,-92.8,-27.0,-302.1,-50.0,-79.9,-33.6,20.8,1.6,,-71.1,121.0,27.6,-153.5,40.0,-374.9,-42.9,-105.0,-93.7,-18.0,-40.8,40.4,,-144.7,36.6,114.0,,,116.3,-57.0,-268.6,-75.0,-102.1,,-63.9,-19.7,-18.8,-45.0,,-31.0,-94.0,-29.6,-420.9,-38.8,False,True,False,True,False,True,False,False,False,False,False,False,True,True,,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,,,False,False,False,False,False,,False,True,True,False,,False,False,False,False,False
Kentucky,2371,2322.7,2377.3,2322.6,2328.0,2322.0,2357.0,2437.0,2441.4,2366.0,2242.6,2334.0,2404.8,2332.6,2312.6,2369.6,,2327.3,2436.0,2355.0,2277.6,2424.0,2382.4,2345.7,2345.0,2367.0,2465.0,2354.0,2365.0,2361.0,2398.8,2372.0,2363.0,,2358.9,2336.3,2334.0,2740.6,2324.0,2313.7,,2417.1,2365.5,2417.0,2355.0,,2348.0,2324.0,2345.7,2275.0,2357.6,-48.3,6.3,-48.4,-43.0,-49.0,-14.0,66.0,70.4,-5.0,-128.4,-37.0,33.8,-38.4,-58.4,-1.4,,-43.7,65.0,-16.0,-93.4,53.0,11.4,-25.3,-26.0,-4.0,94.0,-17.0,-6.0,-10.0,27.8,1.0,-8.0,,-12.1,-34.7,-37.0,369.6,-47.0,-57.3,,46.1,-5.5,46.0,-16.0,,-23.0,-47.0,-25.3,-96.0,-13.4,True,False,True,False,True,False,False,True,False,True,True,True,False,True,,True,False,True,False,False,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,False,True,False,,True,True,True,True,,True,True,True,False,True
Louisiana,6994,7018.6,7046.9,6988.3,6990.0,6986.0,7001.0,6973.0,6991.5,6977.0,6833.4,7039.0,7042.6,7040.6,7037.9,7013.5,,6906.1,7039.0,7012.6,7127.2,6999.0,6955.9,7019.2,7009.0,7010.4,6990.0,7023.9,7028.9,,6980.3,7019.6,6946.0,,6931.2,6997.5,6971.0,7590.7,7036.0,7001.3,,6960.4,7033.7,6988.8,7025.0,,6965.0,6996.0,6958.3,6905.6,7013.9,24.6,52.9,-5.7,-4.0,-8.0,7.0,-21.0,-2.5,-17.0,-160.6,45.0,48.6,46.6,43.9,19.5,,-87.9,45.0,18.6,133.2,5.0,-38.1,25.2,15.0,16.4,-4.0,29.9,34.9,,-13.7,25.6,-48.0,,-62.8,3.5,-23.0,596.7,42.0,7.3,,-33.6,39.7,-5.2,31.0,,-29.0,2.0,-35.7,-88.4,19.9,False,True,True,True,True,True,True,True,False,False,False,False,False,True,,False,False,True,False,True,False,False,True,True,True,False,False,,True,False,False,,False,True,True,False,False,True,,False,False,True,False,,False,True,False,False,True
Maine,292,282.7,288.0,285.7,284.0,287.0,290.0,289.0,287.2,298.0,280.0,276.0,290.4,289.1,306.0,299.4,,273.6,310.0,292.4,297.3,291.0,295.6,296.9,288.0,282.9,307.0,298.2,293.3,,265.8,298.0,313.0,,,295.3,298.0,266.6,286.0,281.6,,286.1,310.3,292.3,283.0,,287.0,281.0,314.8,263.4,283.2,-9.3,-4.0,-6.3,-8.0,-5.0,-2.0,-3.0,-4.8,6.0,-12.0,-16.0,-1.6,-2.9,14.0,7.4,,-18.4,18.0,0.4,5.3,-1.0,3.6,4.9,-4.0,-9.1,15.0,6.2,1.3,,-26.2,6.0,21.0,,,3.3,6.0,-25.4,-6.0,-10.4,,-5.9,18.3,0.3,-9.0,,-5.0,-11.0,22.8,-28.6,-8.8,True,True,True,True,True,True,True,True,False,False,True,True,False,True,,False,False,True,True,True,True,True,True,True,False,True,True,,False,True,False,,,True,True,False,True,False,,True,False,True,True,,True,False,False,False,True
Maryland,5412,5349.3,5401.5,5384.7,5378.0,5380.0,5381.0,5458.0,5377.5,5392.0,5207.3,5347.0,5409.8,5383.1,5414.3,5379.4,,5303.8,5388.0,5395.5,5347.5,5378.0,5232.4,5394.4,5414.0,5381.2,5376.0,5387.7,5451.6,,5308.8,5417.6,5508.0,,5403.6,5418.0,5370.0,5203.4,5334.0,5376.0,,5325.8,5399.0,5385.3,5350.0,,5385.0,5453.5,5355.7,5148.7,5406.7,-62.7,-10.5,-27.3,-34.0,-32.0,-31.0,46.0,-34.5,-20.0,-204.7,-65.0,-2.2,-28.9,2.3,-32.6,,-108.2,-24.0,-16.5,-64.5,-34.0,-179.6,-17.6,2.0,-30.8,-36.0,-24.3,39.6,,-103.2,5.6,96.0,,-8.4,6.0,-42.0,-208.6,-78.0,-36.0,,-86.2,-13.0,-26.7,-62.0,,-27.0,41.5,-56.3,-263.3,-5.3,True,True,True,True,True,True,True,True,False,False,True,True,True,True,,False,True,True,False,True,False,True,True,True,True,True,True,,False,True,False,,True,True,True,False,False,True,,False,True,True,True,,True,True,True,False,True
