,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4389,3706.7,3474.5,3673.8,8384.0,4235.8,,3541.0,3773.5,3974.5,,,3528.2,3755.0,3338.0,-682.3,-914.5,-715.2,3995.0,-153.2,,-848.0,-615.5,-414.5,,,-860.8,-634.0,-1051.0,False,False,False,True,,False,True,True,,,False,True,False
Alaska,184,185.9,88.8,180.0,262.0,199.5,,,146.5,161.8,,,119.6,144.0,102.1,1.9,-95.2,-4.0,78.0,15.5,,,-37.5,-22.2,,,-64.4,-40.0,-81.9,False,False,False,False,,,False,False,,,False,False,False
Arizona,7937,6699.0,6545.0,6753.9,7221.0,6698.5,,6306.0,6680.8,6412.6,,,6877.6,7597.0,6452.5,-1238.0,-1392.0,-1183.1,-716.0,-1238.5,,-1631.0,-1256.2,-1524.4,,,-1059.4,-340.0,-1484.5,False,True,True,False,,False,False,False,,,True,True,False
Arkansas,3191,2959.1,2595.9,2820.6,3562.0,3027.7,,2884.0,3159.3,2803.4,,,2584.7,2884.0,2302.2,-231.9,-595.1,-370.4,371.0,-163.3,,-307.0,-31.7,-387.6,,,-606.3,-307.0,-888.8,False,False,False,True,,False,True,False,,,False,False,False
California,22599,19817.3,22754.1,19872.1,22833.0,20882.7,,19618.0,20590.0,20263.9,,,19558.3,21374.0,19556.1,-2780.7,156.1,-2725.9,235.0,-1715.3,,-2980.0,-2008.0,-2334.1,,,-3039.7,-1224.0,-3041.9,True,True,True,True,,False,True,True,,,False,True,False
Colorado,4339,2733.7,2466.2,2758.3,5912.0,3418.5,,2682.0,2950.9,3267.3,,,2647.9,3087.0,2444.8,-1605.3,-1872.8,-1580.7,1573.0,-920.5,,-1657.0,-1388.1,-1071.7,,,-1691.1,-1252.0,-1894.2,False,True,True,True,,False,True,True,,,False,True,False
Connecticut,5581,4883.4,5227.0,4955.3,6934.0,5219.4,,4780.0,5043.2,5179.4,,,4755.0,5034.0,4638.8,-697.6,-354.0,-625.7,1353.0,-361.6,,-801.0,-537.8,-401.6,,,-826.0,-547.0,-942.2,True,True,False,True,,False,True,True,,,False,True,False
Delaware,858,908.9,867.0,906.9,858.0,796.4,,782.0,883.8,756.4,,,727.1,908.0,759.9,50.9,9.0,48.9,0.0,-61.6,,-76.0,25.8,-101.6,,,-130.9,50.0,-98.1,True,True,True,False,,False,True,False,,,False,True,False
District of Columbia,730,673.4,647.8,682.3,674.0,695.0,,663.0,667.2,686.0,,,657.2,684.0,661.1,-56.6,-82.2,-47.7,-56.0,-35.0,,-67.0,-62.8,-44.0,,,-72.8,-46.0,-68.9,False,True,True,True,,False,False,True,,,False,True,False
Florida,20473,19257.6,19523.1,19168.2,28756.0,22281.2,,19349.0,21874.1,20716.3,,,18377.4,20414.0,18791.2,-1215.4,-949.9,-1304.8,8283.0,1808.2,,-1124.0,1401.1,243.3,,,-2095.6,-59.0,-1681.8,True,False,False,False,,True,False,True,,,False,True,False
