,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4389,4044.6,4657.2,4066.2,4053.0,3509.0,,3930.0,4094.7,3659.8,3944.6,4136.1,4169.0,,3744.9,6131.5,,3472.8,,4475.9,3563.5,-344.4,268.2,-322.8,-336.0,-880.0,,-459.0,-294.3,-729.2,-444.4,-252.9,-220.0,,-644.1,1742.5,,-916.2,,86.9,-825.5,True,True,True,False,,False,True,False,False,True,True,,False,False,,False,,True,False
Alaska,184,166.0,183.4,168.0,200.0,139.0,,,161.8,163.0,231.6,226.1,135.0,,118.0,174.0,,128.7,,237.9,115.7,-18.0,-0.6,-16.0,16.0,-45.0,,,-22.2,-21.0,47.6,42.1,-49.0,,-66.0,-10.0,,-55.3,,53.9,-68.3,True,True,True,False,,,False,False,False,False,False,,False,True,,False,,False,False
Arizona,7937,6972.3,6998.0,7064.6,9490.0,6444.0,,6967.0,7714.1,7717.3,7400.2,8369.8,7906.0,,7110.3,9937.0,,6819.5,,8322.3,6669.2,-964.7,-939.0,-872.4,1553.0,-1493.0,,-970.0,-222.9,-219.7,-536.8,432.8,-31.0,,-826.7,2000.0,,-1117.5,,385.3,-1267.8,True,True,False,False,,False,True,True,True,True,True,,True,False,,False,,True,False
Arkansas,3191,2659.0,2537.1,2614.2,3738.0,2845.0,,2870.0,3037.1,3385.2,2735.9,3148.5,2666.5,,2286.5,2685.0,,2449.4,,2734.3,2468.2,-532.0,-653.9,-576.8,547.0,-346.0,,-321.0,-153.9,194.2,-455.1,-42.5,-524.5,,-904.5,-506.0,,-741.6,,-456.7,-722.8,False,False,False,True,,True,True,True,True,True,True,,False,True,,False,,True,False
California,22599,19665.7,20608.0,19714.0,21698.0,18805.0,,19666.0,20605.6,21161.1,21793.7,21424.3,19924.0,,19648.1,21796.5,,19681.4,19904.0,24193.0,19617.9,-2930.3,-1988.0,-2882.0,-898.0,-3791.0,,-2930.0,-1990.4,-1434.9,-802.3,-1171.7,-2672.0,,-2947.9,-799.5,,-2914.6,-2692.0,1597.0,-2978.1,True,True,True,False,,True,True,True,True,True,True,,False,True,,True,True,True,False
Colorado,4339,3284.3,3969.9,3205.2,5941.0,6860.0,,3253.0,3728.2,4093.8,3864.7,4620.9,4596.0,,3491.8,5685.0,,3009.6,,7031.3,2713.8,-1054.7,-369.1,-1133.8,1602.0,2521.0,,-1086.0,-610.8,-245.2,-474.3,281.9,257.0,,-847.2,1346.0,,-1329.4,,2692.3,-1625.2,True,False,False,False,,False,True,True,True,True,True,,True,False,,False,,False,False
Connecticut,5581,5057.6,5153.0,5078.7,6207.0,5694.0,,5041.0,5314.7,5906.6,5478.4,5697.3,5352.0,,4972.5,4750.0,,4943.0,,7832.1,4797.8,-523.4,-428.0,-502.3,626.0,113.0,,-540.0,-266.3,325.6,-102.6,116.3,-229.0,,-608.5,-831.0,,-638.0,,2251.1,-783.2,True,True,False,True,,False,True,True,True,True,True,,False,False,,False,,False,False
Delaware,952,823.4,847.5,838.8,1058.0,808.0,,820.0,900.3,900.6,867.0,930.6,832.0,,933.7,910.0,,749.4,,1142.3,774.7,-95.6,-71.5,-80.2,139.0,-111.0,,-99.0,-18.7,-18.4,-52.0,11.6,-87.0,,14.7,-9.0,,-169.6,,223.3,-144.3,True,True,False,False,,False,True,True,True,True,True,,True,True,,False,,False,False
District of Columbia,730,689.1,692.4,681.9,757.0,694.0,,670.0,706.5,739.7,725.1,724.6,683.0,,680.5,676.0,,665.6,,881.4,671.1,-40.9,-37.6,-48.1,27.0,-36.0,,-60.0,-23.5,9.7,-4.9,-5.4,-47.0,,-49.5,-54.0,,-64.4,,151.4,-58.9,True,False,True,True,,False,True,True,True,True,False,,False,False,,False,,False,False
Florida,20473,19446.3,20667.1,19432.9,19674.0,18758.0,,19471.0,20380.8,19231.7,21168.6,20862.1,19201.0,,20051.8,23642.5,,19375.9,,21188.5,19006.0,-1026.7,194.1,-1040.1,-799.0,-1715.0,,-1002.0,-92.2,-1241.3,695.6,389.1,-1272.0,,-421.2,3169.5,,-1097.1,,715.5,-1467.0,True,False,True,False,,True,True,False,True,True,False,,True,False,,False,,True,False
