,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4389,3886.3,5069.7,3317.6,4156.9,3176.0,,3237.1,-502.7,680.7,-1071.4,-232.1,-1213.0,,-1151.9,False,False,True,False,,False
Alaska,184,129.0,775.2,175.7,104.4,,,87.5,-55.0,591.2,-8.3,-79.6,,,-96.5,False,True,False,,,False
Arizona,7937,6429.3,8161.3,6389.2,6866.5,6173.0,,6441.2,-1507.7,224.3,-1547.8,-1070.5,-1764.0,,-1495.8,True,False,True,False,,True
Arkansas,3191,2899.7,2964.8,2535.8,3158.0,3031.0,,2407.2,-291.3,-226.2,-655.2,-33.0,-160.0,,-783.8,True,False,True,True,,False
California,22582,20521.9,22850.7,20018.1,22480.5,19086.0,,19877.4,-2060.1,268.7,-2563.9,-101.5,-3496.0,,-2704.6,True,False,True,False,,False
Colorado,4339,2734.0,3371.3,2731.1,4007.4,2466.0,,2277.3,-1605.0,-967.7,-1607.9,-331.6,-1873.0,,-2061.7,True,False,True,False,,False
Connecticut,5581,4648.3,4630.5,4729.6,4760.6,4646.0,,4599.6,-932.7,-950.5,-851.4,-820.4,-935.0,,-981.4,False,True,True,False,,False
Delaware,858,762.4,736.2,771.1,849.2,716.0,,713.1,-95.6,-121.8,-86.9,-8.8,-142.0,,-144.9,False,True,True,False,,False
District of Columbia,730,676.4,698.0,685.4,772.8,655.0,,655.9,-53.6,-32.0,-44.6,42.8,-75.0,,-74.1,True,True,True,False,,False
Florida,20473,21307.9,25171.3,19968.3,23802.2,18749.0,,19727.2,834.9,4698.3,-504.7,3329.2,-1724.0,,-745.8,False,True,False,False,,True
Georgia,10381,9604.3,10635.0,8799.4,9624.5,8885.0,,9256.2,-776.7,254.0,-1581.6,-756.5,-1496.0,,-1124.8,True,False,True,False,,False
Hawaii,281,346.4,378.6,330.6,422.8,,,230.7,65.4,97.6,49.6,141.8,,,-50.3,False,True,False,,,True
Idaho,1275,714.0,710.1,837.9,1120.5,719.0,,718.9,-561.0,-564.9,-437.1,-154.5,-556.0,,-556.1,False,True,True,True,,True
Illinois,16326,11635.1,14637.5,11773.7,13920.9,10856.0,,10671.4,-4690.9,-1688.5,-4552.3,-2405.1,-5470.0,,-5654.6,True,True,True,False,,False
Indiana,7338,5247.9,6861.7,5348.7,6928.0,4672.0,,4553.5,-2090.1,-476.3,-1989.3,-410.0,-2666.0,,-2784.5,True,True,True,False,,False
Iowa,3532,2152.0,2198.8,2277.3,2815.9,2065.0,,2018.3,-1380.0,-1333.2,-1254.7,-716.1,-1467.0,,-1513.7,True,True,True,False,,False
Kansas,2341,1611.9,2169.7,1383.6,2335.2,1264.0,,1288.7,-729.1,-171.3,-957.4,-5.8,-1077.0,,-1052.3,True,False,True,False,,False
Kentucky,2371,1902.6,2751.9,1885.6,2620.9,1747.0,,1897.0,-468.4,380.9,-485.4,249.9,-624.0,,-474.0,True,False,True,False,,False
Louisiana,6994,6591.4,6275.6,6285.3,7018.9,6291.0,,6817.0,-402.6,-718.4,-708.7,24.9,-703.0,,-177.0,False,False,True,False,,True
Maine,292,172.6,385.0,156.9,157.8,175.0,,151.6,-119.4,93.0,-135.1,-134.2,-117.0,,-140.4,True,False,False,True,,False
Maryland,5412,4373.6,4782.0,4296.0,4415.3,4227.0,12812.0,4233.9,-1038.4,-630.0,-1116.0,-996.7,-1185.0,7400.0,-1178.1,True,False,True,False,False,False
Massachusetts,11657,10915.0,11451.2,10949.7,11373.5,10451.0,,10195.3,-742.0,-205.8,-707.3,-283.5,-1206.0,,-1461.7,True,True,True,False,,False
Michigan,12074,8411.7,10711.0,8460.8,9279.1,7992.0,,7810.4,-3662.3,-1363.0,-3613.2,-2794.9,-4082.0,,-4263.6,True,True,True,False,,False
Minnesota,4839,3110.7,4303.0,3129.6,3755.6,3094.0,,2915.5,-1728.3,-536.0,-1709.4,-1083.4,-1745.0,,-1923.5,True,True,True,False,,False
Mississippi,4390,3791.0,4136.4,3896.4,3887.5,3822.0,,3817.1,-599.0,-253.6,-493.6,-502.5,-568.0,,-572.9,True,True,True,True,,True
Missouri,5048,4080.0,4883.6,4313.3,3720.7,4036.0,,2998.4,-968.0,-164.4,-734.7,-1327.3,-1012.0,,-2049.6,True,True,False,False,,False
Montana,864,515.6,885.1,664.1,537.6,515.0,,413.5,-348.4,21.1,-199.9,-326.4,-349.0,,-450.5,True,True,True,False,,False
Nebraska,1475,804.9,1461.2,901.3,1281.4,742.0,,610.5,-670.1,-13.8,-573.7,-193.6,-733.0,,-864.5,True,True,True,False,,False
Nevada,2749,2144.0,2525.2,2211.8,2144.5,1982.0,,2297.9,-605.0,-223.8,-537.2,-604.5,-767.0,,-451.1,True,True,True,False,,True
New Hampshire,650,554.6,535.2,585.4,877.9,535.0,,503.5,-95.4,-114.8,-64.6,227.9,-115.0,,-146.5,False,True,False,False,,False
New Jersey,18173,16538.7,16498.0,16762.0,16349.5,16410.0,,16403.2,-1634.3,-1675.0,-1411.0,-1823.5,-1763.0,,-1769.8,False,True,False,False,,False
New Mexico,2155,1137.7,1379.1,1483.3,1243.6,1066.0,,1036.1,-1017.3,-775.9,-671.7,-911.4,-1089.0,,-1118.9,True,True,True,False,,False
New York,36318,33915.0,33544.5,34026.8,35286.7,33703.0,,33673.3,-2201.0,-2571.5,-2089.2,-829.3,-2413.0,,-2442.7,False,True,True,False,,False
North Carolina,6184,5386.6,8602.0,5505.9,5837.4,5012.0,,4962.4,-797.4,2418.0,-678.1,-346.6,-1172.0,,-1221.6,False,True,True,False,,False
North Dakota,1231,997.4,1108.5,1069.4,931.8,867.0,,623.4,-233.6,-122.5,-161.6,-299.2,-364.0,,-607.6,True,True,False,False,,False
Ohio,8031,5669.3,5548.4,6621.7,7033.9,6279.0,,5869.3,-2361.7,-2482.6,-1409.3,-997.1,-1752.0,,-2161.7,False,True,True,True,,True
Oklahoma,2189,1817.6,3025.6,1614.4,1731.8,1736.0,,1670.2,-371.4,836.6,-574.6,-457.2,-453.0,,-518.8,False,False,False,False,,False
Oregon,1340,806.0,787.4,942.0,1038.4,740.0,,822.2,-534.0,-552.6,-398.0,-301.6,-600.0,,-517.8,False,True,True,False,,True
Pennsylvania,13754,9660.7,9843.1,9976.8,11336.6,9387.0,,8923.6,-4093.3,-3910.9,-3777.2,-2417.4,-4367.0,,-4830.4,True,True,True,False,,False
Rhode Island,1625,1346.9,1886.2,1275.7,1234.7,1233.0,,1182.6,-278.1,261.2,-349.3,-390.3,-392.0,,-442.4,True,False,False,False,,False
South Carolina,4895,4518.0,4534.1,4269.9,5005.5,4095.0,,4436.3,-377.0,-360.9,-625.1,110.5,-800.0,,-458.7,True,False,True,False,,False
South Dakota,1350,650.7,624.2,890.3,766.5,515.0,,378.6,-699.3,-725.8,-459.7,-583.5,-835.0,,-971.4,False,True,True,False,,False
Tennessee,5960,4166.7,4290.4,4831.2,6080.2,4202.0,,4285.2,-1793.3,-1669.6,-1128.8,120.2,-1758.0,,-1674.8,True,True,True,True,,True
Texas,25714,21840.4,22477.4,20908.4,22965.4,21960.0,36320.0,21035.7,-3800.6,-3163.6,-4732.6,-2675.6,-3681.0,10679.0,-4605.3,True,False,True,True,False,False
Utah,1148,773.3,687.0,1065.3,2045.8,792.0,,767.7,-374.7,-461.0,-82.7,897.8,-356.0,,-380.3,False,True,False,True,,False
Vermont,108,58.0,58.7,61.8,60.7,58.0,,59.3,-50.0,-49.3,-46.2,-47.3,-50.0,,-48.7,True,True,True,False,,True
Virginia,4643,4094.3,4503.7,4144.8,4573.6,4085.0,,3741.9,-545.7,-136.3,-495.2,-66.4,-555.0,,-898.1,True,True,True,False,,False
Washington,3104,2673.0,3343.1,2657.3,2814.3,2581.0,,2702.6,-449.0,221.1,-464.7,-307.7,-541.0,,-419.4,True,False,True,False,,True
West Virginia,1122,552.6,693.2,579.1,695.6,624.0,,564.5,-569.4,-428.8,-542.9,-426.4,-498.0,,-557.5,True,True,True,True,,True
Wisconsin,4722,2539.4,3169.2,2894.1,4189.3,2506.0,,2300.9,-1957.6,-1327.8,-1602.9,-307.7,-1991.0,,-2196.1,True,True,True,False,,False
Wyoming,351,83.6,139.3,132.6,86.6,93.0,,73.0,-267.4,-211.7,-218.4,-264.4,-258.0,,-278.0,True,True,True,True,,False
US,316159,263127.1,291229.4,257343.2,290505.1,254113.0,259988.0,256997.3,-52543.9,-24441.6,-58327.8,-25165.9,-61558.0,-55683.0,-58673.7,True,False,True,False,False,False
