,mean_rank
COVIDhub-ensemble,14.5
LNQ-ens1,14.8
Google_Harvard-CPF,14.9
UMass-MechBayes,15.3
Karlen-pypm,15.5
MSRA-DeepST,15.6
CMU-TimeSeries,16.1
Caltech-CS156,16.4
UA-EpiCovDA,17.0
OliverWyman-Navigator,17.1
USC-SI_kJalpha,17.2
MIT_CritData-GBCF,18.1
SteveMcConnell-CovidComplete,18.2
CU-select,18.3
JCB-PRM,18.8
IowaStateLW-STEM,19.4
CovidAnalytics-DELPHI,20.2
GT-DeepCOVID,20.3
UCSD_NEU-DeepGLEAM,20.7
JHU_CSSE-DECOM,20.8
LANL-GrowthRate,21.3
IHME-CurveFit,21.3
MOBS-GLEAM_COVID,21.4
Covid19Sim-Simulator,21.6
JHU_IDD-CovidSP,21.6
BPagano-RtDriven,21.6
JHUAPL-Bucky,22.2
UCSB-ACTS,22.9
epiforecasts-ensemble1,23.1
UCLA-SuEIR,23.2
DDS-NBDS,24.0
CEID-Walk,24.1
COVIDhub-baseline,24.3
Columbia_UNC-SurvCon,24.6
RobertWalraven-ESG,25.5
TTU-squider,26.3
UMich-RidgeTfReg,28.5
USACE-ERDC_SEIR,28.8
UT-Mobility,28.9
PSI-DRAFT,29.0
NotreDame-mobility,30.5
WalmartLabsML-LogForecasting,38.8
