,mean_rank
Google_Harvard-CPF,12.2
Karlen-pypm,12.3
MIT_CritData-GBCF,13.4
UCSD_NEU-DeepGLEAM,13.5
OliverWyman-Navigator,14.0
MSRA-DeepST,14.5
USC-SI_kJalpha,15.3
BPagano-RtDriven,15.4
JHU_CSSE-DECOM,15.4
JCB-PRM,15.5
MOBS-GLEAM_COVID,15.8
COVIDhub-ensemble,16.3
SteveMcConnell-CovidComplete,16.5
GT-DeepCOVID,16.6
UCSB-ACTS,17.1
Caltech-CS156,17.8
Covid19Sim-Simulator,17.8
CovidAnalytics-DELPHI,18.3
IowaStateLW-STEM,18.4
JHUAPL-Bucky,18.4
UMass-MechBayes,18.8
CMU-TimeSeries,19.3
JHU_IDD-CovidSP,21.4
UA-EpiCovDA,22.3
Columbia_UNC-SurvCon,22.6
TTU-squider,23.2
LANL-GrowthRate,23.9
epiforecasts-ensemble1,24.0
NotreDame-mobility,25.2
LNQ-ens1,25.4
USACE-ERDC_SEIR,25.5
PSI-DRAFT,25.5
CU-select,26.1
CEID-Walk,26.7
COVIDhub-baseline,26.9
UT-Mobility,26.9
RobertWalraven-ESG,27.2
DDS-NBDS,28.2
UCLA-SuEIR,28.7
WalmartLabsML-LogForecasting,37.8
