,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4389,4468.4,4569.3,4501.0,4516.0,4486.9,4402.0,4277.0,4332.7,4085.0,4176.1,4326.0,4449.2,4338.2,4291.3,,4680.6,4577.0,4478.4,4403.6,4414.0,4206.0,4576.4,4508.0,4444.3,4401.0,4490.7,4426.9,4441.0,,4264.8,4688.9,4387.0,,4192.0,4878.6,4389.0,4389.3,4375.0,4563.4,,4311.1,4502.4,4643.1,4360.0,,4409.0,4235.5,4250.2,4071.4,4548.0,79.4,180.3,112.0,127.0,97.9,13.0,-112.0,-56.3,-304.0,-212.9,-63.0,60.2,-50.8,-97.7,,291.6,188.0,89.4,14.6,25.0,-183.0,187.4,119.0,55.3,12.0,101.7,37.9,52.0,,-124.2,299.9,-2.0,,-197.0,489.6,0.0,0.3,-14.0,174.4,,-77.9,113.4,254.1,-29.0,,20.0,-153.5,-138.8,-317.6,159.0,False,False,False,False,True,False,True,False,False,True,True,True,False,,False,False,False,True,True,False,False,False,True,True,False,True,True,,False,False,True,,False,False,True,True,True,False,,True,False,False,True,,True,False,False,False,False
Alaska,184,183.9,204.7,186.3,195.0,187.0,183.0,181.0,173.1,150.0,168.1,172.0,165.5,179.0,190.6,,162.2,,164.2,174.3,196.0,193.0,180.7,187.5,185.7,220.0,194.3,194.4,197.8,,159.1,178.8,182.0,,,231.2,180.0,188.6,191.0,182.9,,203.6,203.0,238.3,184.0,,179.0,164.0,173.2,156.8,182.0,-0.1,20.7,2.3,11.0,3.0,-1.0,-3.0,-10.9,-34.0,-15.9,-12.0,-18.5,-5.0,6.6,,-21.8,,-19.8,-9.7,12.0,9.0,-3.3,3.5,1.7,36.0,10.3,10.4,13.8,,-24.9,-5.2,-2.0,,,47.2,-4.0,4.6,7.0,-1.1,,19.6,19.0,54.3,0.0,,-5.0,-20.0,-10.8,-27.2,-2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,True,,False,False,False,False,False
Arizona,7937,7536.9,7790.9,7543.2,7623.0,7527.2,7572.0,7522.0,7630.9,7239.0,7392.8,7126.0,7555.7,7743.7,7550.3,,7250.5,7504.0,7691.7,7689.5,7601.0,7563.1,7723.8,7921.5,7704.3,7680.0,7588.3,7614.7,7629.7,,7566.7,7695.0,7466.0,,7544.0,7923.1,7591.0,8001.0,7634.0,7560.4,,7541.6,7609.2,7806.7,7793.0,,7691.0,7629.0,7291.0,7138.3,7661.0,-400.1,-146.1,-393.8,-314.0,-409.8,-365.0,-415.0,-306.1,-698.0,-544.2,-811.0,-381.3,-193.3,-386.7,,-686.5,-433.0,-245.3,-247.5,-336.0,-373.9,-213.2,-15.5,-232.7,-257.0,-348.7,-322.3,-307.3,,-370.3,-242.0,-471.0,,-393.0,-13.9,-346.0,64.0,-303.0,-376.6,,-395.4,-327.8,-130.3,-144.0,,-246.0,-308.0,-646.0,-798.7,-276.0,True,True,True,False,True,False,True,False,False,False,True,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,True,True,True,True,True,True,,True,True,True,True,,True,True,False,False,True
Arkansas,3191,3012.9,2920.1,2970.0,3016.0,2962.0,2954.0,2867.0,2956.2,2659.0,2834.4,3014.0,2925.3,2993.0,2936.6,,3237.6,2950.0,2974.9,2971.5,2936.0,2873.4,3041.2,2970.0,3038.3,2979.0,2938.6,2993.5,3000.5,,2944.5,3080.3,2838.0,,2994.5,3011.4,2949.0,3234.5,2997.0,3031.8,,2941.6,2957.6,3122.6,3066.0,,3002.0,2926.0,2864.0,2818.1,2844.0,-178.1,-270.9,-221.0,-175.0,-229.0,-237.0,-324.0,-234.8,-532.0,-356.6,-177.0,-265.7,-198.0,-254.4,,46.6,-241.0,-216.1,-219.5,-255.0,-317.6,-149.8,-221.0,-152.7,-212.0,-252.4,-197.5,-190.5,,-246.5,-110.7,-353.0,,-196.5,-179.6,-242.0,43.5,-194.0,-159.2,,-249.4,-233.4,-68.4,-125.0,,-189.0,-265.0,-327.0,-372.9,-347.0,False,False,True,False,False,False,False,False,False,True,False,False,False,,True,False,False,False,False,False,True,False,True,False,False,False,False,,False,True,False,,False,False,False,True,False,True,,False,False,True,True,,False,False,False,False,False
California,22582,21371.0,21875.1,21475.2,21735.0,21378.0,21612.0,22367.0,21850.9,20760.0,20730.0,20716.0,21159.3,21892.0,21724.7,,21984.8,21663.0,21471.4,21953.6,21564.0,21970.8,21970.2,22071.0,22265.1,21701.0,21478.7,21731.8,21731.2,,20787.8,21887.1,23534.0,,20973.3,22532.6,21439.0,17832.2,21325.0,21511.5,21497.0,21025.8,21527.8,22277.7,22113.0,,21782.0,22111.0,,20524.0,22133.0,-1211.0,-706.9,-1106.8,-847.0,-1204.0,-970.0,-215.0,-731.1,-1822.0,-1852.0,-1866.0,-1422.7,-690.0,-857.3,,-597.2,-919.0,-1110.6,-628.4,-1018.0,-611.2,-611.8,-511.0,-316.9,-881.0,-1103.3,-850.2,-850.8,,-1794.2,-694.9,952.0,,-1608.7,-49.4,-1143.0,-4749.8,-1257.0,-1070.5,-1085.0,-1556.2,-1054.2,-304.3,-469.0,,-800.0,-471.0,,-2058.0,-449.0,True,True,True,True,True,True,True,False,False,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,False,True,True,False,False,True,True,False,True,True,True,,True,True,,False,True
Colorado,4339,4011.6,4272.0,4155.2,4208.0,4105.0,3998.0,3904.0,4077.8,3430.0,3917.6,3896.0,4028.6,3947.2,3982.4,,4365.4,4208.0,4131.0,3938.3,4054.0,3871.3,4015.7,3893.0,4064.1,4096.0,4164.5,3997.6,4024.1,,3785.7,4181.0,4150.0,,4123.8,4333.3,3802.0,3781.4,3656.0,4166.8,,4122.4,4203.4,4321.7,3882.0,,3991.0,4045.0,3955.6,3482.2,3904.0,-327.4,-67.0,-183.8,-131.0,-234.0,-341.0,-435.0,-261.2,-909.0,-421.4,-443.0,-310.4,-391.8,-356.6,,26.4,-131.0,-208.0,-400.7,-285.0,-467.7,-323.3,-446.0,-274.9,-243.0,-174.5,-341.4,-314.9,,-553.3,-158.0,-189.0,,-215.2,-5.7,-537.0,-557.6,-683.0,-172.2,,-216.6,-135.6,-17.3,-457.0,,-348.0,-294.0,-383.4,-856.8,-435.0,True,True,True,True,False,False,True,False,False,False,True,False,False,,True,True,True,False,True,False,True,False,True,True,True,False,True,,False,True,True,,True,True,False,False,False,True,,True,True,True,False,,False,True,False,False,False
Connecticut,5581,5489.6,5677.7,5512.8,5532.0,5516.0,5517.0,5478.0,5506.2,5205.0,5394.3,5331.0,5532.4,5510.8,5568.2,,5451.7,5536.0,5580.3,5626.8,5555.0,5426.8,5646.6,5552.0,5473.5,5520.0,5583.0,5594.1,5595.1,,5323.9,5571.6,5280.0,,5659.6,5520.1,5579.0,5585.0,5355.0,5506.2,,5473.6,5598.8,5577.8,5566.0,,5480.0,5451.0,5605.6,5208.4,5517.0,-91.4,96.7,-68.2,-49.0,-65.0,-64.0,-103.0,-74.8,-376.0,-186.7,-250.0,-48.6,-70.2,-12.8,,-129.3,-45.0,-0.7,45.8,-26.0,-154.2,65.6,-29.0,-107.5,-61.0,2.0,13.1,14.1,,-257.1,-9.4,-301.0,,78.6,-60.9,-2.0,4.0,-226.0,-74.8,,-107.4,17.8,-3.2,-15.0,,-101.0,-130.0,24.6,-372.6,-64.0,False,True,True,True,True,False,True,False,False,False,True,True,True,,False,True,True,True,True,False,True,True,False,True,True,True,True,,False,True,False,,True,True,True,True,False,True,,False,True,True,True,,False,False,True,False,True
Delaware,858,835.7,861.8,817.5,822.0,820.0,844.0,879.0,838.4,802.0,817.0,833.0,859.8,868.1,846.1,,813.9,841.0,826.7,853.0,845.0,859.6,839.9,850.0,844.3,855.0,825.6,862.5,860.0,,864.1,833.2,833.0,,,801.7,838.0,943.5,864.0,819.5,,844.0,844.6,861.6,864.0,,849.0,830.0,841.9,810.9,847.0,-22.3,3.8,-40.5,-36.0,-38.0,-14.0,21.0,-19.6,-56.0,-41.0,-25.0,1.8,10.1,-11.9,,-44.1,-17.0,-31.3,-5.0,-13.0,1.6,-18.1,-8.0,-13.7,-3.0,-32.4,4.5,2.0,,6.1,-24.8,-25.0,,,-56.3,-20.0,85.5,6.0,-38.5,,-14.0,-13.4,3.6,6.0,,-9.0,-28.0,-16.1,-47.1,-11.0,True,False,False,False,True,True,True,False,False,False,True,True,True,,False,True,False,True,True,True,True,True,True,True,False,True,True,,True,False,False,,,False,True,False,True,False,,True,True,True,True,,True,False,True,False,True
District of Columbia,730,728.6,737.8,728.9,734.0,729.0,731.0,732.0,736.0,713.0,719.6,706.0,735.1,739.8,744.8,,717.6,722.0,729.5,736.2,731.0,727.2,736.3,736.0,726.0,735.0,,,,,708.8,734.9,736.0,,,727.0,730.0,747.2,731.0,730.9,,717.2,,740.5,731.0,,731.0,729.0,723.2,705.6,732.0,-1.4,7.8,-1.1,4.0,-1.0,1.0,2.0,6.0,-17.0,-10.4,-24.0,5.1,9.8,14.8,,-12.4,-8.0,-0.5,6.2,1.0,-2.8,6.3,6.0,-4.0,5.0,,,,,-21.2,4.9,6.0,,,-3.0,0.0,17.2,1.0,0.9,,-12.8,,10.5,1.0,,1.0,-1.0,-6.8,-24.4,2.0,False,True,False,True,True,False,False,False,False,False,False,False,False,,False,False,True,False,True,False,False,False,False,False,,,,,False,False,False,,,False,True,False,True,True,,False,,False,True,,True,True,False,False,False
Florida,20473,20434.3,20695.5,20365.5,20582.0,20368.3,20538.0,20580.0,20474.3,19684.0,19808.3,20069.0,20488.1,20599.7,20203.0,,20555.9,20348.0,20537.7,20541.4,20777.0,20883.8,20482.0,20716.0,20830.3,20625.0,20742.3,20592.8,20611.6,,20512.0,20590.0,19688.0,,20725.6,20238.9,20439.0,21713.2,20555.0,20420.3,,20178.9,20762.6,20891.9,20617.0,,20611.0,21203.0,,19841.7,20499.0,-38.7,222.5,-107.5,109.0,-104.7,65.0,107.0,1.3,-789.0,-664.7,-404.0,15.1,126.7,-270.0,,82.9,-125.0,64.7,68.4,304.0,410.8,9.0,243.0,357.3,152.0,269.3,119.8,138.6,,39.0,117.0,-785.0,,252.6,-234.1,-34.0,1240.2,82.0,-52.7,,-294.1,289.6,418.9,144.0,,138.0,730.0,,-631.3,26.0,False,False,False,False,False,False,True,False,False,False,True,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,,False,False,True,False,False,False,,False,False,False,False,,False,False,,False,True
