,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,error-Baseline,error-IHME-CurveFit,error-STH-3PU,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU
Alabama,4389,4426.9,5357.0,,37.9,968.0,,False,
Alaska,184,63.7,33.9,,-120.3,-150.1,,False,
Arizona,7937,11410.0,7645.4,,3473.0,-291.6,,True,
Arkansas,3191,2052.6,2684.7,,-1138.4,-506.3,,True,
California,22582,28875.9,40877.3,,6293.9,18295.3,,False,
Colorado,4339,2122.0,5675.2,,-2217.0,1336.2,,True,
Connecticut,5581,4610.7,5123.3,,-970.3,-457.7,,True,
Delaware,858,704.1,816.0,,-153.9,-42.0,,True,
District of Columbia,730,685.3,609.9,,-44.7,-120.1,,False,
Florida,20473,28966.6,21916.2,,8493.6,1443.2,,True,
Georgia,10381,10968.7,11887.4,,587.7,1506.4,,False,
Hawaii,281,125.3,28.3,,-155.7,-252.7,,False,
Idaho,1275,991.3,1150.5,,-283.7,-124.5,,True,
Illinois,16326,10315.3,11074.5,,-6010.7,-5251.5,,True,
Indiana,7338,4285.6,5258.8,,-3052.4,-2079.2,,True,
Iowa,3532,1930.4,2833.1,,-1601.6,-698.9,,True,
Kansas,2341,738.3,2458.1,,-1602.7,117.1,,True,
Kentucky,2371,1357.6,3736.8,,-1013.4,1365.8,,False,
Louisiana,6994,9090.4,8352.3,,2096.4,1358.3,,True,
Maine,292,162.7,168.2,,-129.3,-123.8,,True,
Maryland,5412,4905.0,6066.0,,-507.0,654.0,,False,
Massachusetts,11657,10564.1,11276.6,,-1092.9,-380.4,,True,
Michigan,12074,7688.1,8184.3,,-4385.9,-3889.7,,True,
Minnesota,4839,2527.7,2812.0,,-2311.3,-2027.0,,True,
Mississippi,4390,5535.4,3702.5,,1145.4,-687.5,,True,
Missouri,5048,2427.7,5778.0,,-2620.3,730.0,,True,
Montana,864,339.0,444.9,,-525.0,-419.1,,True,
Nebraska,1475,590.1,1153.2,,-884.9,-321.8,,True,
Nevada,2749,3314.1,3319.0,,565.1,570.0,,False,
New Hampshire,650,456.7,690.1,,-193.3,40.1,,True,
New Jersey,18173,16590.6,16618.0,,-1582.4,-1555.0,,True,
New Mexico,2155,1269.6,2166.5,,-885.4,11.5,,True,
New York,36318,33980.9,34459.5,,-2356.1,-1877.5,,True,
North Carolina,6184,6133.1,10124.6,,-50.9,3940.6,,False,
North Dakota,1231,244.0,251.3,,-987.0,-979.7,,True,
Ohio,8031,6309.0,11330.2,,-1722.0,3299.2,,False,
Oklahoma,2189,1602.4,3542.0,,-586.6,1353.0,,False,
Oregon,1340,921.7,3510.6,,-418.3,2170.6,,False,
Pennsylvania,13754,8970.4,9599.8,,-4783.6,-4154.2,,True,
Rhode Island,1625,1146.0,1121.8,,-468.0,-492.2,,False,
South Carolina,4895,6820.7,3808.9,,1925.7,-1086.1,,True,
South Dakota,1350,353.4,302.9,,-996.6,-1047.1,,False,
Tennessee,5960,4051.6,3735.3,,-1908.4,-2224.7,,False,
Texas,25714,38875.9,29045.6,22279.0,13321.9,3491.6,-3275.0,True,True
Utah,1148,807.4,2003.8,,-340.6,855.8,,False,
Vermont,108,76.9,65.7,,-31.1,-42.3,,False,
Virginia,4643,4362.6,7011.2,,-280.4,2368.2,,False,
Washington,3104,3422.9,6513.3,,352.9,3443.3,,False,
West Virginia,1122,553.9,268.8,,-568.1,-853.2,,False,
Wisconsin,4722,1940.9,4618.5,,-2730.1,-52.5,,True,
Wyoming,351,65.7,27.0,,-285.3,-324.0,,False,
US,316159,301971.7,331238.5,265265.0,-13950.3,15316.5,-50657.0,False,False
