,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,JHUAPL-Bucky,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4389,3708.9,6627.2,3141.8,3190.0,3082.5,,3292.6,-680.1,2238.2,-1247.2,-1199.0,-1306.5,,-1096.4,False,False,False,False,,False
Alaska,184,79.7,62.5,196.2,,170.3,,80.8,-104.3,-121.5,12.2,,-13.7,,-103.2,False,True,,True,,True
Arizona,7937,6281.4,5848.8,7042.8,6403.0,6297.9,,6686.1,-1655.6,-2088.2,-894.2,-1534.0,-1639.1,,-1250.9,False,True,True,True,,True
Arkansas,3191,2988.4,4087.5,2748.4,2798.0,2461.8,,2441.9,-202.6,896.5,-442.6,-393.0,-729.2,,-749.1,False,False,False,False,,False
California,22582,20837.3,21069.1,21243.2,19339.0,19896.6,,20064.6,-1744.7,-1512.9,-1338.8,-3243.0,-2685.4,,-2517.4,True,True,False,False,,False
Colorado,4339,2556.6,3790.5,2583.4,2321.5,2728.2,,2325.1,-1782.4,-548.5,-1755.6,-2017.5,-1610.8,,-2013.9,True,True,False,True,,False
Connecticut,5581,4697.6,4918.9,4700.3,4636.0,4921.5,,4609.1,-883.4,-662.1,-880.7,-945.0,-659.5,,-971.9,True,True,False,True,,False
Delaware,858,742.7,768.7,769.4,730.0,745.8,,697.0,-115.3,-89.3,-88.6,-128.0,-112.2,,-161.0,True,True,False,True,,False
District of Columbia,730,696.1,709.5,681.8,655.0,712.1,,654.2,-33.9,-20.5,-48.2,-75.0,-17.9,,-75.8,True,False,False,True,,False
Florida,20473,22195.0,20456.6,20396.2,19225.0,18786.1,,18858.7,1722.0,-16.4,-76.8,-1248.0,-1686.9,,-1614.3,True,True,True,True,,True
Georgia,10381,9919.7,9494.6,9020.5,8813.0,8543.7,,9399.4,-461.3,-886.4,-1360.5,-1568.0,-1837.3,,-981.6,False,False,False,False,,False
Hawaii,281,297.1,502.8,270.3,,295.7,,237.0,16.1,221.8,-10.7,,14.7,,-44.0,False,True,,True,,False
Idaho,1275,753.4,1375.5,835.0,704.0,793.7,,731.8,-521.6,100.5,-440.0,-571.0,-481.3,,-543.2,True,True,False,True,,False
Illinois,16326,11102.9,12195.7,11068.4,10653.0,11372.8,,10530.3,-5223.1,-4130.3,-5257.6,-5673.0,-4953.2,,-5795.7,True,False,False,True,,False
Indiana,7338,4922.6,5682.1,4911.6,4507.0,5065.6,,4382.2,-2415.4,-1655.9,-2426.4,-2831.0,-2272.4,,-2955.8,True,False,False,True,,False
Iowa,3532,2201.3,2745.2,2175.1,1945.0,2044.5,,2029.9,-1330.7,-786.8,-1356.9,-1587.0,-1487.5,,-1502.1,True,False,False,False,,False
Kansas,2341,1602.0,4021.7,1256.9,1296.0,1427.2,,1104.3,-739.0,1680.7,-1084.1,-1045.0,-913.8,,-1236.7,False,False,False,False,,False
Kentucky,2371,1675.9,1916.9,1928.0,1795.0,2050.2,,1980.9,-695.1,-454.1,-443.0,-576.0,-320.8,,-390.1,True,True,True,True,,True
Louisiana,6994,6423.9,6192.8,6354.7,6326.0,6296.3,,7152.3,-570.1,-801.2,-639.3,-668.0,-697.7,,158.3,False,False,False,False,,True
Maine,292,152.9,205.7,159.1,177.0,165.1,,150.2,-139.1,-86.3,-132.9,-115.0,-126.9,,-141.8,True,True,True,True,,False
Maryland,5412,4403.1,4314.7,4332.3,4207.0,4413.8,12828.0,4207.6,-1008.9,-1097.3,-1079.7,-1205.0,-998.2,7416.0,-1204.4,False,False,False,True,False,False
Massachusetts,11657,10530.6,10056.4,11754.6,10165.0,10744.1,,9926.9,-1126.4,-1600.6,97.6,-1492.0,-912.9,,-1730.1,False,True,False,True,,False
Michigan,12074,8155.4,8907.8,8121.7,7846.0,8789.4,,7641.7,-3918.6,-3166.2,-3952.3,-4228.0,-3284.6,,-4432.3,True,False,False,True,,False
Minnesota,4839,2795.3,3275.3,3093.1,2910.0,3030.2,,2845.5,-2043.7,-1563.7,-1745.9,-1929.0,-1808.8,,-1993.5,True,True,True,True,,True
Mississippi,4390,3968.4,3858.3,3911.2,4112.0,3891.6,,3896.1,-421.6,-531.7,-478.8,-278.0,-498.4,,-493.9,False,False,True,False,,False
