,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,4389,3969.7,5027.9,5801.8,3374.0,,-419.3,638.9,1412.8,-1015.0,,False,False,False,
Alaska,184,116.3,136.1,65.4,,,-67.7,-47.9,-118.6,,,True,False,,
Arizona,7937,8058.7,6715.9,7854.1,8016.0,,121.7,-1221.1,-82.9,79.0,,False,True,True,
Arkansas,3191,2528.3,2397.2,2972.7,2068.0,,-662.7,-793.8,-218.3,-1123.0,,False,True,False,
California,22582,25527.6,18182.6,42654.1,22692.0,,2945.6,-4399.4,20072.1,110.0,,False,False,True,
Colorado,4339,2417.7,2235.4,3426.9,2329.0,,-1921.3,-2103.6,-912.1,-2010.0,,False,True,False,
Connecticut,5581,4512.6,4561.1,4851.6,4622.0,,-1068.4,-1019.9,-729.4,-959.0,,True,True,True,
Delaware,858,683.3,694.4,1127.9,670.0,,-174.7,-163.6,269.9,-188.0,,True,False,False,
District of Columbia,730,685.3,645.1,972.2,651.0,,-44.7,-84.9,242.2,-79.0,,False,False,False,
Florida,20473,22694.7,16229.4,24957.4,19006.0,,2221.7,-4243.6,4484.4,-1467.0,,False,False,True,
Georgia,10381,12470.1,9207.8,13240.2,8730.0,,2089.1,-1173.2,2859.2,-1651.0,,True,False,True,
Hawaii,281,411.9,386.0,220.8,,,130.9,105.0,-60.2,,,True,True,,
Idaho,1275,771.3,671.7,1513.0,839.0,,-503.7,-603.3,238.0,-436.0,,False,True,True,
Illinois,16326,10796.9,10700.1,16967.0,9576.0,,-5529.1,-5625.9,641.0,-6750.0,,False,True,False,
Indiana,7338,4448.6,4326.9,6913.1,4401.0,,-2889.4,-3011.1,-424.9,-2937.0,,False,True,False,
Iowa,3532,1969.3,2932.3,3527.0,2225.0,,-1562.7,-599.7,-5.0,-1307.0,,True,True,True,
Kansas,2341,956.4,1146.9,2074.2,739.0,,-1384.6,-1194.1,-266.8,-1602.0,,True,True,False,
Kentucky,2371,1991.4,2168.2,4146.0,1426.0,,-379.6,-202.8,1775.0,-945.0,,True,False,False,
Louisiana,6994,7499.9,5974.3,8548.1,6809.0,,505.9,-1019.7,1554.1,-185.0,,False,False,True,
Maine,292,163.7,161.7,271.7,216.0,,-128.3,-130.3,-20.3,-76.0,,False,True,True,
Maryland,5412,4497.3,4596.5,7379.4,4160.0,,-914.7,-815.5,1967.4,-1252.0,,True,False,False,
Massachusetts,11657,10254.1,13156.8,13765.4,9535.0,,-1402.9,1499.8,2108.4,-2122.0,,False,False,False,
Michigan,12074,7667.7,7710.4,12134.5,7902.0,,-4406.3,-4363.6,60.5,-4172.0,,True,True,True,
Minnesota,4839,2562.7,2802.7,5791.3,2515.0,,-2276.3,-2036.3,952.3,-2324.0,,True,True,False,
Mississippi,4390,4708.6,3944.4,4118.0,4718.0,,318.6,-445.6,-272.0,328.0,,False,True,False,
Missouri,5048,3943.3,3824.7,5368.3,2456.0,,-1104.7,-1223.3,320.3,-2592.0,,False,True,False,
Montana,864,310.1,383.4,261.6,404.0,,-553.9,-480.6,-602.4,-460.0,,True,False,True,
Nebraska,1475,582.3,730.6,1273.6,637.0,,-892.7,-744.4,-201.4,-838.0,,True,True,True,
Nevada,2749,2681.6,1996.1,4025.8,2218.0,,-67.4,-752.9,1276.8,-531.0,,False,False,False,
New Hampshire,650,447.9,473.8,661.9,469.0,,-202.1,-176.2,11.9,-181.0,,True,True,True,
New Jersey,18173,16761.6,16212.9,17116.8,16476.0,,-1411.4,-1960.1,-1056.2,-1697.0,,False,True,False,
New Mexico,2155,1293.3,1116.9,2262.9,1172.0,,-861.7,-1038.1,107.9,-983.0,,False,True,False,
New York,36318,34145.9,33578.6,38236.0,33480.0,,-2172.1,-2739.4,1918.0,-2838.0,,False,True,False,
North Carolina,6184,5831.7,5833.7,9850.0,5275.0,,-352.3,-350.3,3666.0,-909.0,,True,False,False,
North Dakota,1231,364.0,582.7,570.9,297.0,,-867.0,-648.3,-660.1,-934.0,,True,True,False,
Ohio,8031,6190.4,6347.3,10632.8,6448.0,,-1840.6,-1683.7,2601.8,-1583.0,,True,False,True,
Oklahoma,2189,1655.3,1892.5,3399.2,1833.0,,-533.7,-296.5,1210.2,-356.0,,True,False,True,
Oregon,1340,822.7,810.9,2831.4,696.0,,-517.3,-529.1,1491.4,-644.0,,False,False,False,
Pennsylvania,13754,9116.9,9319.5,14884.2,8541.0,,-4637.1,-4434.5,1130.2,-5213.0,,True,True,False,
Rhode Island,1625,1188.7,1177.9,1971.1,1129.0,,-422.3,-433.1,360.1,-482.0,,False,True,False,
South Carolina,4895,5531.6,5266.0,6422.8,4385.0,,636.6,371.0,1527.8,-510.0,,True,False,True,
South Dakota,1350,262.1,553.2,396.5,334.0,,-1087.9,-796.8,-953.5,-1016.0,,True,True,True,
Tennessee,5960,3618.1,3665.5,6639.7,3741.0,,-2341.9,-2294.5,679.7,-2219.0,,True,True,True,
Texas,25714,28080.3,20204.0,32832.6,25412.0,24418.0,2468.3,-5408.0,7220.6,-200.0,-1194.0,False,False,True,True
Utah,1148,644.9,858.1,2161.3,827.0,,-503.1,-289.9,1013.3,-321.0,,True,False,True,
Vermont,108,58.0,61.7,59.3,58.0,,-50.0,-46.3,-48.7,-50.0,,True,True,False,
Virginia,4643,4297.4,4374.2,9009.2,3507.0,,-345.6,-268.8,4366.2,-1136.0,,True,False,False,
Washington,3104,2666.1,2256.7,4496.8,2374.0,,-442.9,-852.3,1387.8,-735.0,,False,False,False,
West Virginia,1122,769.0,1735.3,1458.2,446.0,,-353.0,613.3,336.2,-676.0,,False,True,False,
Wisconsin,4722,1851.4,2112.1,3964.0,1719.0,,-2814.6,-2553.9,-702.0,-2947.0,,True,True,False,
Wyoming,351,116.3,67.2,117.2,88.0,,-234.7,-283.8,-233.8,-263.0,,False,True,False,
US,316159,276850.7,234455.1,376197.9,252980.0,217188.0,-39140.3,-81535.9,60206.9,-63011.0,-98803.0,False,False,False,False
