,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,4389,3259.9,2999.7,4855.3,3486.0,3134.0,-1129.1,-1389.3,466.3,-903.0,-1255.0,False,True,True,False
Alaska,184,186.4,108.3,47.4,,85.0,2.4,-75.7,-136.6,,-99.0,False,False,,False
Arizona,7937,7354.1,6833.7,8461.6,6742.0,6802.8,-582.9,-1103.3,524.6,-1195.0,-1134.2,False,True,False,False
Arkansas,3191,2813.9,3549.7,2927.4,2075.0,2144.4,-377.1,358.7,-263.6,-1116.0,-1046.6,True,True,False,False
California,22582,22601.7,19358.3,36159.2,19529.0,20260.2,19.7,-3223.7,13577.2,-3053.0,-2321.8,False,False,False,False
Colorado,4339,2361.1,2620.7,2955.0,2302.0,2206.0,-1977.9,-1718.3,-1384.0,-2037.0,-2133.0,True,True,False,False
Connecticut,5581,4607.7,4609.7,6242.3,4606.0,4567.4,-973.3,-971.3,661.3,-975.0,-1013.6,True,True,False,False
Delaware,858,775.3,755.0,915.5,693.0,693.9,-82.7,-103.0,57.5,-165.0,-164.1,False,True,False,False
District of Columbia,730,671.4,653.5,752.2,639.0,653.0,-58.6,-76.5,22.2,-91.0,-77.0,False,True,False,False
Florida,20473,22758.9,19078.8,25996.1,17816.0,19086.1,2285.9,-1394.2,5523.1,-2657.0,-1386.9,True,False,False,True
Georgia,10381,11024.9,8348.4,10670.8,8862.0,9536.4,643.9,-2032.6,289.8,-1519.0,-844.6,False,True,False,False
Hawaii,281,274.3,191.9,170.0,,211.6,-6.7,-89.1,-111.0,,-69.4,False,False,,False
Idaho,1275,661.6,785.3,981.1,681.0,680.6,-613.4,-489.7,-293.9,-594.0,-594.4,True,True,True,True
