,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4389,4263.1,4846.1,4307.9,4480.0,4301.4,4316.0,4100.0,4172.2,4271.0,4043.5,4169.0,4112.9,4213.4,4294.4,,4200.4,4559.0,4492.5,4155.6,4623.0,4046.6,4338.4,4269.0,4396.1,4333.0,4612.0,4480.5,,3466.4,4622.3,4299.0,,4170.3,4530.6,4465.0,3854.9,4316.0,4166.8,,4506.4,4640.0,4342.0,4015.4,4364.2,4514.0,4097.0,3748.2,4410.0,-125.9,457.1,-81.1,91.0,-87.6,-73.0,-289.0,-216.8,-118.0,-345.5,-220.0,-276.1,-175.6,-94.6,,-188.6,170.0,103.5,-233.4,234.0,-342.4,-50.6,-120.0,7.1,-56.0,223.0,91.5,,-922.6,233.3,-90.0,,-218.7,141.6,76.0,-534.1,-73.0,-222.2,,117.4,251.0,-47.0,-373.6,-24.8,125.0,-292.0,-640.8,21.0,False,True,True,True,True,False,False,True,False,False,False,False,True,,False,False,True,False,False,False,True,True,True,True,False,True,,False,False,True,,False,False,True,False,True,False,,True,False,True,False,True,True,False,False,True
Alaska,184,122.3,143.1,122.0,187.0,118.2,152.0,179.0,168.3,155.0,236.7,160.0,135.0,163.2,252.0,,156.3,,126.0,164.5,207.0,197.5,160.0,139.0,155.0,302.0,154.7,150.0,,132.5,156.9,137.0,,,113.3,129.0,207.0,203.0,160.7,,267.6,154.4,165.0,126.7,209.3,126.0,115.0,117.1,,-61.7,-40.9,-62.0,3.0,-65.8,-32.0,-5.0,-15.7,-29.0,52.7,-24.0,-49.0,-20.8,68.0,,-27.7,,-58.0,-19.5,23.0,13.5,-24.0,-45.0,-29.0,118.0,-29.3,-34.0,,-51.5,-27.1,-47.0,,,-70.7,-55.0,23.0,19.0,-23.3,,83.6,-29.6,-19.0,-57.3,25.3,-58.0,-69.0,-66.9,,True,False,True,False,True,True,True,True,True,True,True,True,False,,True,,True,True,True,True,True,True,True,False,True,True,,True,True,True,,,False,True,True,True,True,,False,True,True,True,True,True,False,False,
Arizona,7937,7088.9,7106.4,7099.9,7591.0,7084.0,7324.0,7419.0,7624.3,8638.0,8237.9,6796.0,6982.4,7191.2,7543.5,,7626.2,7194.0,7675.8,7444.1,7376.0,7456.7,8070.5,7067.0,7781.0,7346.0,7204.3,7322.4,,6929.6,7479.7,9221.0,,7160.2,7964.4,7930.0,7981.7,7776.0,6974.5,,7758.7,7218.1,8372.0,7055.1,8423.3,7730.0,7200.0,6772.9,7282.0,-848.1,-830.6,-837.1,-346.0,-853.0,-613.0,-518.0,-312.7,701.0,300.9,-1141.0,-954.6,-745.8,-393.5,,-310.8,-743.0,-261.2,-492.9,-561.0,-480.3,133.5,-870.0,-156.0,-591.0,-732.7,-614.6,,-1007.4,-457.3,1284.0,,-776.8,27.4,-7.0,44.7,-161.0,-962.5,,-178.3,-718.9,435.0,-881.9,486.3,-207.0,-737.0,-1164.1,-655.0,True,True,True,False,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,False,True,True,True,True,,False,True,False,,True,True,True,True,True,False,,True,True,True,False,True,True,True,False,True
Arkansas,3191,3028.1,3458.3,3092.1,3170.0,3049.0,3079.0,2785.0,3021.5,3447.0,3155.7,3020.0,2961.0,3387.7,3206.9,,2659.8,3065.0,3175.6,3016.9,3366.0,2794.1,3355.2,2950.0,3113.6,3054.0,2878.4,3002.2,,2568.4,3301.9,3131.0,,3025.3,3054.5,3259.0,3323.9,3129.0,3260.1,,3257.9,2902.2,3104.0,2803.4,2870.0,3285.0,2698.0,2628.5,2842.0,-162.9,267.3,-98.9,-21.0,-142.0,-112.0,-406.0,-169.5,256.0,-35.3,-171.0,-230.0,196.7,15.9,,-531.2,-126.0,-15.4,-174.1,175.0,-396.9,164.2,-241.0,-77.4,-137.0,-312.6,-188.8,,-622.6,110.9,-60.0,,-165.7,-136.5,68.0,132.9,-62.0,69.1,,66.9,-288.8,-87.0,-387.6,-321.0,94.0,-493.0,-562.5,-349.0,False,True,True,True,True,False,False,False,True,False,False,False,True,,False,True,True,False,False,False,False,False,True,True,False,False,,False,True,True,,False,True,True,True,True,True,,True,False,True,False,False,True,False,False,False
California,22582,20515.7,23172.3,20204.0,22367.0,20347.3,20966.0,22436.0,21284.3,22532.0,20875.3,20129.0,20074.0,21511.5,20840.8,,20787.4,20727.0,20837.7,23285.5,21479.0,22220.6,20995.6,21015.0,22511.8,20885.0,20205.6,20995.9,,20011.2,21179.9,25681.0,,19783.9,21931.0,21398.0,17319.6,21408.0,20546.4,19846.0,19907.1,20241.5,23188.0,21469.7,23657.3,22059.0,20216.5,19816.9,20966.0,-2066.3,590.3,-2378.0,-215.0,-2234.7,-1616.0,-146.0,-1297.7,-50.0,-1706.7,-2453.0,-2508.0,-1070.5,-1741.2,,-1794.6,-1855.0,-1744.3,703.5,-1103.0,-361.4,-1586.4,-1567.0,-70.2,-1697.0,-2376.4,-1586.1,,-2570.8,-1402.1,3099.0,,-2798.1,-651.0,-1184.0,-5262.4,-1174.0,-2035.6,-2736.0,-2674.9,-2340.5,606.0,-1112.3,1075.3,-523.0,-2365.5,-2765.1,-1616.0,True,False,True,False,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,,False,True,False,,False,True,True,False,True,True,False,False,False,True,True,True,True,False,False,True
Colorado,4339,3808.9,4478.5,3833.9,4591.0,3834.9,4166.0,3965.0,4052.7,4915.0,4451.5,4167.0,3688.3,4360.1,4097.7,,3871.4,3936.0,4075.8,3666.6,4304.0,3903.8,4932.5,4401.0,4407.3,3976.0,4137.6,4255.7,,3580.7,4165.0,3703.0,,3606.4,4287.2,4066.0,4721.1,3439.0,3898.1,,4444.4,4188.3,4292.0,3659.3,6907.6,4516.0,4437.0,2988.3,7587.0,-530.1,139.5,-505.1,252.0,-504.1,-173.0,-374.0,-286.3,576.0,112.5,-172.0,-650.7,21.1,-241.3,,-467.6,-403.0,-263.2,-672.4,-35.0,-435.2,593.5,62.0,68.3,-363.0,-201.4,-83.3,,-758.3,-174.0,-636.0,,-732.6,-51.8,-273.0,382.1,-900.0,-440.9,,105.4,-150.7,-47.0,-679.7,2568.6,177.0,98.0,-1350.7,3248.0,True,True,True,True,True,True,True,False,True,True,False,True,True,,True,True,True,False,True,True,False,True,True,True,True,True,,False,True,False,,False,True,True,True,False,True,,True,True,True,False,False,True,True,False,False
Connecticut,5581,5179.0,5277.7,5199.7,5488.0,5195.2,5366.0,5356.0,5380.1,5605.0,5708.3,5399.0,5247.0,5787.2,5721.8,,5344.0,5400.0,5431.6,5380.0,5360.0,5491.3,5610.0,5498.0,5405.0,5281.0,5360.7,5366.3,,5088.9,5296.0,4841.0,,5164.2,5100.9,5603.0,5804.1,5061.0,5217.6,,5588.9,5381.4,5805.0,5049.0,7981.1,5365.0,5159.0,4878.9,5309.0,-402.0,-303.3,-381.3,-93.0,-385.8,-215.0,-225.0,-200.9,24.0,127.3,-182.0,-334.0,206.2,140.8,,-237.0,-181.0,-149.4,-201.0,-221.0,-89.7,29.0,-83.0,-176.0,-300.0,-220.3,-214.7,,-492.1,-285.0,-740.0,,-416.8,-480.1,22.0,223.1,-520.0,-363.4,,7.9,-199.6,224.0,-532.0,2400.1,-216.0,-422.0,-702.1,-272.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,False,False,True,True,False,True,,True,True,True,False,False,True,False,False,True
Delaware,858,794.3,862.6,789.4,822.0,789.4,853.0,894.0,834.8,980.0,915.4,798.0,886.1,863.7,904.1,,844.7,835.0,855.9,904.9,827.0,866.7,899.2,817.0,843.0,858.0,814.1,806.8,,884.3,849.1,865.5,,,763.5,888.0,799.0,883.0,782.9,,894.7,839.6,890.0,812.6,1128.8,842.0,789.0,779.8,799.0,-63.7,4.6,-68.6,-36.0,-68.6,-5.0,36.0,-23.2,122.0,57.4,-60.0,28.1,5.7,46.1,,-13.3,-23.0,-2.1,46.9,-31.0,8.7,41.2,-41.0,-15.0,0.0,-43.9,-51.2,,26.3,-8.9,7.5,,,-94.5,30.0,-59.0,25.0,-75.1,,36.7,-18.4,32.0,-45.4,270.8,-16.0,-69.0,-78.2,-59.0,True,False,True,False,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,False,True,True,True,False,,True,True,True,True,False,True,False,False,True
District of Columbia,730,708.6,734.6,715.6,728.0,718.0,719.0,715.0,728.7,757.0,719.3,688.0,717.9,753.1,757.4,,711.3,687.0,711.6,716.8,741.0,728.0,740.9,720.0,705.3,739.0,,,,691.8,732.0,687.0,,,715.1,719.0,745.7,737.0,720.1,,686.6,,720.0,,852.3,741.0,695.0,679.2,4691.0,-21.4,4.6,-14.4,-2.0,-12.0,-11.0,-15.0,-1.3,27.0,-10.7,-42.0,-12.1,23.1,27.4,,-18.7,-43.0,-18.4,-13.2,11.0,-2.0,10.9,-10.0,-24.7,9.0,,,,-38.2,2.0,-43.0,,,-14.9,-11.0,15.7,7.0,-9.9,,-43.4,,-10.0,,122.3,11.0,-35.0,-50.8,3961.0,True,True,True,True,True,True,True,False,True,False,True,False,False,,True,False,True,True,True,True,True,True,False,True,,,,False,True,False,,,True,True,True,True,True,,False,,True,,False,True,False,False,False
Florida,20473,19815.4,20787.3,19738.9,20713.0,19694.6,20325.0,21275.0,20362.3,19905.0,19752.7,19761.0,19856.3,20929.0,20139.3,,20064.6,20199.0,20159.4,20986.5,20439.0,21495.0,20330.0,20332.5,20671.4,19983.0,21504.4,20319.9,,19917.2,20487.8,19887.0,,20050.1,21640.5,20484.0,21488.5,20429.0,19859.7,,19963.1,21531.1,21219.0,19852.4,21288.2,20551.0,19218.5,19217.9,20654.0,-657.6,314.3,-734.1,240.0,-778.4,-148.0,802.0,-110.7,-568.0,-720.3,-712.0,-616.7,456.0,-333.7,,-408.4,-274.0,-313.6,513.5,-34.0,1022.0,-143.0,-140.5,198.4,-490.0,1031.4,-153.1,,-555.8,14.8,-586.0,,-422.9,1167.5,11.0,1015.5,-44.0,-613.3,,-509.9,1058.1,746.0,-620.6,815.2,78.0,-1254.5,-1255.1,181.0,True,False,True,False,True,False,True,True,False,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,False,True,,True,True,True,,True,False,True,False,True,True,,True,False,False,True,False,True,False,False,True
