,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,4389,4524.7,3463.7,3191.9,3408.0,,135.7,-925.3,-1197.1,-981.0,,False,False,False,
Alaska,184,116.3,124.3,37.4,,,-67.7,-59.7,-146.6,,,True,False,,
Arizona,7937,9137.0,6498.5,7860.2,7812.0,,1200.0,-1438.5,-76.8,-125.0,,False,True,True,
Arkansas,3191,2322.1,1739.8,2787.0,2070.0,,-868.9,-1451.2,-404.0,-1121.0,,False,True,False,
California,22599,25369.0,21336.2,46674.4,22080.0,,2770.0,-1262.8,24075.4,-519.0,,True,False,True,
Colorado,4339,2322.6,2189.7,2752.2,2326.0,,-2016.4,-2149.3,-1586.8,-2013.0,,False,True,True,
Connecticut,5581,4544.3,4577.4,4725.4,4604.0,,-1036.7,-1003.6,-855.6,-977.0,,True,True,True,
Delaware,952,667.4,660.2,735.0,678.0,,-273.6,-280.8,-206.0,-263.0,,False,True,True,
District of Columbia,730,637.7,650.8,1052.6,656.0,,-92.3,-79.2,322.6,-74.0,,True,False,True,
Florida,20473,23709.6,15038.3,25666.8,19757.0,,3236.6,-5434.7,5193.8,-716.0,,False,False,True,
Georgia,10381,13088.6,9161.4,13102.0,8650.0,,2707.6,-1219.6,2721.0,-1731.0,,True,False,True,
Hawaii,281,316.7,629.5,64.2,,,35.7,348.5,-216.8,,,False,False,,
Idaho,1275,1183.6,764.3,1556.2,935.0,,-91.4,-510.7,281.2,-340.0,,False,False,False,
Illinois,16326,10432.1,10448.4,16625.5,9505.0,,-5893.9,-5877.6,299.5,-6821.0,,True,True,False,
Indiana,8294,4416.9,4518.1,7523.5,4435.0,,-3918.1,-3816.9,-811.5,-3900.0,,True,True,True,
Iowa,3532,2318.1,4186.8,3355.9,2236.0,,-1213.9,654.8,-176.1,-1296.0,,True,True,False,
Kansas,2341,813.7,1075.0,1465.1,723.0,,-1527.3,-1266.0,-875.9,-1618.0,,True,True,False,
Kentucky,2371,1832.9,1911.4,4046.5,1395.0,,-538.1,-459.6,1675.5,-976.0,,True,False,False,
Louisiana,6994,7864.6,5737.9,8548.8,7841.0,,870.6,-1256.1,1554.8,847.0,,False,False,True,
Maine,292,147.9,199.2,216.3,283.0,,-144.1,-92.8,-75.7,-9.0,,True,True,True,
Maryland,5412,4719.3,4192.8,4904.2,4052.0,,-692.7,-1219.2,-507.8,-1360.0,,False,True,False,
Massachusetts,11657,11078.7,9963.9,13334.8,10339.0,,-578.3,-1693.1,1677.8,-1318.0,,False,False,False,
Michigan,12074,8159.3,7873.8,12059.5,7922.0,,-3914.7,-4200.2,-14.5,-4152.0,,False,True,False,
Minnesota,4839,2689.6,3018.9,5590.8,2654.0,,-2149.4,-1820.1,751.8,-2185.0,,True,True,False,
Mississippi,4390,5628.3,3882.4,4564.2,5090.0,,1238.3,-507.6,174.2,700.0,,True,True,True,
Missouri,5077,2801.6,2895.5,5678.6,2271.0,,-2252.4,-2158.5,624.6,-2783.0,,True,True,False,
Montana,864,326.0,306.4,106.6,293.0,,-538.0,-557.6,-757.4,-571.0,,False,False,False,
