,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,4389,3951.6,2579.2,6017.4,3289.0,,-437.4,-1809.8,1628.4,-1100.0,,False,False,False,
Alaska,184,99.4,110.4,31.1,,,-84.6,-73.6,-152.9,,,True,False,,
Arizona,7937,9238.1,4618.9,10501.1,8699.0,,1301.1,-3318.1,2564.1,762.0,,False,False,True,
Arkansas,3191,2170.4,1220.9,2771.6,1800.0,,-1020.6,-1970.1,-419.4,-1391.0,,False,True,False,
California,22599,27493.0,19362.6,47892.1,25589.0,,4894.0,-3236.4,25293.1,2990.0,,True,False,True,
Colorado,4339,2288.9,2201.7,3222.0,2365.0,,-2050.1,-2137.3,-1117.0,-1974.0,,False,True,True,
Connecticut,5581,4578.0,4543.0,4803.8,4602.0,,-1003.0,-1038.0,-777.2,-979.0,,False,True,True,
Delaware,952,718.0,680.5,707.1,671.0,,-220.0,-257.5,-230.9,-267.0,,False,False,False,
District of Columbia,730,722.0,660.6,973.4,648.0,,-8.0,-69.4,243.4,-82.0,,False,False,False,
Florida,20473,25041.3,12423.7,23307.4,21962.0,,4568.3,-8049.3,2834.4,1489.0,,False,True,True,
Georgia,10381,12380.6,7482.2,11559.5,7850.0,,1999.6,-2898.8,1178.5,-2531.0,,False,True,False,
Hawaii,281,165.0,1097.4,408.6,,,-116.0,816.4,127.6,,,False,False,,
Idaho,1275,947.6,592.8,1359.9,549.0,,-327.4,-682.2,84.9,-726.0,,False,True,False,
Illinois,16326,10347.9,10541.7,13333.6,9445.0,,-5978.1,-5784.3,-2992.4,-6881.0,,True,True,False,
Indiana,8294,4686.6,4232.6,7694.3,4340.0,,-3651.4,-4105.4,-643.7,-3998.0,,False,True,False,
Iowa,3532,2082.1,2076.4,3276.0,1799.0,,-1449.9,-1455.6,-256.0,-1733.0,,False,True,False,
Kansas,2341,763.1,1108.5,1993.0,733.0,,-1577.9,-1232.5,-348.0,-1608.0,,True,True,False,
Kentucky,2371,1917.1,1654.5,3569.2,1333.0,,-453.9,-716.5,1198.2,-1038.0,,False,False,False,
Louisiana,6994,8774.9,4983.4,8334.3,7487.0,,1780.9,-2010.6,1340.3,493.0,,False,True,True,
Maine,292,198.4,167.3,167.4,215.0,,-93.6,-124.7,-124.6,-77.0,,False,False,True,
Maryland,5412,4567.6,4258.2,6657.5,4036.0,,-844.4,-1153.8,1245.5,-1376.0,,False,False,False,
Massachusetts,11657,10320.1,9041.8,13129.4,10669.0,,-1336.9,-2615.2,1472.4,-988.0,,False,False,True,
Michigan,12074,7788.4,7625.6,11864.8,7809.0,,-4285.6,-4448.4,-209.2,-4265.0,,False,True,True,
Minnesota,4839,2841.3,2735.5,5406.0,2478.0,,-1997.7,-2103.5,567.0,-2361.0,,False,True,False,
Mississippi,4390,4869.7,2664.0,3564.9,4746.0,,479.7,-1726.0,-825.1,356.0,,False,False,True,
Missouri,5077,2633.0,2789.4,4465.9,2187.0,,-2423.0,-2266.6,-590.1,-2869.0,,True,True,False,
Montana,864,224.9,366.0,228.3,278.0,,-639.1,-498.0,-635.7,-586.0,,True,True,True,
Nebraska,1475,664.6,685.4,1476.7,616.0,,-810.4,-789.6,1.7,-859.0,,True,True,False,
Nevada,2749,3304.1,1709.4,3557.5,2638.0,,555.1,-1039.6,808.5,-111.0,,False,False,True,
New Hampshire,650,530.1,433.7,461.4,521.0,,-119.9,-216.3,-188.6,-129.0,,False,False,False,
New Jersey,18173,16519.1,16202.5,16439.2,16397.0,,-1653.9,-1970.5,-1733.8,-1776.0,,False,False,False,
New Mexico,2155,1267.6,813.1,1736.5,1190.0,,-887.4,-1341.9,-418.5,-965.0,,False,True,False,
New York,36318,33607.9,33299.9,32770.1,33435.0,,-2742.1,-3050.1,-3579.9,-2915.0,,False,False,False,
North Carolina,6184,5632.7,4232.5,10475.8,4661.0,,-551.3,-1951.5,4291.8,-1523.0,,False,False,False,
