,mean_rank
Karlen-pypm,13.7
JCB-PRM,15.2
GT-DeepCOVID,15.4
Microsoft-DeepSTIA,15.6
MSRA-DeepST,15.7
COVIDhub-ensemble,16.5
LNQ-ens1,16.6
UCSD_NEU-DeepGLEAM,17.9
CMU-TimeSeries,18.0
OliverWyman-Navigator,18.2
JHU_CSSE-DECOM,18.5
MIT_CritData-GBCF,18.6
UMass-MechBayes,18.6
MOBS-GLEAM_COVID,18.8
CEID-Walk,19.0
LANL-GrowthRate,19.0
JHUAPL-Bucky,19.2
epiforecasts-ensemble1,19.3
UChicagoCHATTOPADHYAY-UnIT,19.4
DDS-NBDS,19.4
SteveMcConnell-CovidComplete,19.5
Caltech-CS156,19.8
COVIDhub-baseline,19.9
UCLA-SuEIR,20.2
USC-SI_kJalpha,21.2
UA-EpiCovDA,22.1
BPagano-RtDriven,22.2
IowaStateLW-STEM,22.9
Google_Harvard-CPF,23.1
CU-select,24.4
CovidAnalytics-DELPHI,24.6
UT-Mobility,24.9
UCSB-ACTS,25.5
PSI-DRAFT,25.9
IHME-CurveFit,26.4
Wadhwani_AI-BayesOpt,26.4
RobertWalraven-ESG,26.5
TTU-squider,26.7
JHU_IDD-CovidSP,28.9
NotreDame-mobility,29.5
Covid19Sim-Simulator,32.8
WalmartLabsML-LogForecasting,40.0
Columbia_UNC-SurvCon,40.1
