,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Alabama,4389,3478.9,3477.2,3489.2,5235.0,3980.8,,5230.1,3414.0,3810.3,3831.8,,,3299.5,4549.1,3704.0,3257.5,-910.1,-911.8,-899.8,846.0,-408.2,,841.1,-975.0,-578.7,-557.2,,,-1089.5,160.1,-685.0,-1131.5,False,True,True,True,,True,False,True,True,,,False,True,True,False
Alaska,184,75.9,76.5,79.1,126.0,175.2,,142.8,,111.2,180.9,,,88.0,242.3,83.0,80.5,-108.1,-107.5,-104.9,-58.0,-8.8,,-41.2,,-72.8,-3.1,,,-96.0,58.3,-101.0,-103.5,True,True,True,True,,True,,True,True,,,True,True,True,True
Arizona,7937,6243.3,6602.9,6283.6,6765.0,6635.0,,6549.2,6268.0,6642.4,6549.0,,,6351.8,7475.1,6549.0,6420.4,-1693.7,-1334.1,-1653.4,-1172.0,-1302.0,,-1387.8,-1669.0,-1294.6,-1388.0,,,-1585.2,-461.9,-1388.0,-1516.6,True,True,True,True,,True,True,True,True,,,True,True,True,True
Arkansas,3191,2660.6,2528.3,2701.3,2727.0,2928.3,,3223.7,2747.0,3187.2,3272.0,,,2409.5,2380.7,2724.0,2161.6,-530.4,-662.7,-489.7,-464.0,-262.7,,32.7,-444.0,-3.8,81.0,,,-781.5,-810.3,-467.0,-1029.4,False,True,True,True,,True,True,True,True,,,False,False,True,False
California,22582,20335.9,23525.5,20440.6,21240.0,20883.9,,21681.7,19593.0,20529.8,19957.0,,,19963.8,22798.6,21789.0,19495.3,-2246.1,943.5,-2141.4,-1342.0,-1698.1,,-900.3,-2989.0,-2052.2,-2625.0,,,-2618.2,216.6,-793.0,-3086.7,True,True,True,True,,True,False,True,False,,,False,True,True,False
Colorado,4339,2592.3,2394.8,2573.6,3669.0,3198.9,,3504.1,2508.0,3034.5,3609.9,,,2382.0,5662.0,2945.0,2388.3,-1746.7,-1944.2,-1765.4,-670.0,-1140.1,,-834.9,-1831.0,-1304.5,-729.1,,,-1957.0,1323.0,-1394.0,-1950.7,False,False,True,True,,True,False,True,True,,,False,True,True,False
Connecticut,5581,4852.0,5383.0,4960.0,5756.0,5026.5,,4690.0,4704.0,4913.7,5144.9,,,4693.3,6055.8,4920.0,4595.8,-729.0,-198.0,-621.0,175.0,-554.5,,-891.0,-877.0,-667.3,-436.1,,,-887.7,474.8,-661.0,-985.2,True,True,True,True,,False,False,True,True,,,False,True,True,False
Delaware,858,806.7,840.5,819.8,781.0,793.9,,802.0,737.0,790.1,757.9,,,740.1,910.0,801.0,732.9,-51.3,-17.5,-38.2,-77.0,-64.1,,-56.0,-121.0,-67.9,-100.1,,,-117.9,52.0,-57.0,-125.1,True,True,False,False,,False,False,False,False,,,False,False,False,False
District of Columbia,730,649.9,644.9,669.3,695.0,712.4,,739.4,657.0,665.0,706.2,,,654.0,778.3,678.0,658.4,-80.1,-85.1,-60.7,-35.0,-17.6,,9.4,-73.0,-65.0,-23.8,,,-76.0,48.3,-52.0,-71.6,False,True,True,True,,True,True,True,True,,,True,True,True,True
Florida,20473,20059.0,19773.5,20415.7,30326.0,21750.5,,24348.4,19637.0,22927.4,21620.1,,,19250.9,19554.5,22727.0,18710.1,-414.0,-699.5,-57.3,9853.0,1277.5,,3875.4,-836.0,2454.4,1147.1,,,-1222.1,-918.5,2254.0,-1762.9,False,True,False,False,,False,False,False,False,,,False,False,False,False
