,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,4389,3919.9,4043.1,3918.6,3985.0,3916.9,4108.0,3918.0,3993.1,4358.0,4421.0,4108.0,4022.2,3872.3,4074.7,,4234.0,4286.1,4280.4,4144.0,3995.3,4204.7,4145.5,3958.4,4224.0,4244.5,4092.4,4099.6,4461.6,4095.5,,4261.5,4608.1,4147.0,4234.3,4123.0,3827.5,,4339.4,4241.1,4036.0,,4296.5,4188.0,3908.0,3803.3,3999.0,-469.1,-345.9,-470.4,-404.0,-472.1,-281.0,-471.0,-395.9,-31.0,32.0,-281.0,-366.8,-516.7,-314.3,,-155.0,-102.9,-108.6,-245.0,-393.7,-184.3,-243.5,-430.6,-165.0,-144.5,-296.6,-289.4,72.6,-293.5,,-127.5,219.1,-242.0,-154.7,-266.0,-561.5,,-49.6,-147.9,-353.0,,-92.5,-201.0,-481.0,-585.7,-390.0,True,False,True,False,True,False,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,,True,True,True,,True,True,False,False,True
Alaska,184,172.4,197.5,181.8,202.0,178.0,175.0,158.0,160.7,139.0,219.7,165.0,142.2,185.1,231.2,,,175.4,133.1,224.0,179.3,174.0,146.0,159.8,244.0,176.2,208.8,130.2,175.9,154.0,,,103.8,169.0,220.5,217.0,180.0,,205.3,176.9,175.0,,211.8,155.0,130.0,136.0,166.0,-11.6,13.5,-2.2,18.0,-6.0,-9.0,-26.0,-23.3,-45.0,35.7,-19.0,-41.8,1.1,47.2,,,-8.6,-50.9,40.0,-4.7,-10.0,-38.0,-24.2,60.0,-7.8,24.8,-53.8,-8.1,-30.0,,,-80.2,-15.0,36.5,33.0,-4.0,,21.3,-7.1,-9.0,,27.8,-29.0,-54.0,-48.0,-18.0,False,True,False,True,True,False,False,False,False,False,False,True,False,,,True,False,False,True,True,False,False,False,True,False,False,True,False,,,False,False,False,False,True,,False,True,True,,False,False,False,False,False
Arizona,7937,7119.7,7384.9,7107.7,7273.0,7125.2,7343.0,7343.0,7447.6,7694.0,8269.2,6895.0,7128.2,7161.8,7525.7,,7228.0,7474.7,7558.9,7343.0,7545.1,7691.7,7033.0,7219.9,7605.0,7247.7,7371.4,7399.4,7395.3,7218.0,,7450.3,7398.3,7754.0,7981.7,7171.0,7064.7,,7575.6,7257.6,7576.0,,8287.5,7494.0,7125.0,6882.4,7186.0,-817.3,-552.1,-829.3,-664.0,-811.8,-594.0,-594.0,-489.4,-243.0,332.2,-1042.0,-808.8,-775.2,-411.3,,-709.0,-462.3,-378.1,-594.0,-391.9,-245.3,-904.0,-717.1,-332.0,-689.3,-565.6,-537.6,-541.7,-719.0,,-486.7,-538.7,-183.0,44.7,-766.0,-872.3,,-361.4,-679.4,-361.0,,350.5,-443.0,-812.0,-1054.6,-751.0,True,False,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,False,,True,True,True,,True,True,True,False,True
Arkansas,3191,2792.9,2817.8,2737.1,2855.0,2784.8,2851.0,2773.0,2864.4,2876.0,3186.2,3020.0,2761.6,2960.1,3057.6,,2941.0,2931.8,3011.4,2947.0,2798.0,3055.9,2777.0,2821.3,2985.0,2808.6,2911.8,2582.4,3236.2,2785.0,,3206.7,3330.6,2899.0,3323.9,2758.0,2815.1,,3051.1,2824.1,2790.0,,2870.5,2851.0,2704.0,2681.5,2676.0,-398.1,-373.2,-453.9,-336.0,-406.2,-340.0,-418.0,-326.6,-315.0,-4.8,-171.0,-429.4,-230.9,-133.4,,-250.0,-259.2,-179.6,-244.0,-393.0,-135.1,-414.0,-369.7,-206.0,-382.4,-279.2,-608.6,45.2,-406.0,,15.7,139.6,-292.0,132.9,-433.0,-375.9,,-139.9,-366.9,-401.0,,-320.5,-340.0,-487.0,-509.5,-515.0,True,False,True,False,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,True,False,True,True,True,True,False,True,False,,True,True,True,True,False,True,,True,True,False,,True,True,False,False,False
California,22582,20365.3,21793.0,20382.9,21306.0,20448.2,20854.0,21818.0,21226.1,22438.0,21601.2,20306.0,20328.1,20806.9,21268.3,,20854.0,20949.4,22175.6,21037.0,21817.3,21746.6,20586.5,21093.8,21389.0,20593.0,21339.0,20269.8,20971.0,20804.0,,21022.5,22427.4,21210.0,17329.7,20678.0,20445.6,19986.0,20756.6,20613.0,21325.0,,23503.3,21774.0,20397.5,19973.3,20477.0,-2216.7,-789.0,-2199.1,-1276.0,-2133.8,-1728.0,-764.0,-1355.9,-144.0,-980.8,-2276.0,-2253.9,-1775.1,-1313.7,,-1728.0,-1632.6,-406.4,-1545.0,-764.7,-835.4,-1995.5,-1488.2,-1193.0,-1989.0,-1243.0,-2312.2,-1611.0,-1778.0,,-1559.5,-154.6,-1372.0,-5252.3,-1904.0,-2136.4,-2596.0,-1825.4,-1969.0,-1257.0,,921.3,-808.0,-2184.5,-2608.7,-2105.0,True,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,False,True,True,False,True,True,True,,True,True,True,False,True
Colorado,4339,3565.9,3807.5,3551.4,3890.0,3571.1,3805.0,3666.0,3856.6,3664.0,4749.2,3819.0,3629.7,3801.5,4047.6,,3801.0,4058.2,3881.6,3883.0,3786.3,3870.9,3525.0,3691.7,4137.0,3880.9,3829.3,3601.1,4094.4,3567.0,,4115.4,4871.1,3840.0,4721.1,3488.0,3422.8,,4113.1,3887.6,3690.0,,6346.9,4055.0,3909.0,3139.9,3688.0,-773.1,-531.5,-787.6,-449.0,-767.9,-534.0,-673.0,-482.4,-675.0,410.2,-520.0,-709.3,-537.5,-291.4,,-538.0,-280.8,-457.4,-456.0,-552.7,-468.1,-814.0,-647.3,-202.0,-458.1,-509.7,-737.9,-244.6,-772.0,,-223.6,532.1,-499.0,382.1,-851.0,-916.2,,-225.9,-451.4,-649.0,,2007.9,-284.0,-430.0,-1199.1,-651.0,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,False,False,,True,True,True,,False,True,True,False,True
Connecticut,5581,5341.0,5549.7,5368.8,5427.0,5360.0,5435.0,5295.0,5373.1,5193.0,5625.7,5291.0,5272.6,5576.2,5657.3,,5374.0,5414.7,5413.7,5390.0,5343.2,5618.0,5435.0,5263.6,5415.0,5541.4,5437.9,5242.8,5442.4,5033.0,,5536.6,5098.8,5554.0,5801.3,5179.0,5070.3,,5491.0,5559.0,5492.0,,7721.1,5464.0,5294.5,5002.4,5531.0,-240.0,-31.3,-212.2,-154.0,-221.0,-146.0,-286.0,-207.9,-388.0,44.7,-290.0,-308.4,-4.8,76.3,,-207.0,-166.3,-167.3,-191.0,-237.8,37.0,-146.0,-317.4,-166.0,-39.6,-143.1,-338.2,-138.6,-548.0,,-44.4,-482.2,-27.0,220.3,-402.0,-510.7,,-90.0,-22.0,-89.0,,2140.1,-117.0,-286.5,-578.6,-50.0,True,True,True,True,True,False,True,False,True,False,False,True,True,,True,True,True,True,True,True,True,False,True,True,True,False,True,False,,True,False,True,True,False,False,,True,True,True,,False,True,False,False,True
Delaware,858,832.9,858.3,815.7,824.0,814.6,848.0,861.0,833.5,841.0,884.7,826.0,862.8,875.7,882.2,,831.0,829.8,835.2,838.0,871.6,867.2,848.0,828.0,862.0,823.8,875.2,865.3,850.3,799.0,,,768.8,830.0,799.0,881.0,821.0,,856.1,845.4,868.0,,1072.8,834.0,816.0,795.3,846.0,-25.1,0.3,-42.3,-34.0,-43.4,-10.0,3.0,-24.5,-17.0,26.7,-32.0,4.8,17.7,24.2,,-27.0,-28.2,-22.8,-20.0,13.6,9.2,-10.0,-30.0,4.0,-34.2,17.2,7.3,-7.7,-59.0,,,-89.2,-28.0,-59.0,23.0,-37.0,,-1.9,-12.6,10.0,,214.8,-24.0,-42.0,-62.7,-12.0,True,False,False,False,True,True,True,True,False,False,True,True,True,,False,False,True,True,True,True,True,False,True,False,True,True,True,False,,,False,False,False,True,False,,True,True,True,,False,True,False,False,True
District of Columbia,730,708.6,713.1,706.4,708.0,702.0,715.0,713.0,723.2,726.0,734.6,694.0,725.5,727.0,753.3,,714.0,714.4,729.6,713.0,731.0,723.5,700.0,701.8,735.0,,,695.6,720.1,718.0,,,714.3,705.0,745.7,732.0,692.1,,744.9,,718.0,,829.6,721.0,708.0,686.8,715.0,-21.4,-16.9,-23.6,-22.0,-28.0,-15.0,-17.0,-6.8,-4.0,4.6,-36.0,-4.5,-3.0,23.3,,-16.0,-15.6,-0.4,-17.0,1.0,-6.5,-30.0,-28.2,5.0,,,-34.4,-9.9,-12.0,,,-15.7,-25.0,15.7,2.0,-37.9,,14.9,,-12.0,,99.6,-9.0,-22.0,-43.2,-15.0,True,False,False,False,True,True,True,True,True,False,True,True,False,,True,True,True,True,True,True,False,False,True,,,False,True,True,,,True,False,True,True,False,,True,,True,,False,True,False,False,True
Florida,20473,19954.3,20582.5,19974.5,20187.0,19977.8,20234.0,20359.0,20243.0,19900.0,20145.3,19824.0,19753.0,20516.9,20237.2,,19890.0,20152.6,20091.7,20302.0,20994.8,20317.6,20753.0,20342.7,20528.0,20468.0,20560.0,20327.8,20555.4,19673.5,,20581.9,20208.6,20234.0,21784.3,20111.0,20073.5,,19876.1,20480.6,20418.0,,21096.8,20363.0,19795.0,19451.2,19686.0,-518.7,109.5,-498.5,-286.0,-495.2,-239.0,-114.0,-230.0,-573.0,-327.7,-649.0,-720.0,43.9,-235.8,,-583.0,-320.4,-381.3,-171.0,521.8,-155.4,280.0,-130.3,55.0,-5.0,87.0,-145.2,82.4,-799.5,,108.9,-264.4,-239.0,1311.3,-362.0,-399.5,,-596.9,7.6,-55.0,,623.8,-110.0,-678.0,-1021.8,-787.0,True,True,True,True,True,True,True,False,True,False,False,True,True,,False,True,True,True,False,True,True,True,True,True,True,True,True,False,,True,True,True,False,True,True,,False,True,True,,False,True,False,False,False
