,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Alabama,4389,3390.3,3732.1,3242.0,,3103.4,-998.7,-656.9,-1147.0,,-1285.6,True,False,,False
Alaska,184,71.7,160.0,,,64.0,-112.3,-24.0,,,-120.0,True,,,False
Arizona,7937,6721.6,6807.8,7292.0,,6626.4,-1215.4,-1129.2,-645.0,,-1310.6,True,True,,False
Arkansas,3191,2186.6,2382.9,2863.0,,1818.0,-1004.4,-808.1,-328.0,,-1373.0,True,True,,False
California,22582,23343.6,17918.2,22310.0,,20022.5,761.6,-4663.8,-272.0,,-2559.5,False,True,,False
Colorado,4339,2209.7,2324.7,2429.0,,2130.4,-2129.3,-2014.3,-1910.0,,-2208.6,True,True,,False
Connecticut,5581,4646.3,4587.1,4661.0,,4574.6,-934.7,-993.9,-920.0,,-1006.4,False,True,,False
Delaware,858,698.1,769.6,670.0,,661.6,-159.9,-88.4,-188.0,,-196.4,True,False,,False
District of Columbia,730,685.3,662.7,662.0,,648.6,-44.7,-67.3,-68.0,,-81.4,False,False,,False
Florida,20473,23125.6,17785.8,19186.0,,18888.5,2652.6,-2687.2,-1287.0,,-1584.5,False,True,,True
Georgia,10381,10434.7,8767.8,9406.0,,9355.8,53.7,-1613.2,-975.0,,-1025.2,False,False,,False
Hawaii,281,293.0,202.5,,,241.6,12.0,-78.5,,,-39.4,False,,,False
Idaho,1275,830.7,783.0,769.0,,693.7,-444.3,-492.0,-506.0,,-581.3,False,False,,False
Illinois,16326,10633.4,9977.2,10252.0,,9913.8,-5692.6,-6348.8,-6074.0,,-6412.2,False,False,,False
Indiana,7338,4463.4,4355.7,4954.0,,4063.9,-2874.6,-2982.3,-2384.0,,-3274.1,False,True,,False
Iowa,3532,1954.4,1966.7,2215.0,,1819.8,-1577.6,-1565.3,-1317.0,,-1712.2,True,True,,False
Kansas,2341,1179.3,1016.4,728.0,,920.5,-1161.7,-1324.6,-1613.0,,-1420.5,False,False,,False
Kentucky,2371,1946.9,2003.7,2120.0,,1832.5,-424.1,-367.3,-251.0,,-538.5,True,True,,False
Louisiana,6994,7202.7,6000.9,6758.0,,7645.7,208.7,-993.1,-236.0,,651.7,False,False,,False
Maine,292,163.7,158.2,250.0,,144.7,-128.3,-133.8,-42.0,,-147.3,False,True,,False
Maryland,5412,4378.4,4613.2,4142.0,,4149.8,-1033.6,-798.8,-1270.0,,-1262.2,True,False,,False
Massachusetts,11657,10387.9,9597.1,9768.0,,9576.9,-1269.1,-2059.9,-1889.0,,-2080.1,False,False,,False
Michigan,12074,8366.0,8306.3,7976.0,,7549.5,-3708.0,-3767.7,-4098.0,,-4524.5,False,False,,False
Minnesota,4839,2830.1,2620.6,3036.0,,2695.0,-2008.9,-2218.4,-1803.0,,-2144.0,False,True,,False
Mississippi,4390,4262.9,3446.4,5413.0,,3796.6,-127.1,-943.6,1023.0,,-593.4,False,False,,False
Missouri,5048,2368.4,3477.7,2534.0,,2292.0,-2679.6,-1570.3,-2514.0,,-2756.0,True,True,,False
Montana,864,384.4,397.4,649.0,,246.5,-479.6,-466.6,-215.0,,-617.5,True,True,,False
Nebraska,1475,849.7,901.3,1030.0,,587.1,-625.3,-573.7,-445.0,,-887.9,True,True,,False
Nevada,2749,2325.0,1905.5,2236.0,,2470.4,-424.0,-843.5,-513.0,,-278.6,False,False,,True
New Hampshire,650,477.6,498.3,526.0,,485.1,-172.4,-151.7,-124.0,,-164.9,True,True,,True
New Jersey,18173,16613.0,16429.5,16832.0,,16349.1,-1560.0,-1743.5,-1341.0,,-1823.9,False,True,,False
New Mexico,2155,1100.1,1066.1,1287.0,,956.7,-1054.9,-1088.9,-868.0,,-1198.3,False,True,,False
New York,36318,33521.9,33495.5,34080.0,,33457.2,-2796.1,-2822.5,-2238.0,,-2860.8,False,True,,False
North Carolina,6184,5296.9,4866.9,6083.0,,4477.6,-887.1,-1317.1,-101.0,,-1706.4,False,True,,False
