,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2866,2790.3,3197.0,2917.8,2982.0,,2777.0,2758.5,2706.8,2994.3,2699.2,2717.1,,3260.5,2410.0,,2538.4,,2750.4,2855.4,2773.0,2523.0,2768.0,-75.7,331.0,51.8,116.0,,-89.0,-107.5,-159.2,128.3,-166.8,-148.9,,394.5,-456.0,,-327.6,,-115.6,-10.6,-93.0,-343.0,-98.0,False,True,False,,False,False,False,False,False,False,,False,False,,False,,False,True,False,False,False
Alaska,68,55.7,105.0,78.9,69.0,,,71.2,67.3,104.0,59.8,116.5,,53.7,87.0,,50.1,,54.2,69.4,62.0,53.7,66.1,-12.3,37.0,10.9,1.0,,,3.2,-0.7,36.0,-8.2,48.5,,-14.3,19.0,,-17.9,,-13.8,1.4,-6.0,-14.3,-1.9,False,True,True,,,True,True,False,True,False,,False,False,,False,,False,True,True,False,True
Arizona,5869,5913.6,6051.0,6001.2,6161.0,,6356.0,5809.0,5526.5,5786.6,5805.1,5883.7,,5671.6,5807.0,,5489.6,,5999.7,5743.8,5699.0,5958.0,5658.3,44.6,182.0,132.2,292.0,,487.0,-60.0,-342.5,-82.4,-63.9,14.7,,-197.4,-62.0,,-379.4,,130.7,-125.2,-170.0,89.0,-210.7,False,False,False,,False,False,False,False,False,True,,False,False,,False,,False,False,False,False,False
Arkansas,1797,1490.6,2199.0,1672.1,1365.0,,1774.0,1656.9,1237.4,1454.0,1433.4,1398.3,,1286.6,1721.0,,1247.3,,1384.9,1381.6,1582.0,1200.5,1355.2,-306.4,402.0,-124.9,-432.0,,-23.0,-140.1,-559.6,-343.0,-363.6,-398.7,,-510.4,-76.0,,-549.7,,-412.1,-415.4,-215.0,-596.5,-441.8,False,True,False,,True,True,False,False,False,False,,False,True,,False,,False,False,True,False,False
California,17343,18167.6,15981.0,16438.4,18261.0,,18350.0,16594.5,15916.0,18458.7,16080.2,18508.5,,16375.3,15945.0,,16059.6,,17454.5,16794.6,16407.0,16610.4,17505.9,824.6,-1362.0,-904.6,918.0,,1007.0,-748.5,-1427.0,1115.7,-1262.8,1165.5,,-967.7,-1398.0,,-1283.4,,111.5,-548.4,-936.0,-732.6,162.9,False,False,False,,False,True,False,False,False,False,,False,False,,False,,True,True,False,True,True
Colorado,2218,2081.7,2578.0,2134.4,2037.0,,2212.0,2099.3,2261.0,2288.5,2067.8,2131.1,,2184.6,2168.0,,2076.5,,2070.5,2494.9,2105.0,2070.6,2105.1,-136.3,360.0,-83.6,-181.0,,-6.0,-118.7,43.0,70.5,-150.2,-86.9,,-33.4,-50.0,,-141.5,,-147.5,276.9,-113.0,-147.4,-112.9,False,True,False,,True,True,True,True,False,True,,True,True,,False,,False,False,True,False,True
Connecticut,4577,4550.3,4686.0,4537.4,4484.0,,4576.0,4520.3,4651.5,4592.8,4504.4,4598.9,,4542.9,4499.0,,4506.4,,4532.8,4854.8,4530.0,4536.2,4547.8,-26.7,109.0,-39.6,-93.0,,-1.0,-56.7,74.5,15.8,-72.6,21.9,,-34.1,-78.0,,-70.6,,-44.2,277.8,-47.0,-40.8,-29.2,False,False,False,,True,False,False,True,False,True,,False,False,,False,,False,False,False,False,False
Delaware,680,650.1,716.0,663.2,622.0,,643.0,656.0,684.1,652.9,635.2,639.8,,642.9,621.0,,641.2,,638.5,766.0,662.0,642.0,646.2,-29.9,36.0,-16.8,-58.0,,-37.0,-24.0,4.1,-27.1,-44.8,-40.2,,-37.1,-59.0,,-38.8,,-41.5,86.0,-18.0,-38.0,-33.8,False,True,False,,False,True,True,True,False,False,,False,False,,False,,False,False,True,False,False
District of Columbia,642,645.3,643.0,638.9,621.0,,638.0,632.7,675.2,640.3,628.1,635.6,,634.1,631.0,,622.5,,636.1,707.0,635.0,629.7,635.6,3.3,1.0,-3.1,-21.0,,-4.0,-9.3,33.2,-1.7,-13.9,-6.4,,-7.9,-11.0,,-19.5,,-5.9,65.0,-7.0,-12.3,-6.4,True,True,False,,False,False,False,True,False,False,,False,False,,False,,False,False,False,False,False
Florida,16417,17053.6,16256.0,15340.0,15363.0,,16167.0,15034.2,13438.9,16472.6,15014.6,20973.2,,14800.9,14866.0,,13476.0,,16245.4,14469.1,15709.0,14662.0,14637.5,636.6,-161.0,-1077.0,-1054.0,,-250.0,-1382.8,-2978.1,55.6,-1402.4,4556.2,,-1616.1,-1551.0,,-2941.0,,-171.6,-1947.9,-708.0,-1755.0,-1779.5,True,False,False,,True,False,False,True,False,False,,False,False,,False,,True,False,False,False,False
