,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
New Jersey,16281,16241.9,16780.0,16357.9,16095.0,,16803.4,16546.0,16268.9,16589.5,16307.8,16317.3,16192.5,16531.7,,16298.8,16108.0,,16141.0,,16208.6,,17493.4,16319.0,16312.1,16206.4,-39.1,499.0,76.9,-186.0,,522.4,265.0,-12.1,308.5,26.8,36.3,-88.5,250.7,,17.8,-173.0,,-140.0,,-72.4,,1212.4,38.0,31.1,-74.6,False,False,False,,False,False,True,False,True,True,False,False,,True,False,,False,,False,,False,True,True,False
New Mexico,965,975.3,955.0,912.9,904.0,,956.2,1051.0,941.3,918.4,1000.2,918.8,935.7,1169.7,,935.2,926.0,,880.7,,933.9,,969.7,962.0,929.2,957.3,10.3,-10.0,-52.1,-61.0,,-8.8,86.0,-23.7,-46.6,35.2,-46.2,-29.3,204.7,,-29.8,-39.0,,-84.3,,-31.1,,4.7,-3.0,-35.8,-7.7,True,False,False,,True,False,False,False,False,False,False,False,,False,False,,False,,False,,True,True,False,True
New York,33418,33397.9,33485.0,33354.5,33089.0,,33719.0,33648.0,33442.7,34083.7,33786.0,33384.1,33248.8,34537.9,,33621.6,33081.0,,34066.8,,33284.4,,35039.4,33408.0,33197.9,33375.4,-20.1,67.0,-63.5,-329.0,,301.0,230.0,24.7,665.7,368.0,-33.9,-169.2,1119.9,,203.6,-337.0,,648.8,,-133.6,,1621.4,-10.0,-220.1,-42.6,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,,False,,False,True,False,False
North Carolina,4144,4170.7,3913.0,3912.6,3913.0,,4138.8,4381.0,4037.0,3683.3,4229.2,4001.0,3850.7,4040.1,,3779.2,4081.0,,3692.2,,3968.6,,3991.2,3950.0,3683.4,3960.1,26.7,-231.0,-231.4,-231.0,,-5.2,237.0,-107.0,-460.7,85.2,-143.0,-293.3,-103.9,,-364.8,-63.0,,-451.8,,-175.4,,-152.8,-194.0,-460.6,-183.9,False,False,False,,True,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
North Dakota,448,308.6,307.0,298.2,193.0,,248.7,268.0,302.8,276.3,263.6,364.7,259.4,263.5,,353.7,301.5,,244.7,,198.1,,347.7,307.0,223.6,278.0,-139.4,-141.0,-149.8,-255.0,,-199.3,-180.0,-145.2,-171.7,-184.4,-83.3,-188.6,-184.5,,-94.3,-146.5,,-203.3,,-249.9,,-100.3,-141.0,-224.4,-170.0,False,False,False,,False,False,False,False,False,True,False,False,,True,False,,False,,False,,True,False,False,False
Ohio,5206,5586.4,5520.0,5238.9,5264.0,,5299.5,5402.0,5369.1,5346.0,5613.5,5364.2,5079.3,5594.7,5625.5,4615.1,5322.0,,4847.1,,5391.3,,5786.0,5370.0,5078.1,5297.0,380.4,314.0,32.9,58.0,,93.5,196.0,163.1,140.0,407.5,158.2,-126.7,388.7,419.5,-590.9,116.0,,-358.9,,185.3,,580.0,164.0,-127.9,91.0,True,True,True,,True,True,True,True,False,True,True,False,False,False,True,,True,,True,,False,True,True,True
Oklahoma,1245,1145.1,1544.0,1186.5,1241.0,,1087.9,1372.0,1305.9,1284.2,1326.3,1247.0,1149.3,1403.1,,1274.2,1143.0,,1038.9,,1171.6,,1457.9,1210.0,1080.5,1168.6,-99.9,299.0,-58.5,-4.0,,-157.1,127.0,60.9,39.2,81.3,2.0,-95.7,158.1,,29.2,-102.0,,-206.1,,-73.4,,212.9,-35.0,-164.5,-76.4,False,True,True,,False,False,True,True,True,True,True,False,,True,False,,False,,True,,False,True,False,True
Oregon,653,608.6,626.0,617.3,614.0,,598.9,634.0,631.6,613.1,832.8,604.2,619.0,753.1,,645.9,653.0,,576.6,,619.3,,668.9,631.0,595.9,643.8,-44.4,-27.0,-35.7,-39.0,,-54.1,-19.0,-21.4,-39.9,179.8,-48.8,-34.0,100.1,,-7.1,0.0,,-76.4,,-33.7,,15.9,-22.0,-57.1,-9.2,True,True,True,,False,True,True,True,False,False,True,False,,True,True,,False,,True,,True,True,False,True
Pennsylvania,8636,8596.3,8636.0,8407.0,8171.0,,8587.8,8356.0,8471.4,8772.1,8789.6,8399.6,8235.1,8364.0,,8370.0,8298.0,,8655.9,,8294.5,,9477.1,8519.0,8249.1,8382.8,-39.7,0.0,-229.0,-465.0,,-48.2,-280.0,-164.6,136.1,153.6,-236.4,-400.9,-272.0,,-266.0,-338.0,,19.9,,-341.5,,841.1,-117.0,-386.9,-253.2,True,False,False,,False,False,False,False,False,False,False,False,,False,False,,True,,False,,False,False,False,False
Rhode Island,1177,1170.6,1241.0,1153.4,1090.0,,1162.8,1131.0,1167.0,1174.7,1215.4,1179.4,1109.8,1441.7,,1147.3,1107.0,,1102.3,,1140.5,,1203.7,1158.0,0.0,1150.3,-6.4,64.0,-23.6,-87.0,,-14.2,-46.0,-10.0,-2.3,38.4,2.4,-67.2,264.7,,-29.7,-70.0,,-74.7,,-36.5,,26.7,-19.0,-1177.0,-26.7,False,False,False,,False,False,False,True,False,True,False,False,,False,False,,False,,False,,False,False,False,False
South Carolina,3793,3854.7,4933.0,4059.0,3822.0,,3914.5,4000.0,4000.4,3692.3,3633.7,4118.5,3569.3,3894.1,,3734.7,3694.5,,3497.3,,3848.7,,3870.8,3866.0,3615.1,3781.2,61.7,1140.0,266.0,29.0,,121.5,207.0,207.4,-100.7,-159.3,325.5,-223.7,101.1,,-58.3,-98.5,,-295.7,,55.7,,77.8,73.0,-177.9,-11.8,False,False,True,,False,False,False,False,False,False,False,False,,True,False,,False,,True,,False,False,False,True
South Dakota,366,289.4,244.0,274.2,210.0,,225.1,279.0,282.4,268.5,241.4,306.8,247.3,354.4,,276.7,242.0,,249.2,,221.8,,351.3,276.0,228.2,279.2,-76.6,-122.0,-91.8,-156.0,,-140.9,-87.0,-83.6,-97.5,-124.6,-59.2,-118.7,-11.6,,-89.3,-124.0,,-116.8,,-144.2,,-14.7,-90.0,-137.8,-86.8,False,False,False,,False,False,False,False,False,True,False,True,,False,False,,False,,False,,True,False,False,False
Tennessee,3100,2898.0,3671.0,2999.3,2785.0,,3422.7,3215.0,2834.3,2699.1,2967.4,2765.6,2892.5,3528.3,,2649.6,3472.0,,2541.7,,2963.0,,2802.7,2960.0,2559.1,2806.8,-202.0,571.0,-100.7,-315.0,,322.7,115.0,-265.7,-400.9,-132.6,-334.4,-207.5,428.3,,-450.4,372.0,,-558.3,,-137.0,,-297.3,-140.0,-540.9,-293.2,False,True,False,,False,True,False,False,True,False,False,False,,False,False,,False,,True,,False,True,False,False
Texas,17915,18405.4,17556.0,17195.5,17753.0,,17338.3,19066.0,17775.4,17563.4,17780.8,17734.4,17440.5,19801.3,,16981.9,17385.0,,16060.1,17745.0,18114.7,,18090.8,18452.0,17049.6,17543.6,490.4,-359.0,-719.5,-162.0,,-576.7,1151.0,-139.6,-351.6,-134.2,-180.6,-474.5,1886.3,,-933.1,-530.0,,-1854.9,-170.0,199.7,,175.8,537.0,-865.4,-371.4,True,False,True,,False,False,True,True,True,True,True,False,,False,False,,False,True,True,,True,False,False,True
Utah,568,474.0,595.0,580.1,494.0,,504.0,543.0,543.9,527.0,566.8,500.7,542.0,538.1,,620.5,474.0,,450.3,,508.7,,691.4,500.0,402.1,516.1,-94.0,27.0,12.1,-74.0,,-64.0,-25.0,-24.1,-41.0,-1.2,-67.3,-26.0,-29.9,,52.5,-94.0,,-117.7,,-59.3,,123.4,-68.0,-165.9,-51.9,True,True,True,,True,True,True,True,True,True,True,True,,True,False,,False,,True,,False,True,False,True
Vermont,58,58.0,58.0,59.6,59.0,,58.6,59.0,58.0,69.7,71.8,58.8,58.5,64.5,,60.9,58.0,,58.0,,58.5,,63.6,58.0,57.9,63.1,0.0,0.0,1.6,1.0,,0.6,1.0,0.0,11.7,13.8,0.8,0.5,6.5,,2.9,0.0,,0.0,,0.5,,5.6,0.0,-0.1,5.1,True,False,False,,False,False,True,False,False,False,False,False,,False,True,,True,,False,,False,True,False,False
Virginia,3574,4416.7,4256.0,3512.2,3150.0,,3169.9,3687.0,3572.8,3577.0,3694.1,3680.1,3378.2,3403.4,,3406.5,3487.0,,3724.6,,3706.3,,3699.7,3650.0,3323.9,3611.3,842.7,682.0,-61.8,-424.0,,-404.1,113.0,-1.2,3.0,120.1,106.1,-195.8,-170.6,,-167.5,-87.0,,150.6,,132.3,,125.7,76.0,-250.1,37.3,True,True,True,,True,True,True,True,True,True,True,True,,True,True,,True,,True,,True,True,True,True
Washington,2296,2260.4,2201.0,2191.4,2411.0,,2228.5,2303.0,2200.8,2268.1,2408.9,2182.7,2163.2,2505.1,,2164.1,2197.0,,2101.6,,2297.1,,2410.7,2222.0,2200.2,2268.8,-35.6,-95.0,-104.6,115.0,,-67.5,7.0,-95.2,-27.9,112.9,-113.3,-132.8,209.1,,-131.9,-99.0,,-194.4,,1.1,,114.7,-74.0,-95.8,-27.2,False,False,False,,False,True,False,True,False,False,False,False,,False,False,,False,,True,,False,False,False,True
West Virginia,424,542.3,719.0,538.7,421.0,,411.6,485.0,550.5,417.1,558.5,510.8,443.0,629.1,,417.6,413.0,,393.8,,449.6,,456.8,531.0,384.4,473.4,118.3,295.0,114.7,-3.0,,-12.4,61.0,126.5,-6.9,134.5,86.8,19.0,205.1,,-6.4,-11.0,,-30.2,,25.6,,32.8,107.0,-39.6,49.4,False,True,True,,True,True,False,True,False,True,True,False,,True,True,,True,,True,,True,True,True,True
Wisconsin,1770,1397.4,2281.0,1600.2,1570.0,,1568.5,1551.0,1580.1,1794.3,1699.6,1536.8,1717.4,1471.1,1393.0,1408.8,1496.0,,1313.0,,1396.9,,3322.0,1777.0,1358.6,1506.5,-372.6,511.0,-169.8,-200.0,,-201.5,-219.0,-189.9,24.3,-70.4,-233.2,-52.6,-298.9,-377.0,-361.2,-274.0,,-457.0,,-373.1,,1552.0,7.0,-411.4,-263.5,False,True,True,,True,True,True,True,True,True,True,True,False,True,True,,False,,False,,False,True,False,True
Wyoming,68,83.0,94.0,61.0,59.0,,45.7,57.0,69.3,88.6,82.1,65.7,72.8,167.0,,58.1,77.0,,49.0,,68.1,,77.2,63.0,77.1,61.9,15.0,26.0,-7.0,-9.0,,-22.3,-11.0,1.3,20.6,14.1,-2.3,4.8,99.0,,-9.9,9.0,,-19.0,,0.1,,9.2,-5.0,9.1,-6.1,False,True,True,,False,True,True,False,True,True,True,False,,True,True,,False,,True,,True,True,True,True
US,224889,225922.1,221912.0,217958.6,218131.0,232963.0,221726.9,227203.0,221476.3,219605.7,225641.8,220522.1,215653.4,,,220373.0,220282.5,221092.4,211425.8,222518.0,220747.6,218972.0,234939.7,224488.0,216601.3,219186.1,1033.1,-2977.0,-6930.4,-6758.0,8074.0,-3162.1,2314.0,-3412.7,-5283.3,752.8,-4366.9,-9235.6,,,-4516.0,-4606.5,-3796.6,-13463.2,-2371.0,-4141.4,-5917.0,10050.7,-401.0,-8287.7,-5702.9,False,False,False,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False,True,False,False
