,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Georgia,7808,7908.6,7732.0,7446.8,7815.0,,7644.9,7980.0,7887.7,7418.6,7627.5,7757.7,7476.5,8448.4,,7520.4,7554.0,,7074.3,,7956.6,,7758.9,7702.0,7351.4,7618.0,100.6,-76.0,-361.2,7.0,,-163.1,172.0,79.7,-389.4,-180.5,-50.3,-331.5,640.4,,-287.6,-254.0,,-733.7,,148.6,,-49.1,-106.0,-456.6,-190.0,True,False,True,,False,False,True,False,False,True,False,False,,False,False,,False,,False,,True,False,False,False
Hawaii,212,222.0,133.0,152.2,160.0,,149.5,,177.7,139.6,294.6,195.6,160.3,155.9,,140.5,181.0,,127.0,,199.0,,150.2,164.0,159.6,209.6,10.0,-79.0,-59.8,-52.0,,-62.5,,-34.3,-72.4,82.6,-16.4,-51.7,-56.1,,-71.5,-31.0,,-85.0,,-13.0,,-61.8,-48.0,-52.4,-2.4,False,False,False,,False,,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,True
Idaho,572,579.0,572.0,546.5,539.0,,534.9,615.0,564.3,535.1,648.1,539.5,536.6,1480.1,,520.9,543.0,,482.5,,555.6,,554.8,566.0,526.5,555.8,7.0,0.0,-25.5,-33.0,,-37.1,43.0,-7.7,-36.9,76.1,-32.5,-35.4,908.1,,-51.1,-29.0,,-89.5,,-16.4,,-17.2,-6.0,-45.5,-16.2,True,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,,False,,False,True,False,False
Illinois,9751,9390.3,9249.0,9300.1,9244.0,,9102.5,9317.0,9482.0,9895.7,9593.9,9474.3,9157.2,9041.4,9683.5,9345.0,9335.0,,9041.7,,9286.4,,11090.7,9345.0,8796.0,9274.6,-360.7,-502.0,-450.9,-507.0,,-648.5,-434.0,-269.0,144.7,-157.1,-276.7,-593.8,-709.6,-67.5,-406.0,-416.0,,-709.3,,-464.6,,1339.7,-406.0,-955.0,-476.4,False,False,False,,False,False,True,True,True,True,False,False,True,False,False,,False,,False,,False,False,False,False
Indiana,4118,3836.3,3825.0,3803.5,3945.0,,3841.4,3904.0,3874.9,4216.8,4059.4,3848.5,3707.2,4006.3,3868.5,3813.2,3888.0,,3720.1,,3780.4,,4611.4,3821.0,3505.3,3818.7,-281.7,-293.0,-314.5,-173.0,,-276.6,-214.0,-243.1,98.8,-58.6,-269.5,-410.8,-111.7,-249.5,-304.8,-230.0,,-397.9,,-337.6,,493.4,-297.0,-612.7,-299.3,False,False,True,,True,True,True,True,True,True,False,True,True,False,True,,False,,False,,False,False,False,False
Iowa,1634,1483.6,1374.0,1463.0,1603.0,,1578.7,1596.0,1598.5,1561.5,1624.6,1643.5,1444.3,1530.2,,1611.1,1429.0,,1319.5,,1499.9,,1804.7,1432.0,1401.1,1510.0,-150.4,-260.0,-171.0,-31.0,,-55.3,-38.0,-35.5,-72.5,-9.4,9.5,-189.7,-103.8,,-22.9,-205.0,,-314.5,,-134.1,,170.7,-202.0,-232.9,-124.0,False,False,True,,True,True,True,True,True,True,False,True,,True,False,,False,,True,,False,False,False,True
Kansas,956,920.4,788.0,852.1,771.0,,909.5,798.0,793.0,781.8,861.2,884.1,763.1,761.9,,708.3,1104.0,,649.6,,831.4,,781.4,854.0,682.0,780.0,-35.6,-168.0,-103.9,-185.0,,-46.5,-158.0,-163.0,-174.2,-94.8,-71.9,-192.9,-194.1,,-247.7,148.0,,-306.4,,-124.6,,-174.6,-102.0,-274.0,-176.0,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
Kentucky,1404,1358.7,1473.0,1380.3,1404.0,,1445.6,1628.0,1437.7,1415.8,1572.1,1446.2,1306.3,1362.8,1553.0,1227.5,1499.0,,1263.7,,1399.9,,1540.8,1353.0,1246.7,1373.9,-45.3,69.0,-23.7,0.0,,41.6,224.0,33.7,11.8,168.1,42.2,-97.7,-41.2,149.0,-176.5,95.0,,-140.3,,-4.1,,136.8,-51.0,-157.3,-30.1,False,True,True,,True,False,True,True,False,True,False,True,False,False,False,,False,,True,,False,False,False,True
Louisiana,5820,6014.0,6359.0,5885.0,5763.0,,5910.7,6107.0,5761.6,5727.7,5703.0,5797.6,5768.2,6440.3,,5590.1,5725.0,,5809.2,,6168.2,,5973.8,5832.0,5655.6,5871.2,194.0,539.0,65.0,-57.0,,90.7,287.0,-58.4,-92.3,-117.0,-22.4,-51.8,620.3,,-229.9,-95.0,,-10.8,,348.2,,153.8,12.0,-164.4,51.2,False,True,True,,True,False,True,True,True,True,True,False,,False,True,,True,,False,,True,True,True,True
Maine,146,153.6,153.0,147.1,143.0,,137.8,195.0,153.7,161.3,181.1,154.9,148.7,176.2,,142.3,145.0,,144.2,,150.5,,174.1,157.0,147.5,151.9,7.6,7.0,1.1,-3.0,,-8.2,49.0,7.7,15.3,35.1,8.9,2.7,30.2,,-3.7,-1.0,,-1.8,,4.5,,28.1,11.0,1.5,5.9,True,True,True,,False,False,False,False,False,False,True,False,,True,True,,True,,True,,False,False,True,True
