,total_deaths_2020-09-13,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
IowaStateLW-STEM,194183,226826.0,225656,32755.0,31473,1282.0,4.1%
Baseline,194183,224118.1,225656,30047.1,31473,-1425.9,-4.5%
STH-3PU,194183,223653.0,225656,29582.0,31473,-1891.0,-6.0%
JHU_IDD-CovidSP,194183,227802.3,225656,33731.3,31473,2258.3,7.2%
Columbia_UNC-SurvCon,194183,222222.0,225656,28151.0,31473,-3322.0,-10.6%
IBF-TimeSeries,194183,230435.8,225656,36364.8,31473,4891.8,15.5%
USACE-ERDC_SEIR,194183,231092.9,225656,37021.9,31473,5548.9,17.6%
NotreDame-mobility,194183,219764.4,225656,25693.4,31473,-5779.6,-18.4%
JCB-PRM,194183,218634.6,225656,24563.6,31473,-6909.4,-22.0%
UCLA-SuEIR,194183,217665.4,225656,23594.4,31473,-7878.6,-25.0%
USC-SI_kJalpha,194183,217375.0,225656,23304.0,31473,-8169.0,-26.0%
CovidAnalytics-DELPHI,194183,217351.0,225656,23280.0,31473,-8193.0,-26.0%
Covid19Sim-Simulator,194183,217301.7,225656,23230.7,31473,-8242.3,-26.2%
PSI-DRAFT,194183,216908.5,225656,22837.5,31473,-8635.5,-27.4%
QJHong-Encounter,194183,216864.8,225656,22793.8,31473,-8679.2,-27.6%
YYG-ParamSearch,194183,215567.9,225656,21496.9,31473,-9976.1,-31.7%
JHUAPL-Bucky,194183,215132.2,225656,21061.2,31473,-10411.8,-33.1%
WalmartLabsML-LogForecasting,194183,213900.7,225656,19829.7,31473,-11643.3,-37.0%
LANL-GrowthRate,194183,212407.4,225656,18336.4,31473,-13136.6,-41.7%
RobertWalraven-ESG,194183,206818.9,225656,12747.9,31473,-18725.1,-59.5%
MITCovAlliance-SIR,194183,,225656,,31473,,
NotreDame-FRED,194183,,225656,,31473,,
