,total_deaths_2020-09-27,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
COVIDhub-baseline,204970,225341.1,225656,20585.1,20686,-100.9,-0.5%
CEID-Walk,204970,225546.4,225656,20790.4,20686,104.4,0.5%
LNQ-ens1,204970,225583.8,225656,20827.8,20686,141.8,0.7%
RPI_UW-Mob_Collision,204970,225615.5,225656,20859.5,20686,173.5,0.8%
QJHong-Encounter,204970,225240.5,225656,20484.5,20686,-201.5,-1.0%
Baseline,204970,224994.4,225656,20238.4,20686,-447.6,-2.2%
JHU_IDD-CovidSP,204970,224957.2,225656,20201.2,20686,-484.8,-2.3%
COVIDhub-ensemble,204970,224955.0,225656,20199.0,20686,-487.0,-2.4%
SteveMcConnell-CovidComplete,204970,226672.0,225656,21916.0,20686,1230.0,5.9%
UMass-MechBayes,204970,223981.0,225656,19225.0,20686,-1461.0,-7.1%
YYG-ParamSearch,204970,223938.0,225656,19182.0,20686,-1504.0,-7.3%
GT-DeepCOVID,204970,227441.2,225656,22685.2,20686,1999.2,9.7%
UA-EpiCovDA,204970,227547.0,225656,22791.0,20686,2105.0,10.2%
USC-SI_kJalpha,204970,227893.0,225656,23137.0,20686,2451.0,11.8%
Karlen-pypm,204970,222935.6,225656,18179.6,20686,-2506.4,-12.1%
OliverWyman-Navigator,204970,228057.9,225656,23301.9,20686,2615.9,12.6%
IHME-CurveFit,204970,228149.7,225656,23393.7,20686,2707.7,13.1%
JHUAPL-Bucky,204970,222651.1,225656,17895.1,20686,-2790.9,-13.5%
JCB-PRM,204970,222556.7,225656,17800.7,20686,-2885.3,-13.9%
CU-select,204970,228603.0,225656,23847.0,20686,3161.0,15.3%
MIT_CritData-GBCF,204970,222142.0,225656,17386.0,20686,-3300.0,-16.0%
Covid19Sim-Simulator,204970,221974.5,225656,17218.5,20686,-3467.5,-16.8%
UCLA-SuEIR,204970,221685.2,225656,16929.2,20686,-3756.8,-18.2%
MOBS-GLEAM_COVID,204970,229247.0,225656,24491.0,20686,3805.0,18.4%
PSI-DRAFT,204970,221632.5,225656,16876.5,20686,-3809.5,-18.4%
UMich-RidgeTfReg,204970,229515.3,225656,24759.3,20686,4073.3,19.7%
Columbia_UNC-SurvCon,204970,229541.0,225656,24785.0,20686,4099.0,19.8%
NotreDame-mobility,204970,220648.8,225656,15892.8,20686,-4793.2,-23.2%
DDS-NBDS,204970,220567.8,225656,15811.8,20686,-4874.2,-23.6%
UCSD_NEU-DeepGLEAM,204970,230765.0,225656,26009.0,20686,5323.0,25.7%
UT-Mobility,204970,220006.5,225656,15250.5,20686,-5435.5,-26.3%
IBF-TimeSeries,204970,230921.0,225656,26165.0,20686,5479.0,26.5%
UCM_MESALab-FoGSEIR,204970,219759.0,225656,15003.0,20686,-5683.0,-27.5%
CovidAnalytics-DELPHI,204970,219037.0,225656,14281.0,20686,-6405.0,-31.0%
WalmartLabsML-LogForecasting,204970,218727.5,225656,13971.5,20686,-6714.5,-32.5%
USACE-ERDC_SEIR,204970,232338.7,225656,27582.7,20686,6896.7,33.3%
IowaStateLW-STEM,204970,217682.0,225656,12926.0,20686,-7760.0,-37.5%
LANL-GrowthRate,204970,216577.5,225656,11821.5,20686,-8864.5,-42.9%
epiforecasts-ensemble1,204970,210488.0,225656,5732.0,20686,-14954.0,-72.3%
TTU-squider,204970,257455.7,225656,52699.7,20686,32013.7,154.8%
CMU-TimeSeries,204970,,225656,,20686,,
Google_Harvard-CPF,204970,,225656,,20686,,
MITCovAlliance-SIR,204970,,225656,,20686,,
NotreDame-FRED,204970,,225656,,20686,,
RobertWalraven-ESG,204970,,225656,,20686,,
