,mean_rank
SteveMcConnell-CovidComplete,12.0
COVIDhub-ensemble,14.2
UMass-MechBayes,14.3
Karlen-pypm,14.5
USC-SI_kJalpha,15.0
GT-DeepCOVID,15.8
MSRA-DeepST,16.0
Google_Harvard-CPF,16.4
JCB-PRM,16.5
OliverWyman-Navigator,16.5
CMU-TimeSeries,17.0
CEID-Walk,17.4
LNQ-ens1,17.5
JHUAPL-Bucky,17.9
MIT_CritData-GBCF,18.1
UA-EpiCovDA,18.3
COVIDhub-baseline,18.5
IowaStateLW-STEM,18.8
Columbia_UNC-SurvCon,19.4
epiforecasts-ensemble1,19.6
CovidAnalytics-DELPHI,19.7
DDS-NBDS,20.0
JHU_IDD-CovidSP,20.0
UT-Mobility,20.1
UCSD_NEU-DeepGLEAM,20.2
UMich-RidgeTfReg,20.3
LANL-GrowthRate,20.6
CU-select,20.9
MOBS-GLEAM_COVID,21.0
IQVIA_ACOE-STAN,21.6
BPagano-RtDriven,22.5
NotreDame-mobility,22.8
UCLA-SuEIR,23.2
PSI-DRAFT,23.5
USACE-ERDC_SEIR,27.4
Covid19Sim-Simulator,27.4
WalmartLabsML-LogForecasting,29.4
RobertWalraven-ESG,30.4
TTU-squider,35.4
