,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2866,3057.7,7481.0,3344.2,3058.0,,3585.9,2850.0,3001.6,2561.5,2725.1,2552.2,,2846.8,2768.3,3214.0,2510.5,2828.9,191.7,4615.0,478.2,192.0,,719.9,-16.0,135.6,-304.5,-140.9,-313.8,,-19.2,-97.7,348.0,-355.5,-37.1,False,False,False,,False,True,True,False,True,False,,True,True,False,False,True
Alaska,68,76.3,84.0,80.8,71.0,,55.4,,64.2,61.6,119.9,46.6,,61.5,78.1,67.0,53.6,72.3,8.3,16.0,12.8,3.0,,-12.6,,-3.8,-6.4,51.9,-21.4,,-6.5,10.1,-1.0,-14.4,4.3,False,False,True,,False,,True,True,False,False,,True,False,True,False,True
Arizona,5869,6530.7,5899.0,6056.1,6298.0,,6248.6,6848.0,5782.6,6168.4,5904.1,5677.8,,6196.7,5814.3,6318.0,5984.5,5931.5,661.7,30.0,187.1,429.0,,379.6,979.0,-86.4,299.4,35.1,-191.2,,327.7,-54.7,449.0,115.5,62.5,True,True,True,,True,False,True,True,True,True,,True,True,True,True,True
Arkansas,1797,1648.3,1964.0,1718.8,1346.0,,2136.4,1420.0,1366.3,1399.1,1384.3,1139.4,,1467.5,1287.5,1589.0,1126.6,1362.8,-148.7,167.0,-78.2,-451.0,,339.4,-377.0,-430.7,-397.9,-412.7,-657.6,,-329.5,-509.5,-208.0,-670.4,-434.2,False,True,False,,False,False,False,False,False,False,,False,False,False,False,False
California,17343,19175.6,16446.0,16675.8,18934.0,,20227.1,18774.0,17281.6,16250.2,18371.4,15260.3,,18456.3,17173.1,16697.0,16261.4,17695.5,1832.6,-897.0,-667.2,1591.0,,2884.1,1431.0,-61.4,-1092.8,1028.4,-2082.7,,1113.3,-169.9,-646.0,-1081.6,352.5,True,True,True,,False,True,True,True,True,False,,True,True,True,True,True
Colorado,2218,2177.7,2180.0,2105.8,2042.0,,2206.7,2173.0,2082.0,2058.6,2132.5,2017.5,,2100.1,2469.4,2116.0,2052.3,2121.7,-40.3,-38.0,-112.2,-176.0,,-11.3,-45.0,-136.0,-159.4,-85.5,-200.5,,-117.9,251.4,-102.0,-165.7,-96.3,True,False,False,,True,False,False,False,False,False,,False,False,False,False,False
Connecticut,4577,4488.6,4647.0,4529.5,4476.0,,4534.7,4572.0,4534.1,4496.4,4606.4,4489.2,,4504.7,4899.4,4490.0,4514.1,4532.3,-88.4,70.0,-47.5,-101.0,,-42.3,-5.0,-42.9,-80.6,29.4,-87.8,,-72.3,322.4,-87.0,-62.9,-44.7,True,True,False,,True,True,True,True,True,True,,True,False,True,True,True
Delaware,680,643.3,614.0,651.4,619.0,,698.1,644.0,632.2,630.3,640.0,627.6,,633.4,788.5,657.0,641.4,644.9,-36.7,-66.0,-28.6,-61.0,,18.1,-36.0,-47.8,-49.7,-40.0,-52.4,,-46.6,108.5,-23.0,-38.6,-35.1,False,True,False,,True,True,False,False,False,False,,False,False,True,False,True
District of Columbia,642,645.3,636.0,631.9,620.0,,661.4,631.0,638.0,624.9,634.8,629.6,,655.1,713.9,635.0,625.8,634.7,3.3,-6.0,-10.1,-22.0,,19.4,-11.0,-4.0,-17.1,-7.2,-12.4,,13.1,71.9,-7.0,-16.2,-7.3,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False
Florida,16417,16854.7,14700.0,14300.6,15470.0,,15757.1,15957.0,14669.6,13949.4,21000.3,13144.5,,15577.7,14309.3,15060.0,14113.5,14338.4,437.7,-1717.0,-2116.4,-947.0,,-659.9,-460.0,-1747.4,-2467.6,4583.3,-3272.5,,-839.3,-2107.7,-1357.0,-2303.5,-2078.6,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False
Georgia,7808,9006.1,7905.0,7930.0,7886.0,,9791.0,7568.0,7774.6,7577.6,8510.2,7154.8,,7809.5,7683.7,7765.0,7083.9,8000.1,1198.1,97.0,122.0,78.0,,1983.0,-240.0,-33.4,-230.4,702.2,-653.2,,1.5,-124.3,-43.0,-724.1,192.1,True,True,True,,False,True,True,True,True,True,,True,True,True,True,True
