,mean_rank
UMass-MechBayes,13.2
COVIDhub-ensemble,13.9
Karlen-pypm,14.1
JCB-PRM,14.3
YYG-ParamSearch,14.9
MIT_CritData-GBCF,16.1
SteveMcConnell-CovidComplete,16.3
OliverWyman-Navigator,16.4
Google_Harvard-CPF,16.6
USC-SI_kJalpha,16.6
GT-DeepCOVID,16.9
LNQ-ens1,17.0
JHU_IDD-CovidSP,17.1
MITCovAlliance-SIR,18.0
COVIDhub-baseline,18.0
CMU-TimeSeries,18.2
CEID-Walk,18.3
UA-EpiCovDA,19.5
Covid19Sim-Simulator,19.5
JHUAPL-Bucky,19.5
IowaStateLW-STEM,20.0
DDS-NBDS,20.1
Columbia_UNC-SurvCon,20.4
UCLA-SuEIR,20.5
PSI-DRAFT,20.7
UMich-RidgeTfReg,21.0
NotreDame-mobility,21.6
MOBS-GLEAM_COVID,21.7
LANL-GrowthRate,21.8
IHME-CurveFit,21.9
UCSD_NEU-DeepGLEAM,23.1
CU-select,23.2
CovidAnalytics-DELPHI,24.1
USACE-ERDC_SEIR,24.3
epiforecasts-ensemble1,26.1
UT-Mobility,26.5
WalmartLabsML-LogForecasting,28.4
TTU-squider,29.2
RobertWalraven-ESG,31.1
