,mean_rank
DDS-NBDS,15.1
SteveMcConnell-CovidComplete,16.1
OliverWyman-Navigator,16.4
MIT_CritData-GBCF,16.7
UMass-MechBayes,16.7
Columbia_UNC-SurvCon,17.0
Karlen-pypm,17.1
Google_Harvard-CPF,17.3
JCB-PRM,17.4
COVIDhub-ensemble,17.4
LNQ-ens1,17.9
MSRA-DeepST,17.9
UCSD_NEU-DeepGLEAM,18.8
CMU-TimeSeries,19.0
USC-SI_kJalpha,19.2
JHUAPL-Bucky,19.6
BPagano-RtDriven,20.0
GT-DeepCOVID,20.1
MOBS-GLEAM_COVID,20.3
CU-select,20.7
MITCovAlliance-SIR,20.8
CEID-Walk,20.9
RobertWalraven-ESG,21.2
JHU_CSSE-DECOM,21.2
LANL-GrowthRate,21.3
Geneva-DetGrowth,21.4
COVIDhub-baseline,21.6
UMich-RidgeTfReg,21.6
UCLA-SuEIR,21.6
UT-Mobility,21.9
NotreDame-mobility,22.0
UA-EpiCovDA,22.1
epiforecasts-ensemble1,22.3
JHU_IDD-CovidSP,22.6
IowaStateLW-STEM,22.7
IHME-CurveFit,23.3
CovidAnalytics-DELPHI,24.4
PSI-DRAFT,24.5
WalmartLabsML-LogForecasting,29.8
Covid19Sim-Simulator,35.1
TTU-squider,37.8
