,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2866,3031.6,2482.7,3565.4,2755.0,,2843.1,2704.2,165.6,-383.3,699.4,-111.0,,-22.9,-161.8,False,False,True,,True,True
Alaska,68,67.4,81.3,31.1,,,48.7,59.6,-0.6,13.3,-36.9,,,-19.3,-8.4,False,False,,,False,False
Arizona,5869,7118.1,4569.4,7076.0,7341.0,,6619.7,5901.9,1249.1,-1299.6,1207.0,1472.0,,750.7,32.9,False,True,False,,True,True
Arkansas,1797,1466.4,1034.3,1283.1,1247.0,,1192.9,1154.5,-330.6,-762.7,-513.9,-550.0,,-604.1,-642.5,False,False,False,,False,False
California,17343,20213.0,16349.7,26158.8,20177.0,,18587.4,17922.0,2870.0,-993.3,8815.8,2834.0,,1244.4,579.0,True,False,True,,True,True
Colorado,2218,2112.9,2125.5,2150.1,2216.0,,2055.2,2150.2,-105.1,-92.5,-67.9,-2.0,,-162.8,-67.8,True,True,True,,False,True
Connecticut,4577,4522.0,4512.1,4546.4,4583.0,,4518.9,4536.8,-55.0,-64.9,-30.6,6.0,,-58.1,-40.2,False,True,True,,False,True
Delaware,680,662.0,647.4,633.2,646.0,,646.2,669.6,-18.0,-32.6,-46.8,-34.0,,-33.8,-10.4,False,False,False,,False,True
District of Columbia,642,666.0,639.1,679.6,628.0,,641.1,648.3,24.0,-2.9,37.6,-14.0,,-0.9,6.3,True,False,True,,True,True
Florida,16417,18057.3,11715.7,18632.7,17571.0,,16846.1,14142.6,1640.3,-4701.3,2215.7,1154.0,,429.1,-2274.4,False,False,True,,True,False
Georgia,7808,8940.6,6487.6,9626.7,6808.0,,7957.3,7357.9,1132.6,-1320.4,1818.7,-1000.0,,149.3,-450.1,False,False,True,,True,True
Hawaii,212,109.0,377.8,90.8,,,117.6,130.5,-103.0,165.8,-121.2,,,-94.4,-81.5,False,False,,,True,True
Idaho,572,643.6,504.1,546.2,452.0,,520.7,568.8,71.6,-67.9,-25.8,-120.0,,-51.3,-3.2,True,True,False,,True,True
Illinois,9751,9275.9,9366.5,9137.4,8948.0,,8889.2,9211.7,-475.1,-384.5,-613.6,-803.0,,-861.8,-539.3,True,False,False,,False,False
Indiana,4118,3990.6,3775.2,4606.6,3821.0,,3710.7,4049.7,-127.4,-342.8,488.6,-297.0,,-407.3,-68.3,False,False,False,,False,True
Iowa,1634,1586.1,1460.7,1743.7,1442.0,,1432.7,1473.4,-47.9,-173.3,109.7,-192.0,,-201.3,-160.6,False,False,False,,False,False
Kansas,956,603.1,781.9,699.6,613.0,,607.6,620.1,-352.9,-174.1,-256.4,-343.0,,-348.4,-335.9,True,True,True,,True,True
Kentucky,1404,1421.1,1293.5,1516.8,1145.0,,1442.8,1277.5,17.1,-110.5,112.8,-259.0,,38.8,-126.5,False,False,False,,False,False
Louisiana,5820,6862.9,4878.3,6846.5,6174.0,,6574.6,5784.7,1042.9,-941.7,1026.5,354.0,,754.6,-35.3,True,True,True,,True,True
Maine,146,166.4,145.6,141.0,181.0,,142.7,155.5,20.4,-0.4,-5.0,35.0,,-3.3,9.5,True,True,False,,True,True
Maryland,4091,4151.6,4081.0,4290.3,3914.0,,4005.5,4129.8,60.6,-10.0,199.3,-177.0,,-85.5,38.8,True,False,False,,False,True
Massachusetts,9839,9656.1,8900.6,10126.9,9806.0,,9356.9,9585.3,-182.9,-938.4,287.9,-33.0,,-482.1,-253.7,False,False,True,,False,False
Michigan,7522,7252.4,7157.7,7772.1,7315.0,,7007.3,7192.1,-269.6,-364.3,250.1,-207.0,,-514.7,-329.9,False,True,True,,False,False
Minnesota,2381,2353.3,2283.2,2967.1,2147.0,,2454.5,2272.1,-27.7,-97.8,586.1,-234.0,,73.5,-108.9,False,False,False,,False,False
Mississippi,3255,3621.7,2377.1,3064.9,3595.0,,3428.1,3047.1,366.7,-877.9,-190.1,340.0,,173.1,-207.9,False,True,True,,True,True
Missouri,2808,2073.0,2269.2,2014.0,1882.0,,1900.5,1988.4,-735.0,-538.8,-794.0,-926.0,,-907.5,-819.6,True,False,False,,False,False
Montana,294,160.9,174.4,141.7,188.0,,147.1,176.9,-133.1,-119.6,-152.3,-106.0,,-146.9,-117.1,True,False,True,,False,True
Nebraska,595,528.6,554.8,585.7,508.0,,460.2,508.4,-66.4,-40.2,-9.3,-87.0,,-134.8,-86.6,True,True,False,,False,False
Nevada,1739,2304.1,1504.1,2666.0,2081.0,,2127.5,1865.0,565.1,-234.9,927.0,342.0,,388.5,126.0,True,False,True,,True,True
New Hampshire,473,482.1,429.8,438.3,478.0,,480.6,486.2,9.1,-43.2,-34.7,5.0,,7.6,13.2,False,False,True,,True,False
New Jersey,16281,16247.1,16028.2,16146.0,16306.0,,16145.4,16169.1,-33.9,-252.8,-135.0,25.0,,-135.6,-111.9,False,False,True,,False,False
New Mexico,965,1019.6,785.1,954.0,1020.0,,903.7,1001.0,54.6,-179.9,-11.0,55.0,,-61.3,36.0,False,True,False,,False,True
New York,33418,33263.9,33136.4,32692.5,33337.0,,33113.5,33198.0,-186.1,-313.6,-757.5,-113.0,,-336.5,-252.0,False,False,True,,False,False
North Carolina,4144,4160.7,3432.0,4511.5,3649.0,,3673.5,3720.6,16.7,-712.0,367.5,-495.0,,-470.5,-423.4,False,False,False,,False,False
North Dakota,448,233.4,273.2,252.2,214.0,,199.8,231.9,-214.6,-174.8,-195.8,-234.0,,-248.2,-216.1,True,True,False,,False,False
Ohio,5206,5324.3,4406.7,4898.8,5165.0,,5159.5,5232.9,118.3,-799.3,-307.2,-41.0,,-46.5,26.9,False,False,True,,True,True
Oklahoma,1245,1301.7,1143.9,1170.7,1059.0,,1158.5,1195.0,56.7,-101.1,-74.3,-186.0,,-86.5,-50.0,False,False,False,,False,True
Oregon,653,673.9,597.0,954.7,614.0,,660.4,694.6,20.9,-56.0,301.7,-39.0,,7.4,41.6,False,False,False,,True,False
Pennsylvania,8636,8478.1,7898.8,10449.9,8055.0,,8096.9,8394.5,-157.9,-737.2,1813.9,-581.0,,-539.1,-241.5,False,False,False,,False,False
Rhode Island,1177,1109.7,1079.0,1096.4,1193.0,,1093.7,1101.9,-59.3,-90.0,-72.6,24.0,,-75.3,-67.1,False,False,True,,False,False
South Carolina,3793,4585.4,2504.7,3749.7,3434.0,,3873.0,3725.6,792.4,-1288.3,-43.3,-359.0,,80.0,-67.4,False,True,True,,True,True
South Dakota,366,231.9,283.1,220.7,251.0,,238.6,228.3,-134.1,-82.9,-145.3,-115.0,,-127.4,-137.7,True,False,True,,True,False
Tennessee,3100,3347.3,2308.8,3158.1,2679.0,,3001.5,2656.9,247.3,-791.2,58.1,-421.0,,-98.5,-443.1,False,True,False,,True,False
Texas,17915,23239.9,13285.7,21894.1,23474.0,16564.0,19306.7,18331.9,5321.9,-4632.3,3976.1,5556.0,-1354.0,1388.7,413.9,True,True,False,True,True,True
Utah,568,579.9,606.6,582.3,625.0,,586.2,591.5,11.9,38.6,14.3,57.0,,18.2,23.5,False,False,False,,False,False
Vermont,58,58.0,64.4,61.7,59.0,,59.2,70.4,0.0,6.4,3.7,1.0,,1.2,12.4,False,False,False,,False,False
Virginia,3578,3228.7,3054.8,2564.4,2791.0,,2795.4,3055.7,-349.3,-523.2,-1013.6,-787.0,,-782.6,-522.3,False,False,False,,False,False
Washington,2296,2589.3,2255.4,2890.1,2313.0,,2499.7,2560.8,293.3,-40.6,594.1,17.0,,203.7,264.8,True,False,True,,True,True
West Virginia,424,347.3,223.3,452.1,275.0,,258.1,360.8,-76.7,-200.7,28.1,-149.0,,-165.9,-63.2,False,True,False,,False,True
Wisconsin,1770,1453.0,1646.9,1347.9,1375.0,,1359.7,1502.0,-317.0,-123.1,-422.1,-395.0,,-410.3,-268.0,True,False,False,,False,True
Wyoming,68,99.0,59.0,34.0,40.0,,60.5,69.7,31.0,-9.0,-34.0,-28.0,,-7.5,1.7,True,False,True,,True,True
US,224893,236587.7,196539.7,243860.4,223136.0,223806.0,217232.1,216788.4,11668.7,-28379.3,18941.4,-1783.0,-1113.0,-7686.9,-8130.6,False,False,True,True,True,True
