,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2866,3298.9,2960.0,,2751.1,2919.1,432.9,94.0,,-114.9,53.1,True,,True,True
Alaska,68,47.7,33.9,,42.6,64.9,-20.3,-34.1,,-25.4,-3.1,False,,False,True
Arizona,5869,8330.0,6210.4,,5962.8,6726.1,2461.0,341.4,,93.8,857.1,True,,True,True
Arkansas,1797,1412.6,1366.5,,1002.7,1144.2,-384.4,-430.5,,-794.3,-652.8,False,,False,False
California,17343,21027.9,21279.3,,16337.8,18631.5,3684.9,3936.3,,-1005.2,1288.5,False,,True,True
Colorado,2218,2010.0,3242.8,,1967.9,2320.0,-208.0,1024.8,,-250.1,102.0,False,,False,True
Connecticut,4577,4538.7,4672.4,,4533.3,4564.4,-38.3,95.4,,-43.7,-12.6,False,,False,True
Delaware,680,656.1,664.3,,660.1,665.2,-23.9,-15.7,,-19.9,-14.8,True,,True,True
District of Columbia,642,645.3,598.4,,650.3,647.2,3.3,-43.6,,8.3,5.2,False,,False,False
Florida,16417,20150.6,16642.2,,13300.7,16169.7,3733.6,225.2,,-3116.3,-247.3,True,,True,True
Georgia,7808,8096.7,9772.3,,6448.3,6898.7,288.7,1964.3,,-1359.7,-909.3,False,,False,False
Hawaii,212,85.3,28.3,,84.5,121.4,-126.7,-183.7,,-127.5,-90.6,False,,False,True
Idaho,572,671.3,680.2,,324.6,680.7,99.3,108.2,,-247.4,108.7,False,,False,False
Illinois,9751,9267.3,8926.5,,9282.3,9600.6,-483.7,-824.5,,-468.7,-150.4,False,,True,True
Indiana,4118,3757.6,3885.6,,3432.0,4109.6,-360.4,-232.4,,-686.0,-8.4,True,,False,True
Iowa,1634,1506.4,1429.5,,1203.4,1428.0,-127.6,-204.5,,-430.6,-206.0,False,,False,False
Kansas,956,586.3,1286.3,,470.6,655.8,-369.7,330.3,,-485.4,-300.2,True,,False,True
Kentucky,1404,1109.6,1837.6,,978.1,1235.1,-294.4,433.6,,-425.9,-168.9,False,,False,True
Louisiana,5820,7042.4,6935.7,,5652.4,5698.9,1222.4,1115.7,,-167.6,-121.1,True,,True,True
Maine,146,146.7,145.7,,130.9,150.4,0.7,-0.3,,-15.1,4.4,True,,False,False
Maryland,4091,4345.0,4375.6,,4031.7,4590.4,254.0,284.6,,-59.3,499.4,False,,True,False
Massachusetts,9839,9788.1,9513.8,,9223.6,9842.2,-50.9,-325.2,,-615.4,3.2,False,,False,True
Michigan,7522,7192.1,7217.4,,6947.7,7254.0,-329.9,-304.6,,-574.3,-268.0,True,,False,True
Minnesota,2381,2175.7,2040.9,,2070.1,2248.4,-205.3,-340.1,,-310.9,-132.6,False,,False,True
Mississippi,3255,3991.4,3197.9,,2827.9,3192.8,736.4,-57.1,,-427.1,-62.2,True,,True,True
Missouri,2808,1963.7,3724.8,,1988.3,2121.9,-844.3,916.8,,-819.7,-686.1,False,,True,True
Montana,294,227.0,170.0,,114.0,247.3,-67.0,-124.0,,-180.0,-46.7,False,,False,True
Nebraska,595,486.1,536.3,,420.9,508.3,-108.9,-58.7,,-174.1,-86.7,True,,False,True
Nevada,1739,2314.1,2574.5,,1603.8,1873.9,575.1,835.5,,-135.2,134.9,False,,True,True
New Hampshire,473,440.7,504.7,,476.5,513.8,-32.3,31.7,,3.5,40.8,True,,True,False
New Jersey,16281,16286.6,16297.5,,16400.4,16266.4,5.6,16.5,,119.4,-14.6,False,,False,False
New Mexico,965,1021.6,1124.0,,835.4,1045.7,56.6,159.0,,-129.6,80.7,False,,False,False
New York,33418,33468.9,33420.4,,33137.2,33237.0,31.9,-16.6,,-299.8,-200.0,True,,False,False
North Carolina,4144,4461.1,5102.7,,3629.4,3919.2,317.1,958.7,,-514.6,-224.8,False,,False,True
North Dakota,448,188.0,169.6,,217.2,197.9,-260.0,-278.4,,-230.8,-250.1,False,,True,True
Ohio,5206,5189.0,6320.0,,4249.3,5353.5,-17.0,1114.0,,-956.7,147.5,False,,False,False
Oklahoma,1245,1178.4,1667.9,,899.3,1186.4,-66.6,422.9,,-345.7,-58.6,False,,False,True
Oregon,653,681.7,1413.6,,442.0,778.3,28.7,760.6,,-211.0,125.3,False,,False,False
Pennsylvania,8636,8266.4,8173.2,,7998.9,8354.5,-369.6,-462.8,,-637.1,-281.5,False,,False,True
Rhode Island,1177,1090.0,1064.0,,1119.3,1113.4,-76.0,-102.0,,-46.7,-52.6,False,,True,True
South Carolina,3793,4788.7,3511.5,,3111.6,4035.8,995.7,-281.5,,-681.4,242.8,True,,True,True
South Dakota,366,265.4,205.1,,237.0,229.6,-100.6,-160.9,,-129.0,-136.4,False,,False,False
Tennessee,3100,2851.6,2140.4,,2444.2,2446.2,-248.4,-959.6,,-655.8,-653.8,False,,False,False
Texas,17915,26267.9,23425.4,16818.0,14168.5,19088.3,8352.9,5510.4,-1097.0,-3746.5,1173.3,True,True,True,True
Utah,568,607.4,697.1,,474.0,672.4,39.4,129.1,,-94.0,104.4,False,,False,False
Vermont,58,68.9,59.8,,63.5,72.1,10.9,1.8,,5.5,14.1,True,,True,False
Virginia,3578,3498.6,4417.4,,2804.3,3898.3,-79.4,839.4,,-773.7,320.3,False,,False,False
Washington,2296,2686.9,3038.0,,2162.0,2779.6,390.9,742.0,,-134.0,483.6,False,,True,False
West Virginia,424,377.9,198.5,,205.2,375.5,-46.1,-225.5,,-218.8,-48.5,False,,False,False
Wisconsin,1770,1540.9,2001.5,,1255.6,1702.0,-229.1,231.5,,-514.4,-68.0,False,,False,True
Wyoming,68,49.7,27.0,,45.7,43.5,-18.3,-41.0,,-22.3,-24.5,False,,False,False
US,224893,242987.7,240928.4,224518.0,205412.3,224785.0,18086.7,16027.4,-383.0,-19488.7,-116.0,True,True,False,True
