,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,2866,2894.3,2969.4,2916.7,2910.0,2912.0,2875.0,2852.0,2874.8,2727.9,2827.0,2864.7,2868.0,2906.7,2856.9,,2807.3,2819.0,2874.1,2818.1,2953.7,2855.7,2905.5,2870.6,2887.4,2849.8,2877.0,2894.2,2890.7,,2881.2,2916.4,2847.0,,2865.6,2908.2,,2890.0,3286.1,2876.0,2851.9,,2900.0,2867.0,2892.4,2912.0,2874.0,2858.0,2920.0,28.3,103.4,50.7,44.0,46.0,9.0,-14.0,8.8,-138.1,-39.0,-1.3,2.0,40.7,-9.1,,-58.7,-47.0,8.1,-47.9,87.7,-10.3,39.5,4.6,21.4,-16.2,11.0,28.2,24.7,,15.2,50.4,-19.0,,-0.4,42.2,,24.0,420.1,10.0,-14.1,,34.0,1.0,26.4,46.0,8.0,-8.0,54.0,False,False,False,False,True,True,True,False,False,True,True,False,True,,False,False,True,False,False,True,False,True,True,True,True,True,True,,True,False,True,,True,False,,True,False,True,True,,False,True,True,False,True,True,False
Alaska,68,73.0,79.5,74.5,75.0,74.0,73.0,74.0,73.0,69.3,70.0,72.5,71.8,71.9,72.3,,62.3,,70.2,72.1,79.9,74.7,74.8,71.7,69.9,75.1,96.0,74.4,75.5,,73.2,74.9,71.0,,,71.9,,74.0,70.3,75.0,69.8,,73.5,73.0,70.1,75.0,70.0,69.7,72.0,5.0,11.5,6.5,7.0,6.0,5.0,6.0,5.0,1.3,2.0,4.5,3.8,3.9,4.3,,-5.7,,2.2,4.1,11.9,6.7,6.8,3.7,1.9,7.1,28.0,6.4,7.5,,5.2,6.9,3.0,,,3.9,,6.0,2.3,7.0,1.8,,5.5,5.0,2.1,7.0,2.0,1.7,4.0,False,False,False,False,False,False,False,True,True,True,True,True,True,,False,,True,True,False,False,False,True,True,False,False,False,False,,False,False,True,,,True,,False,True,False,True,,False,False,True,False,True,True,True
Arizona,5869,5885.3,5910.8,5894.1,5889.0,5889.0,5892.0,5914.0,5888.2,5841.0,5872.0,5905.5,5926.0,5879.1,5923.7,,5950.5,5873.0,5912.8,5898.3,5886.7,5877.2,5906.0,5898.4,5883.9,5904.9,5893.0,5860.1,5893.2,,5887.6,5903.4,5866.0,,5884.7,5904.2,,5892.0,6837.5,5889.0,5892.4,,5864.5,5907.0,5917.8,5894.0,5873.0,5923.4,,16.3,41.8,25.1,20.0,20.0,23.0,45.0,19.2,-28.0,3.0,36.5,57.0,10.1,54.7,,81.5,4.0,43.8,29.3,17.7,8.2,37.0,29.4,14.9,35.9,24.0,-8.9,24.2,,18.6,34.4,-3.0,,15.7,35.2,,23.0,968.5,20.0,23.4,,-4.5,38.0,48.8,25.0,4.0,54.4,,False,False,False,False,False,False,False,False,True,False,False,True,False,,False,True,False,False,False,True,False,False,True,False,False,True,False,,False,False,True,,True,False,,False,False,False,False,,True,False,False,False,True,False,
Arkansas,1797,1819.7,1823.5,1807.3,1821.0,1816.0,1817.0,1779.0,1807.5,1665.0,1781.0,1855.9,1795.5,1805.1,1808.3,,1820.8,1814.0,1837.6,1819.7,1809.0,1769.6,1834.0,1808.4,1820.2,1813.0,1795.0,1831.5,1817.9,,1762.2,1842.4,1800.0,,1820.4,1816.8,,1825.0,1540.6,1832.0,1806.5,,1834.1,1818.0,1831.5,1823.0,1826.0,1778.3,1688.0,22.7,26.5,10.3,24.0,19.0,20.0,-18.0,10.5,-132.0,-16.0,58.9,-1.5,8.1,11.3,,23.8,17.0,40.6,22.7,12.0,-27.4,37.0,11.4,23.2,16.0,-2.0,34.5,20.9,,-34.8,45.4,3.0,,23.4,19.8,,28.0,-256.4,35.0,9.5,,37.1,21.0,34.5,26.0,29.0,-18.7,-109.0,False,True,False,True,True,True,True,False,True,False,True,True,True,,False,True,False,True,True,False,False,True,False,True,True,False,True,,False,False,True,,False,True,,False,False,False,True,,False,True,False,False,False,True,False
California,17343,17321.9,17412.0,17339.3,17331.0,17345.0,17341.0,17294.0,17401.6,17010.4,17362.0,17342.0,17385.4,17352.2,17351.8,,17356.4,17328.0,17416.1,17377.8,17387.7,17373.2,17382.4,17225.9,17333.4,17288.4,17380.0,17265.7,17350.4,,17145.3,17313.3,17367.0,,17363.5,17330.1,,17380.0,16556.9,17303.0,17342.8,17335.0,17265.1,17321.0,17390.1,17312.0,17268.5,17367.9,17320.0,-21.1,69.0,-3.7,-12.0,2.0,-2.0,-49.0,58.6,-332.6,19.0,-1.0,42.4,9.2,8.8,,13.4,-15.0,73.1,34.8,44.7,30.2,39.4,-117.1,-9.6,-54.6,37.0,-77.3,7.4,,-197.7,-29.7,24.0,,20.5,-12.9,,37.0,-786.1,-40.0,-0.2,-8.0,-77.9,-22.0,47.1,-31.0,-74.5,24.9,-23.0,False,True,True,True,True,False,False,False,True,True,False,True,True,,True,True,False,False,False,False,False,False,True,False,False,False,True,,False,False,False,,True,True,,False,False,False,True,True,False,False,False,False,False,False,False
Colorado,2218,2230.0,2261.7,2240.5,2236.0,2240.0,2223.0,2248.0,2248.9,2168.8,2207.0,2225.9,2250.1,2239.6,2222.8,,2213.3,2228.0,2218.6,2230.4,2252.5,2218.4,2239.3,2218.3,2233.4,2213.0,2245.0,2203.9,2237.6,,2217.2,2257.6,2216.0,,2213.3,2212.9,,2219.0,2497.0,2220.0,2191.6,,2208.8,2224.0,2217.4,2244.0,2231.0,2201.8,2245.0,12.0,43.7,22.5,18.0,22.0,5.0,30.0,30.9,-49.2,-11.0,7.9,32.1,21.6,4.8,,-4.7,10.0,0.6,12.4,34.5,0.4,21.3,0.3,15.4,-5.0,27.0,-14.1,19.6,,-0.8,39.6,-2.0,,-4.7,-5.1,,1.0,279.0,2.0,-26.4,,-9.2,6.0,-0.6,26.0,13.0,-16.2,27.0,False,False,False,False,True,False,False,False,True,True,False,False,True,,True,True,True,False,False,True,False,True,False,True,False,False,False,,True,False,True,,True,True,,True,False,True,False,,True,True,True,False,False,False,False
Connecticut,4577,4552.3,4554.5,4554.4,4554.0,4554.0,4556.0,4565.0,4563.3,4552.3,4565.0,4568.7,4556.5,4554.2,4569.8,,4526.9,4565.0,4557.1,4592.7,4559.1,4559.1,4563.7,4550.7,4554.7,4592.1,4561.0,4549.4,4560.7,,4555.9,4556.6,4552.0,,4554.4,4555.9,,4560.0,5007.6,4552.0,4553.0,,4553.0,4559.0,4555.9,4561.0,4553.0,4536.5,4554.0,-24.7,-22.5,-22.6,-23.0,-23.0,-21.0,-12.0,-13.7,-24.7,-12.0,-8.3,-20.5,-22.8,-7.2,,-50.1,-12.0,-19.9,15.7,-17.9,-17.9,-13.3,-26.3,-22.3,15.1,-16.0,-27.6,-16.3,,-21.1,-20.4,-25.0,,-22.6,-21.1,,-17.0,430.6,-25.0,-24.0,,-24.0,-18.0,-21.1,-16.0,-24.0,-40.5,-23.0,True,True,True,True,True,True,True,False,True,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,True,False,True,,True,True,False,,True,True,,True,False,False,True,,True,True,True,True,True,False,True
Delaware,680,674.4,674.3,675.3,676.0,675.0,675.0,675.0,676.6,670.2,674.0,682.6,678.5,688.4,677.4,,673.2,671.0,672.8,680.8,675.0,671.6,676.0,671.7,672.7,678.7,676.0,674.7,678.0,,676.7,674.9,672.0,,,674.1,,675.0,752.5,675.0,674.0,,678.5,673.0,682.5,675.0,677.0,672.5,677.0,-5.6,-5.7,-4.7,-4.0,-5.0,-5.0,-5.0,-3.4,-9.8,-6.0,2.6,-1.5,8.4,-2.6,,-6.8,-9.0,-7.2,0.8,-5.0,-8.4,-4.0,-8.3,-7.3,-1.3,-4.0,-5.3,-2.0,,-3.3,-5.1,-8.0,,,-5.9,,-5.0,72.5,-5.0,-6.0,,-1.5,-7.0,2.5,-5.0,-3.0,-7.5,-3.0,False,True,True,True,True,True,True,False,False,True,True,False,True,,False,False,False,True,True,False,True,False,False,True,True,True,True,,True,True,False,,,False,,True,False,True,False,,True,False,True,True,True,False,True
District of Columbia,642,644.4,646.9,646.4,646.0,646.0,647.0,649.0,649.5,642.5,643.0,647.3,645.8,648.4,647.5,,645.2,641.0,645.0,650.4,648.2,645.7,646.5,645.0,642.0,647.7,647.0,,,,643.6,645.6,647.0,,,647.1,,648.0,666.5,650.0,643.3,,,645.0,,648.0,648.0,641.6,649.0,2.4,4.9,4.4,4.0,4.0,5.0,7.0,7.5,0.5,1.0,5.3,3.8,6.4,5.5,,3.2,-1.0,3.0,8.4,6.2,3.7,4.5,3.0,-0.0,5.7,5.0,,,,1.6,3.6,5.0,,,5.1,,6.0,24.5,8.0,1.3,,,3.0,,6.0,6.0,-0.4,7.0,False,False,False,False,False,False,False,True,True,False,False,False,False,,False,True,False,False,False,False,False,False,True,False,False,,,,True,False,False,,,False,,False,False,False,True,,,False,,False,False,True,False
Florida,16417,16483.9,16668.7,16635.3,16632.0,16648.0,16536.0,16386.0,16623.5,15912.0,16325.0,16579.7,16524.4,16397.8,16398.2,,16544.6,16411.0,16627.7,16564.1,16533.7,16328.9,16489.5,16496.1,16500.0,16435.5,16459.0,16446.3,16487.5,,16334.2,16584.6,16367.0,,16590.0,16581.6,,16563.0,15066.0,16472.0,16598.3,,16457.6,16437.0,16561.0,16579.0,16610.0,16407.1,16566.0,66.9,251.7,218.3,215.0,231.0,119.0,-31.0,206.5,-505.0,-92.0,162.7,107.4,-19.2,-18.8,,127.6,-6.0,210.7,147.1,116.7,-88.1,72.5,79.1,83.0,18.5,42.0,29.3,70.5,,-82.8,167.6,-50.0,,173.0,164.6,,146.0,-1351.0,55.0,181.3,,40.6,20.0,144.0,162.0,193.0,-9.9,149.0,False,False,False,False,False,True,False,False,False,False,False,True,True,,False,True,False,False,False,False,False,False,False,True,True,True,False,,False,False,True,,False,False,,False,False,True,False,,True,True,False,False,False,True,False
