,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-YYG-ParamSearch
Alabama,2866,2814.7,3034.8,4535.0,,3887.9,-51.3,168.8,1669.0,,1021.9,False,False,,False
Alaska,68,31.9,130.4,,,48.9,-36.1,62.4,,,-19.1,False,,,True
Arizona,5869,8358.1,9658.6,5558.0,,6436.1,2489.1,3789.6,-311.0,,567.1,False,True,,True
Arkansas,1797,826.1,1047.0,1709.0,,1241.3,-970.9,-750.0,-88.0,,-555.7,True,True,,True
California,17343,17124.1,24881.1,11620.0,,19955.9,-218.9,7538.1,-5723.0,,2612.9,False,False,,False
Colorado,2218,2081.6,2415.4,2114.0,,2458.7,-136.4,197.4,-104.0,,240.7,False,True,,False
Connecticut,4577,4541.1,4462.3,4517.0,,4474.1,-35.9,-114.7,-60.0,,-102.9,False,False,,False
Delaware,680,591.3,840.3,639.0,,666.9,-88.7,160.3,-41.0,,-13.1,False,True,,True
District of Columbia,642,701.7,600.0,603.0,,693.7,59.7,-42.0,-39.0,,51.7,True,True,,True
Florida,16417,11834.0,32215.2,9772.0,,14607.1,-4583.0,15798.2,-6645.0,,-1809.9,False,False,,True
Georgia,7808,5127.6,9977.7,6186.0,,6973.1,-2680.4,2169.7,-1622.0,,-834.9,True,True,,True
Hawaii,212,19.0,101.4,,,38.7,-193.0,-110.6,,,-173.3,True,,,True
Idaho,572,235.7,1394.9,431.0,,392.6,-336.3,822.9,-141.0,,-179.4,False,True,,True
Illinois,9751,12855.4,8477.3,8981.0,,8566.8,3104.4,-1273.7,-770.0,,-1184.2,True,True,,True
Indiana,4118,3755.4,4371.2,3721.0,,4005.7,-362.6,253.2,-397.0,,-112.3,True,False,,True
Iowa,1634,1212.6,1900.6,1142.0,,1207.9,-421.4,266.6,-492.0,,-426.1,True,False,,False
Kansas,975,490.1,1441.3,919.0,,583.7,-484.9,466.3,-56.0,,-391.3,True,True,,True
Kentucky,1404,1219.3,1425.5,1136.0,,1739.4,-184.7,21.5,-268.0,,335.4,True,False,,False
Louisiana,5820,5317.7,7056.1,8819.0,,5724.2,-502.3,1236.1,2999.0,,-95.8,False,False,,True
Maine,146,188.3,129.2,119.0,,185.9,42.3,-16.8,-27.0,,39.9,True,True,,True
Maryland,4091,4448.1,3802.6,3653.0,,4123.7,357.1,-288.4,-438.0,,32.7,True,False,,True
Massachusetts,9839,10434.7,8573.5,12139.0,,9053.2,595.7,-1265.5,2300.0,,-785.8,False,False,,False
Michigan,7522,7740.3,7301.4,6814.0,,7911.1,218.3,-220.6,-708.0,,389.1,False,False,,False
Minnesota,2381,2015.4,2602.6,2682.0,,2162.7,-365.6,221.6,301.0,,-218.3,True,True,,True
Mississippi,3255,3299.3,3232.4,2955.0,,2841.4,44.3,-22.6,-300.0,,-413.6,True,False,,False
Missouri,2808,1701.1,2228.8,1881.0,,2127.5,-1106.9,-579.2,-927.0,,-680.5,True,True,,True
Montana,294,118.1,459.6,73.0,,178.7,-175.9,165.6,-221.0,,-115.3,True,False,,True
Nebraska,595,299.9,493.3,516.0,,445.2,-295.1,-101.7,-79.0,,-149.8,True,True,,True
Nevada,1743,1469.6,2445.5,1079.0,,2070.2,-273.4,702.5,-664.0,,327.2,False,False,,False
New Hampshire,473,539.6,448.7,479.0,,452.4,66.6,-24.3,6.0,,-20.6,True,True,,True
New Jersey,16281,20190.1,16464.6,20030.0,,16754.6,3909.1,183.6,3749.0,,473.6,True,True,,True
New Mexico,965,1020.4,1121.9,1435.0,,1033.0,55.4,156.9,470.0,,68.0,False,False,,False
New York,33634,34489.4,33048.5,35397.0,,33575.7,900.4,-540.5,1808.0,,-13.3,True,False,,True
North Carolina,4144,2992.9,3998.7,5150.0,,3353.5,-1151.1,-145.3,1006.0,,-790.5,True,True,,True
North Dakota,448,191.0,220.4,240.0,,182.2,-257.0,-227.6,-208.0,,-265.8,True,True,,False
Ohio,5206,5242.0,5625.6,5256.0,,6270.2,36.0,419.6,50.0,,1064.2,False,False,,False
Oklahoma,1245,778.6,1685.7,2268.0,,812.2,-466.4,440.7,1023.0,,-432.8,True,False,,True
Oregon,653,516.3,792.2,676.0,,900.3,-136.7,139.2,23.0,,247.3,False,True,,False
Pennsylvania,8636,9147.4,8584.0,8664.0,,9069.2,511.4,-52.0,28.0,,433.2,True,True,,True
Rhode Island,1177,1213.7,1107.5,1181.0,,1121.2,47.7,-58.5,15.0,,-44.8,False,True,,True
South Carolina,3793,3055.9,4019.0,3346.0,,3827.6,-737.1,226.0,-447.0,,34.6,True,True,,True
South Dakota,366,287.3,179.6,213.0,,211.1,-78.7,-186.4,-153.0,,-154.9,False,False,,False
Tennessee,3100,2167.3,3490.0,3678.0,,3166.6,-932.7,390.0,578.0,,66.6,True,True,,True
Texas,17999,11758.9,24992.1,22080.0,10684.0,13516.7,-5601.1,7632.1,4720.0,-6676.0,-3843.3,False,True,False,True
Utah,568,675.6,1150.8,855.0,,948.7,107.6,582.8,287.0,,380.7,False,False,,False
Vermont,58,56.0,60.0,57.0,,77.4,-2.0,2.0,-1.0,,19.4,False,True,,False
Virginia,3578,3644.9,2634.2,2842.0,,4398.4,66.9,-943.8,-736.0,,820.4,False,False,,False
