,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2866,2720.9,2610.1,2729.6,2735.0,2728.8,2729.0,2726.0,2707.0,2726.3,2693.0,2713.6,2673.1,2766.6,2802.0,2775.4,2737.5,2790.2,2777.6,2721.1,2713.4,2747.4,2887.0,2725.0,,2866.4,2731.8,2746.0,,2769.2,2639.0,,2748.0,3253.8,2754.0,2730.0,,2712.9,2762.0,2821.9,2708.0,2648.0,2745.9,2777.5,2599.0,-145.1,-255.9,-136.4,-131.0,-137.2,-137.0,-140.0,-159.0,-139.7,-173.0,-152.4,-192.9,-99.4,-64.0,-90.6,-128.5,-75.8,-88.4,-144.9,-152.6,-118.6,21.0,-141.0,,0.4,-134.2,-120.0,,-96.8,-227.0,,-118.0,387.8,-112.0,-136.0,,-153.1,-104.0,-44.1,-158.0,-218.0,-120.1,-88.5,-267.0,False,True,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,True,False,,True,False,True,True,,False,True,True,False,False,True,True,False
Alaska,68,63.7,64.2,72.8,80.0,76.0,75.0,76.0,93.0,84.4,72.0,73.0,87.9,81.1,,67.2,84.6,93.8,82.7,79.1,70.1,65.8,118.0,81.1,,62.0,78.4,73.0,,,62.5,,80.0,62.8,85.0,64.3,,72.8,77.0,67.3,89.0,67.0,65.1,75.8,67.0,-4.3,-3.8,4.8,12.0,8.0,7.0,8.0,25.0,16.4,4.0,5.0,19.9,13.1,,-0.8,16.6,25.8,14.7,11.1,2.1,-2.2,50.0,13.1,,-6.0,10.4,5.0,,,-5.5,,12.0,-5.2,17.0,-3.7,,4.8,9.0,-0.7,21.0,-1.0,-2.9,7.8,-1.0,True,False,False,False,False,False,False,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,False,False,False,,,False,,False,False,False,True,,False,False,True,False,True,True,False,True
Arizona,5869,5943.1,5806.2,5927.0,5943.0,5955.9,5979.0,6007.0,6045.0,6081.6,6015.0,5931.7,5988.7,6008.4,6014.0,6072.0,6092.3,6013.9,5910.3,6094.2,5945.7,5902.7,5989.0,5813.1,,5871.9,5895.5,5989.0,,6227.9,5746.4,,6048.0,6388.4,5954.0,5972.7,,5799.7,5966.0,6196.4,5959.0,5883.0,6047.1,5954.1,5846.0,74.1,-62.8,58.0,74.0,86.9,110.0,138.0,176.0,212.6,146.0,62.7,119.7,139.4,145.0,203.0,223.3,144.9,41.3,225.2,76.7,33.7,120.0,-55.9,,2.9,26.5,120.0,,358.9,-122.6,,179.0,519.4,85.0,103.7,,-69.3,97.0,327.4,90.0,14.0,178.1,85.1,-23.0,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,,True,True,False,,False,False,,False,False,False,False,,True,False,False,False,True,False,False,True
Arkansas,1797,1759.3,1744.8,1825.0,1697.0,1773.0,1773.0,1657.0,1828.0,1808.4,1731.0,1770.5,,1737.2,1795.0,1813.7,1822.6,1717.3,1660.1,1775.8,1639.9,1742.3,1691.0,1855.3,,1578.9,1845.4,1684.0,,1776.8,1681.2,,1814.0,1439.8,1805.0,1712.1,,1857.0,1719.0,1808.5,1771.0,1796.0,1615.2,1748.4,1474.0,-37.7,-52.2,28.0,-100.0,-24.0,-24.0,-140.0,31.0,11.4,-66.0,-26.5,,-59.8,-2.0,16.7,25.6,-79.7,-136.9,-21.2,-157.1,-54.7,-106.0,58.3,,-218.1,48.4,-113.0,,-20.2,-115.8,,17.0,-357.2,8.0,-84.9,,60.0,-78.0,11.5,-26.0,-1.0,-181.8,-48.6,-323.0,False,True,False,True,True,False,True,True,False,True,,False,True,True,True,False,False,True,False,False,False,False,,False,False,False,,True,False,,True,False,True,False,,False,False,True,True,True,False,False,False
California,17343,17692.7,17172.0,17752.4,17580.0,17710.8,17519.0,17331.0,17795.0,17410.7,17276.0,17204.7,17485.4,17148.6,17744.0,17545.5,17567.9,17547.2,17703.2,17398.2,17319.6,17553.3,17341.0,17524.3,,17176.0,17720.8,16935.0,,17831.1,16942.5,,17709.0,16504.2,18110.0,17575.5,18794.0,17525.5,17462.0,17776.5,17726.0,17355.5,17353.8,17487.9,16552.0,349.7,-171.0,409.4,237.0,367.8,176.0,-12.0,452.0,67.7,-67.0,-138.3,142.4,-194.4,401.0,202.5,224.9,204.2,360.2,55.2,-23.4,210.3,-2.0,181.3,,-167.0,377.8,-408.0,,488.1,-400.5,,366.0,-838.8,767.0,232.5,1451.0,182.5,119.0,433.5,383.0,12.5,10.8,144.9,-791.0,True,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,,True,False,False,,False,False,,False,False,False,True,False,True,True,False,False,True,True,True,False
Colorado,2218,2145.1,2137.1,2119.1,2132.0,2124.4,2150.0,2209.0,2199.0,2182.2,2199.0,2142.4,2153.1,2157.4,2165.0,2169.6,2242.0,2181.0,2187.0,2166.4,2136.3,2156.4,2229.0,2131.3,,2183.2,2139.7,2120.0,,2130.6,2107.7,,2168.0,2477.2,2170.0,2111.7,,2135.1,2166.0,2133.0,2175.0,2192.0,2110.8,2172.3,2118.0,-72.9,-80.9,-98.9,-86.0,-93.6,-68.0,-9.0,-19.0,-35.8,-19.0,-75.6,-64.9,-60.6,-53.0,-48.4,24.0,-37.0,-31.0,-51.6,-81.7,-61.6,11.0,-86.7,,-34.8,-78.3,-98.0,,-87.4,-110.3,,-50.0,259.2,-48.0,-106.3,,-82.9,-52.0,-85.0,-43.0,-26.0,-107.2,-45.7,-100.0,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,,True,False,False,,False,False,,True,False,True,False,,False,True,False,True,True,False,True,False
Connecticut,4577,4547.3,4581.4,4553.8,4552.0,4564.5,4550.0,4579.0,4551.0,4552.5,4572.0,4546.5,4547.7,4619.3,4577.0,4547.3,4613.8,4557.9,4564.7,4541.2,4532.5,4546.6,4560.0,4546.6,,4554.5,4564.2,4516.0,,4537.0,4525.1,,4549.0,5009.9,4555.0,4541.4,,4552.5,4570.0,4549.3,4550.0,4535.0,4521.0,4565.5,4533.0,-29.7,4.4,-23.2,-25.0,-12.5,-27.0,2.0,-26.0,-24.5,-5.0,-30.5,-29.3,42.3,0.0,-29.7,36.8,-19.1,-12.3,-35.8,-44.5,-30.4,-17.0,-30.4,,-22.5,-12.8,-61.0,,-40.0,-51.9,,-28.0,432.9,-22.0,-35.6,,-24.5,-7.0,-27.7,-27.0,-42.0,-56.0,-11.5,-44.0,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,True,False,,True,True,False,,False,False,,True,False,True,False,,True,True,True,True,False,False,True,False
Delaware,680,679.3,685.3,679.6,680.0,682.0,679.0,682.0,669.0,678.2,670.0,680.4,699.2,690.9,660.0,667.9,679.5,748.0,667.0,673.5,663.7,671.3,672.0,677.3,,681.9,693.1,658.0,,,651.1,,678.0,752.5,697.0,658.6,,684.9,678.0,704.2,674.0,685.0,667.2,678.4,665.0,-0.7,5.3,-0.4,0.0,2.0,-1.0,2.0,-11.0,-1.8,-10.0,0.4,19.2,10.9,-20.0,-12.1,-0.5,68.0,-13.0,-6.5,-16.3,-8.7,-8.0,-2.7,,1.9,13.1,-22.0,,,-28.9,,-2.0,72.5,17.0,-21.4,,4.9,-2.0,24.2,-6.0,5.0,-12.8,-1.6,-15.0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False
District of Columbia,642,651.0,654.2,634.9,641.0,645.0,642.0,633.0,639.0,640.1,636.0,652.0,642.6,647.2,635.0,639.8,643.2,,643.2,641.9,638.7,634.5,641.0,,,640.9,642.1,640.0,,,642.1,,643.0,679.9,677.0,640.6,,,642.0,,645.0,654.0,637.7,648.7,640.0,9.0,12.2,-7.1,-1.0,3.0,0.0,-9.0,-3.0,-1.9,-6.0,10.0,0.6,5.2,-7.0,-2.2,1.2,,1.2,-0.1,-3.3,-7.5,-1.0,,,-1.1,0.1,-2.0,,,0.1,,1.0,37.9,35.0,-1.4,,,0.0,,3.0,12.0,-4.3,6.7,-2.0,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,,,True,True,True,,,True,,True,False,False,True,,,True,,True,False,True,True,True
Florida,16417,16496.7,16164.5,16432.4,16274.0,16445.7,16244.0,15843.0,16481.0,16250.1,15910.0,15623.6,16086.5,15759.5,16244.0,16353.1,16180.0,16134.8,16094.1,16426.6,15969.8,16110.1,15934.0,15675.4,,16527.7,16548.7,15924.0,,16745.8,15890.9,,16431.0,16894.9,16547.0,16218.6,,15708.6,16115.0,16402.3,16314.0,16397.0,15938.3,16421.7,15148.0,79.7,-252.5,15.4,-143.0,28.7,-173.0,-574.0,64.0,-166.9,-507.0,-793.4,-330.5,-657.5,-173.0,-63.9,-237.0,-282.2,-322.9,9.6,-447.2,-306.9,-483.0,-741.6,,110.7,131.7,-493.0,,328.8,-526.1,,14.0,477.9,130.0,-198.4,,-708.4,-302.0,-14.7,-103.0,-20.0,-478.7,4.7,-1269.0,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,False,False,False,,False,False,,True,False,False,False,,False,False,True,False,True,False,True,False
