,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2866,3864.4,4179.1,3254.7,3056.0,,2826.1,3535.8,998.4,1313.1,388.7,190.0,,-39.9,669.8,False,True,True,,True,True
Alaska,68,45.7,142.4,19.0,,,54.8,66.6,-22.3,74.4,-49.0,,,-13.2,-1.4,False,False,,,True,True
Arizona,5869,10299.3,6711.7,5608.6,7005.0,,6324.2,7060.8,4430.3,842.7,-260.4,1136.0,,455.2,1191.8,True,True,True,,True,True
Arkansas,1797,966.7,1513.4,862.1,1032.0,,716.9,950.8,-830.3,-283.6,-934.9,-765.0,,-1080.1,-846.2,True,False,True,,False,False
California,17343,17872.3,22354.8,18731.5,15580.0,,14655.9,17131.4,529.3,5011.8,1388.5,-1763.0,,-2687.1,-211.6,False,False,False,,False,True
Colorado,2218,2334.0,2742.9,2655.9,2042.0,,2518.8,2514.3,116.0,524.9,437.9,-176.0,,300.8,296.3,False,False,False,,False,False
Connecticut,4577,4631.6,4494.4,4730.0,4485.0,,4419.8,4634.7,54.6,-82.6,153.0,-92.0,,-157.2,57.7,False,False,False,,False,False
Delaware,709,1299.0,706.5,561.6,617.0,,1375.5,669.2,606.0,13.5,-131.4,-76.0,,682.5,-23.8,True,True,True,,False,True
District of Columbia,642,619.6,656.0,683.7,595.0,,584.0,641.6,-22.4,14.0,41.7,-47.0,,-58.0,-0.4,True,False,False,,False,True
Florida,16417,17065.4,22804.1,17229.9,13228.0,,13918.5,13889.0,648.4,6387.1,812.9,-3189.0,,-2498.5,-2528.0,False,False,False,,False,False
Georgia,7808,7663.7,8914.5,7042.7,5066.0,,7675.0,6963.4,-144.3,1106.5,-765.3,-2742.0,,-133.0,-844.6,False,False,False,,True,False
Hawaii,212,51.7,82.7,27.6,,,29.9,86.4,-160.3,-129.3,-184.4,,,-182.1,-125.6,True,False,,,False,True
Idaho,572,493.1,1306.7,444.1,358.0,,356.8,598.0,-78.9,734.7,-127.9,-214.0,,-215.2,26.0,False,False,False,,False,True
Illinois,9751,8901.4,9663.1,8421.5,8289.0,,9028.7,9184.2,-849.6,-87.9,-1329.5,-1462.0,,-722.3,-566.8,True,False,False,,True,True
Indiana,4234,3944.4,3926.2,3350.0,3529.0,,3982.0,4410.8,-357.6,-375.8,-952.0,-773.0,,-320.0,108.8,False,False,False,,True,True
Iowa,1634,1291.9,1649.1,1698.8,1134.0,,1021.0,1425.0,-342.1,15.1,64.8,-500.0,,-613.0,-209.0,True,True,False,,False,True
Kansas,975,613.9,1184.7,406.8,541.0,,561.4,623.0,-361.1,209.7,-568.2,-434.0,,-413.6,-352.0,True,False,False,,False,True
Kentucky,1404,1085.7,1923.0,1082.6,924.0,,1092.3,1597.0,-318.3,519.0,-321.4,-480.0,,-311.7,193.0,False,False,False,,True,True
Louisiana,5820,6591.6,6520.5,4874.7,6721.0,,6275.7,5488.5,771.6,700.5,-945.3,901.0,,455.7,-331.5,True,False,False,,True,True
Maine,146,144.7,126.6,173.8,165.0,,120.8,165.3,-1.3,-19.4,27.8,19.0,,-25.2,19.3,False,False,False,,False,False
Maryland,4091,4250.0,4443.5,4148.5,4051.0,,4246.0,4879.1,159.0,352.5,57.5,-40.0,,155.0,788.1,False,True,True,,True,False
Massachusetts,9839,9789.0,8760.1,9886.2,8917.0,,9173.3,9405.7,-50.0,-1078.9,47.2,-922.0,,-665.7,-433.3,False,True,False,,False,False
Michigan,7522,6837.1,7359.0,7273.7,7100.0,,6822.4,6852.5,-684.9,-163.0,-248.3,-422.0,,-699.6,-669.5,True,True,True,,False,True
Minnesota,2381,2038.3,2455.1,1860.5,2300.0,,2044.3,2233.2,-342.7,74.1,-520.5,-81.0,,-336.7,-147.8,True,False,True,,True,True
Mississippi,3255,3267.3,3710.8,2466.3,2642.0,,2650.0,2947.5,12.3,455.8,-788.7,-613.0,,-605.0,-307.5,False,False,False,,False,False
Missouri,2827,2147.6,3971.2,1594.3,1545.0,,2432.0,2407.1,-666.4,1157.2,-1219.7,-1269.0,,-382.0,-406.9,False,False,False,,True,True
Montana,294,161.7,415.4,496.1,110.0,,69.4,207.5,-132.3,121.4,202.1,-184.0,,-224.6,-86.5,True,False,False,,False,True
Nebraska,595,508.9,719.2,344.6,414.0,,427.5,494.5,-86.1,124.2,-250.4,-181.0,,-167.5,-100.5,False,False,False,,False,False
Nevada,1743,1852.6,2215.1,1692.4,1618.0,,1574.5,1922.5,109.6,472.1,-50.6,-125.0,,-168.5,179.5,False,True,False,,False,False
New Hampshire,473,550.4,490.5,447.5,422.0,,632.9,531.0,77.4,17.5,-25.5,-51.0,,159.9,58.0,True,True,True,,False,True
New Jersey,16281,16828.4,16821.3,17650.4,16029.0,,15839.7,16595.4,547.4,540.3,1369.4,-252.0,,-441.3,314.4,True,False,True,,True,True
New Mexico,965,1166.9,1014.4,879.2,797.0,,1047.8,1055.7,201.9,49.4,-85.8,-168.0,,82.8,90.7,True,True,True,,True,True
New York,33634,34365.7,33175.5,34900.5,33185.0,,33354.1,33704.1,730.7,-459.5,1265.5,-450.0,,-280.9,69.1,True,False,True,,True,True
North Carolina,4144,3938.4,4094.3,2931.3,3224.0,,3423.0,3760.8,-205.6,-49.7,-1212.7,-920.0,,-721.0,-383.2,True,False,False,,False,False
North Dakota,448,189.0,319.5,185.7,134.0,,298.2,216.1,-259.0,-128.5,-262.3,-314.0,,-149.8,-231.9,True,False,False,,True,True
Ohio,5001,5017.0,5325.1,3872.8,4128.0,,5329.6,5196.5,-259.0,49.1,-1403.2,-1148.0,,53.6,-79.5,True,False,False,,True,True
Oklahoma,1245,1074.6,1379.2,1390.8,1328.0,,908.9,1013.6,-170.4,134.2,145.8,83.0,,-336.1,-231.4,True,True,True,,False,False
Oregon,653,661.9,634.7,642.1,424.0,,478.6,859.5,8.9,-18.3,-10.9,-229.0,,-174.4,206.5,False,False,False,,False,False
Pennsylvania,8636,8477.0,8596.2,7976.9,8255.0,,8110.8,8996.1,-159.0,-39.8,-659.1,-381.0,,-525.2,360.1,True,False,False,,False,False
Rhode Island,1191,1156.3,1365.7,1082.2,1120.0,,1124.9,1162.8,-14.7,194.7,-88.8,-51.0,,-46.1,-8.2,False,False,False,,False,True
South Carolina,3793,5811.0,3509.4,2997.1,3003.0,,4714.5,4381.2,2018.0,-283.6,-795.9,-790.0,,921.5,588.2,True,True,True,,True,True
South Dakota,366,187.3,163.7,230.8,234.0,,321.9,208.0,-178.7,-202.3,-135.2,-132.0,,-44.1,-158.0,False,True,True,,True,True
Tennessee,3100,2561.3,4806.5,1984.6,2206.0,,2140.3,2396.9,-538.7,1706.5,-1115.4,-894.0,,-959.7,-703.1,False,False,False,,False,False
