,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2866,2747.9,2766.8,2688.0,2756.8,2806.0,3029.0,2742.0,2695.9,2868.0,2759.7,2694.2,2923.2,,2920.8,2949.0,2808.3,2850.2,2840.1,2720.9,2725.4,2791.9,2817.4,3011.0,2937.1,,2960.7,2839.6,2703.0,,2892.0,2619.2,2834.0,3253.8,2791.0,2750.4,,2954.3,2841.0,2905.0,3145.5,2851.0,2639.0,2759.0,2779.2,2550.0,-118.1,-99.2,-178.0,-109.2,-60.0,163.0,-124.0,-170.1,2.0,-106.3,-171.8,57.2,,54.8,83.0,-57.7,-15.8,-25.9,-145.1,-140.6,-74.1,-48.6,145.0,71.1,,94.7,-26.4,-163.0,,26.0,-246.8,-32.0,387.8,-75.0,-115.6,,88.3,-25.0,39.0,279.5,-15.0,-227.0,-107.0,-86.8,-316.0,True,False,True,True,False,False,False,True,True,False,True,,True,True,True,True,True,False,False,True,True,False,True,,True,True,False,,True,False,True,False,True,True,,True,True,True,False,True,False,True,True,False
Alaska,68,98.4,81.7,81.0,80.0,72.0,53.0,65.0,62.9,74.0,86.4,68.4,74.6,,47.2,,63.1,79.9,87.6,64.5,68.9,64.6,98.0,124.0,77.1,,69.6,88.5,64.0,,,61.2,68.0,62.8,85.0,70.4,,100.6,85.0,61.8,71.9,68.0,64.0,64.7,81.0,65.0,30.4,13.7,13.0,12.0,4.0,-15.0,-3.0,-5.1,6.0,18.4,0.4,6.6,,-20.8,,-4.9,11.9,19.6,-3.5,0.9,-3.4,30.0,56.0,9.1,,1.6,20.5,-4.0,,,-6.8,0.0,-5.2,17.0,2.4,,32.6,17.0,-6.2,3.9,0.0,-4.0,-3.3,13.0,-3.0,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,False,True,,True,True,True,,,True,True,True,True,True,,False,True,True,True,True,True,True,True,True
Arizona,5869,6186.1,6172.4,6140.0,6242.3,6071.0,5933.0,7441.0,6069.2,6081.0,5960.8,6037.0,5967.3,,6157.0,6175.0,6034.8,5778.0,5911.9,6123.7,5863.4,6017.3,5955.4,5940.0,6560.8,,5906.5,6315.4,5948.0,,6264.8,5779.6,6313.0,6388.4,6238.0,6154.5,,6578.0,5991.0,6548.0,5983.5,6121.0,5885.0,6084.3,6138.7,6042.0,317.1,303.4,271.0,373.3,202.0,64.0,1572.0,200.2,212.0,91.8,168.0,98.3,,288.0,306.0,165.8,-91.0,42.9,254.7,-5.6,148.3,86.4,71.0,691.8,,37.5,446.4,79.0,,395.8,-89.4,444.0,519.4,369.0,285.5,,709.0,122.0,679.0,114.5,252.0,16.0,215.3,269.7,173.0,True,True,False,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,,False,True,False,False,False,True,,False,True,False,True,True,True,True,True,True
Arkansas,1797,1797.9,1737.5,1607.0,1700.8,1704.0,1655.0,2241.0,2052.4,1686.0,1758.4,,1707.4,,1612.9,1532.0,1767.0,1539.9,1643.8,1831.4,1517.1,1693.6,1804.4,1641.0,1874.6,,1571.8,1839.6,2077.5,,2043.7,1616.6,1881.0,1439.8,1960.0,1627.2,,1891.8,1825.0,1825.0,1542.8,1744.0,1596.0,1543.5,1651.1,1433.0,0.9,-59.5,-190.0,-96.2,-93.0,-142.0,444.0,255.4,-111.0,-38.6,,-89.6,,-184.1,-265.0,-30.0,-257.1,-153.2,34.4,-279.9,-103.4,7.4,-156.0,77.6,,-225.2,42.6,280.5,,246.7,-180.4,84.0,-357.2,163.0,-169.8,,94.8,28.0,28.0,-254.2,-53.0,-201.0,-253.5,-145.9,-364.0,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
California,17343,17881.7,17860.4,17521.0,17841.8,17616.0,17789.0,17410.0,17115.4,17619.0,17075.9,17549.5,17153.8,,18891.6,17530.0,17368.2,16758.6,17884.9,17302.4,16967.6,17640.5,17187.7,17306.0,18797.7,,16718.4,18069.7,17616.0,,18259.3,16404.0,17931.0,23570.5,18593.0,17597.4,21362.0,18810.6,17340.0,18043.5,17315.7,17773.0,16899.0,17199.3,17806.7,15971.0,538.7,517.4,178.0,498.8,273.0,446.0,67.0,-227.6,276.0,-267.1,206.5,-189.2,,1548.6,187.0,25.2,-584.4,541.9,-40.6,-375.4,297.5,-155.3,-37.0,1454.7,,-624.6,726.7,273.0,,916.3,-939.0,588.0,6227.5,1250.0,254.4,4019.0,1467.6,-3.0,700.5,-27.3,430.0,-444.0,-143.7,463.7,-1372.0,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,False,False,True,True,True,True,True,False,,False,False,True,,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False
Colorado,2218,2145.1,2148.9,2143.0,2155.9,2158.0,2325.0,2458.0,2192.6,2070.0,2159.4,2170.7,2212.8,,2149.3,2158.0,2193.9,2431.5,2227.8,2181.2,2137.0,2169.7,2169.3,2244.0,2092.7,,2047.1,2205.4,2064.0,,2137.0,2086.2,2181.0,2477.2,2169.0,2122.3,,2110.3,2191.0,2191.5,2540.3,2254.0,2139.0,2097.4,2175.1,2129.0,-72.9,-69.1,-75.0,-62.1,-60.0,107.0,240.0,-25.4,-148.0,-58.6,-47.3,-5.2,,-68.7,-60.0,-24.1,213.5,9.8,-36.8,-81.0,-48.3,-48.7,26.0,-125.3,,-170.9,-12.6,-154.0,,-81.0,-131.8,-37.0,259.2,-49.0,-95.7,,-107.7,-27.0,-26.5,322.3,36.0,-79.0,-120.6,-42.9,-89.0,True,False,True,True,False,False,True,False,True,True,True,,True,True,True,False,True,True,False,True,True,True,False,,False,True,False,,False,False,True,False,True,False,,False,True,True,False,True,False,False,True,False
Connecticut,4577,4535.7,4532.5,4534.0,4584.2,4544.0,4608.0,4571.0,4544.3,4502.0,4545.6,4552.6,4646.3,,4580.6,4563.0,4539.7,4702.3,4567.2,4540.0,4515.0,4525.1,4678.3,4559.0,4534.8,,4558.7,4535.6,4522.0,,4538.3,4517.5,4553.0,5096.5,4527.0,4530.1,,4552.1,4539.0,4622.0,4820.4,4547.0,4539.0,4511.7,4574.2,4524.0,-41.3,-44.5,-43.0,7.2,-33.0,31.0,-6.0,-32.7,-75.0,-31.4,-24.4,69.3,,3.6,-14.0,-37.3,125.3,-9.8,-37.0,-62.0,-51.9,101.3,-18.0,-42.2,,-18.3,-41.4,-55.0,,-38.7,-59.5,-24.0,519.5,-50.0,-46.9,,-24.9,-38.0,45.0,243.4,-30.0,-38.0,-65.3,-2.8,-53.0,False,False,True,True,True,True,True,False,True,True,False,,True,True,True,False,True,True,False,False,False,True,False,,True,False,False,,True,False,True,False,False,False,,True,True,False,False,True,True,False,True,False
Delaware,680,679.3,678.1,670.0,684.2,674.0,662.0,683.0,671.5,636.0,683.4,676.0,671.3,,663.1,660.0,659.8,677.2,665.5,660.3,649.1,655.6,675.0,663.0,670.0,,657.2,682.9,643.0,,,661.2,677.0,752.5,687.0,665.6,,687.2,656.0,716.0,731.1,659.0,1160.0,652.7,667.5,665.0,-0.7,-1.9,-10.0,4.2,-6.0,-18.0,3.0,-8.5,-44.0,3.4,-4.0,-8.7,,-16.9,-20.0,-20.2,-2.8,-14.5,-19.7,-30.9,-24.4,-5.0,-17.0,-10.0,,-22.8,2.9,-37.0,,,-18.8,-3.0,72.5,7.0,-14.4,,7.2,-24.0,36.0,51.1,-21.0,480.0,-27.3,-12.5,-15.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
District of Columbia,642,639.4,643.3,639.0,646.4,640.0,635.0,642.0,636.8,628.0,654.3,643.8,657.0,,641.2,629.0,636.0,656.1,643.6,640.3,634.3,624.9,646.6,639.0,,,638.1,640.5,629.0,,,624.7,643.0,679.9,655.0,638.7,,,637.0,,677.8,641.0,631.0,632.0,638.3,640.0,-2.6,1.3,-3.0,4.4,-2.0,-7.0,0.0,-5.2,-14.0,12.3,1.8,15.0,,-0.8,-13.0,-6.0,14.1,1.6,-1.7,-7.7,-17.1,4.6,-3.0,,,-3.9,-1.5,-13.0,,,-17.3,1.0,37.9,13.0,-3.3,,,-5.0,,35.8,-1.0,-11.0,-10.0,-3.7,-2.0,True,False,False,True,False,True,False,False,False,True,False,,True,False,False,False,True,True,False,False,False,False,,,False,True,False,,,False,True,False,False,False,,,False,,False,True,False,False,False,True
Florida,16417,16870.9,17011.5,16473.0,16963.3,16128.0,16112.0,16559.0,16167.3,15733.0,15388.1,16263.0,15316.8,,17783.6,15904.0,15899.4,14679.4,16398.6,15480.0,15737.5,16080.0,15886.8,15788.0,17106.5,,16540.5,17437.1,15736.0,,16919.2,14819.1,16749.0,16894.9,16146.0,16398.0,,17842.5,15990.0,16933.1,15263.2,16774.0,14906.0,15651.2,16220.5,15396.0,453.9,594.5,56.0,546.3,-289.0,-305.0,142.0,-249.7,-684.0,-1028.9,-154.0,-1100.2,,1366.6,-513.0,-517.6,-1737.6,-18.4,-937.0,-679.5,-337.0,-530.2,-629.0,689.5,,123.5,1020.1,-681.0,,502.2,-1597.9,332.0,477.9,-271.0,-19.0,,1425.5,-427.0,516.1,-1153.8,357.0,-1511.0,-765.8,-196.5,-1021.0,False,True,False,True,True,True,True,False,False,True,False,,False,False,False,False,True,False,False,True,False,False,False,,True,False,False,,False,False,True,False,True,True,,False,True,False,False,True,False,False,True,False
