,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit
Alabama,2866,1923.1,2338.7,1566.8,-942.9,-527.3,-1299.2,True,False
Alaska,68,10.0,15.1,16.2,-58.0,-52.9,-51.8,True,True
Arizona,5869,3910.4,2510.3,9551.3,-1958.6,-3358.7,3682.3,False,False
Arkansas,1797,571.0,662.1,4920.5,-1226.0,-1134.9,3123.5,True,False
California,17343,13766.3,14094.3,12576.1,-3576.7,-3248.7,-4766.9,True,False
Colorado,2218,3155.3,2002.6,2391.8,937.3,-215.4,173.8,True,True
Connecticut,4577,6592.9,4731.9,4331.6,2015.9,154.9,-245.4,True,True
Delaware,709,1033.4,491.0,534.0,450.4,-92.0,-49.0,True,True
District of Columbia,642,945.7,622.3,660.8,303.7,-19.7,18.8,True,True
Florida,16417,7644.4,4410.4,7966.9,-8772.6,-12006.6,-8450.1,False,True
Georgia,7808,4701.9,3480.8,9504.2,-3106.1,-4327.2,1696.2,False,True
Hawaii,212,17.0,17.8,3257.0,-195.0,-194.2,3045.0,True,False
Idaho,572,102.9,201.4,751.0,-469.1,-370.6,179.0,True,True
Illinois,9751,16110.6,7879.9,7952.1,6359.6,-1871.1,-1798.9,True,True
Indiana,4234,5658.9,2908.1,3352.5,1369.9,-1380.9,-936.5,False,True
Iowa,1634,1995.0,1018.1,3903.0,361.0,-615.9,2269.0,False,False
Kansas,975,590.4,331.0,2255.5,-384.6,-644.0,1280.5,False,False
Kentucky,1404,1244.4,700.4,1340.8,-159.6,-703.6,-63.2,False,True
Louisiana,5820,5815.3,3684.9,3264.4,-4.7,-2135.1,-2555.6,False,False
Maine,146,297.6,198.1,3195.4,151.6,52.1,3049.4,True,False
Maryland,4091,7058.0,5204.8,3892.4,2967.0,1113.8,-198.6,True,True
Massachusetts,9839,16648.9,9274.4,8166.4,6809.9,-564.6,-1672.6,True,True
Michigan,7522,13917.3,6226.5,7263.2,6427.3,-1263.5,-226.8,True,True
Minnesota,2381,4116.0,1875.0,4048.5,1735.0,-506.0,1667.5,True,True
Mississippi,3255,2465.1,1454.8,1513.0,-789.9,-1800.2,-1742.0,False,False
Missouri,2827,1589.4,1129.6,1428.4,-1194.6,-1654.4,-1355.6,False,False
Montana,294,37.9,19.8,20.6,-256.1,-274.2,-273.4,False,False
Nebraska,595,524.6,546.1,4915.3,-70.4,-48.9,4320.3,True,False
Nevada,1743,855.0,585.4,967.1,-888.0,-1157.6,-775.9,False,True
New Hampshire,473,1100.1,350.4,870.7,627.1,-122.6,397.7,True,True
New Jersey,16281,21667.7,12961.7,13323.3,7226.7,-1479.3,-1117.7,True,True
New Mexico,965,1190.3,579.5,1012.2,225.3,-385.5,47.2,False,True
New York,33634,42089.7,32174.2,31825.9,9307.7,-607.8,-956.1,True,True
North Carolina,4144,2918.4,4070.6,20616.7,-1225.6,-73.4,16472.7,True,False
North Dakota,448,290.4,133.4,315.2,-157.6,-314.6,-132.8,False,True
Ohio,5001,6827.0,3499.9,5535.9,1706.0,-1621.1,414.9,True,True
Oklahoma,1245,626.0,427.4,522.9,-619.0,-817.6,-722.1,False,False
Oregon,653,361.6,180.0,794.7,-291.4,-473.0,141.7,False,True
Pennsylvania,8636,13647.6,6993.0,8019.0,5011.6,-1643.0,-617.0,True,True
Rhode Island,1191,1844.3,951.8,1057.6,767.3,-125.2,-19.4,True,True
South Carolina,3793,1578.6,1230.6,942.0,-2214.4,-2562.4,-2851.0,False,False
South Dakota,366,124.6,166.2,128.0,-241.4,-199.8,-238.0,True,True
Tennessee,3100,1490.3,903.4,1822.5,-1609.7,-2196.6,-1277.5,False,True
Texas,18214,5137.3,4783.7,12752.7,-12875.7,-13229.3,-5260.3,False,True
Utah,568,279.9,1060.7,4853.1,-288.1,492.7,4285.1,False,False
Vermont,58,55.0,57.8,105.3,-3.0,-0.2,47.3,True,False
Virginia,3578,3168.7,2328.0,2423.0,-398.3,-1239.0,-1144.0,False,False
Washington,2277,1931.4,1971.2,2217.8,-332.6,-292.8,-46.2,True,True
West Virginia,424,262.7,173.6,357.2,-161.3,-250.4,-66.8,False,True
Wisconsin,2039,1739.1,1667.5,7372.9,-251.9,-323.5,5381.9,False,False
Wyoming,68,36.9,28.7,61.8,-31.1,-39.3,-6.2,False,True
US,225656,232297.9,155631.5,232437.3,9729.9,-66936.5,9869.3,False,False
