,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2866,3179.4,2618.2,2972.0,,2764.0,2835.8,313.4,-247.8,106.0,,-102.0,-30.2,True,True,,True,True
Alaska,68,47.7,109.5,,,46.1,58.1,-20.3,41.5,,,-21.9,-9.9,False,,,False,True
Arizona,5869,8015.1,4480.2,7130.0,,6419.5,6563.6,2146.1,-1388.8,1261.0,,550.5,694.6,True,True,,True,True
Arkansas,1797,1141.1,1142.1,1206.0,,815.1,1097.1,-655.9,-654.9,-591.0,,-981.9,-699.9,True,True,,False,False
California,17343,19779.3,17063.5,19232.0,,16736.3,18168.2,2436.3,-279.5,1889.0,,-606.7,825.2,True,True,,True,True
Colorado,2218,2270.6,2217.1,2141.0,,2301.1,2294.0,52.6,-0.9,-77.0,,83.1,76.0,True,False,,False,False
Connecticut,4577,4571.3,4528.3,4530.0,,4570.3,4543.7,-5.7,-48.7,-47.0,,-6.7,-33.3,False,False,,False,False
Delaware,680,612.7,648.1,639.0,,630.1,672.6,-67.3,-31.9,-41.0,,-49.9,-7.4,True,True,,True,True
District of Columbia,642,656.1,652.4,630.0,,660.4,647.4,14.1,10.4,-12.0,,18.4,5.4,True,True,,False,True
Florida,16417,21931.1,12129.8,16775.0,,17269.0,16467.7,5514.1,-4287.2,358.0,,852.0,50.7,True,True,,True,True
Georgia,7808,9660.1,6612.1,6746.0,,7654.8,7529.3,1852.1,-1195.9,-1062.0,,-153.2,-278.7,True,True,,True,True
Hawaii,212,128.7,389.0,,,141.7,160.6,-83.3,177.0,,,-70.3,-51.4,False,,,True,True
