,mean_rank
YYG-ParamSearch,11.8
OliverWyman-Navigator,12.7
UMass-MechBayes,13.0
USC-SI_kJalpha,14.4
Karlen-pypm,14.9
COVIDhub-ensemble,15.2
COVIDhub-baseline,15.6
CEID-Walk,15.9
LNQ-ens1,16.5
SteveMcConnell-CovidComplete,16.5
CMU-TimeSeries,17.0
MIT_CritData-GBCF,17.4
UT-Mobility,17.4
JCB-PRM,17.9
JHU_CSSE-DECOM,18.0
UA-EpiCovDA,18.1
GT-DeepCOVID,18.3
NotreDame-mobility,18.8
UMich-RidgeTfReg,19.1
JHUAPL-Bucky,19.3
JHU_IDD-CovidSP,19.7
IowaStateLW-STEM,19.7
UCSD_NEU-DeepGLEAM,19.9
CU-select,20.4
BPagano-RtDriven,20.5
Columbia_UNC-SurvCon,20.5
MOBS-GLEAM_COVID,20.7
Covid19Sim-Simulator,21.0
UCLA-SuEIR,21.5
DDS-NBDS,22.0
CovidAnalytics-DELPHI,22.2
LANL-GrowthRate,22.5
Google_Harvard-CPF,22.9
PSI-DRAFT,23.9
RobertWalraven-ESG,27.5
epiforecasts-ensemble1,28.5
WalmartLabsML-LogForecasting,29.2
TTU-squider,30.4
