,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Alabama,2866,2860.9,3049.3,2879.7,2881.0,2876.0,2808.0,2767.0,2787.3,2678.9,2752.0,2831.1,2782.0,2800.5,,2867.0,2805.0,2805.2,2770.4,2810.9,2791.1,2770.3,2822.0,2830.0,2831.7,2856.3,,2870.9,2835.3,2801.0,,2735.3,2742.8,,2823.0,3286.1,2809.0,2849.4,,2838.8,2806.0,2844.9,2926.4,2838.0,2773.0,2795.9,2848.0,-5.1,183.3,13.7,15.0,10.0,-58.0,-99.0,-78.7,-187.1,-114.0,-34.9,-84.0,-65.5,,1.0,-61.0,-60.8,-95.6,-55.1,-74.9,-95.7,-44.0,-36.0,-34.3,-9.7,,4.9,-30.7,-65.0,,-130.7,-123.2,,-43.0,420.1,-57.0,-16.6,,-27.2,-60.0,-21.1,60.4,-28.0,-93.0,-70.1,-18.0,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Alaska,68,63.7,61.6,64.9,65.0,64.0,70.0,73.0,78.2,78.2,71.0,70.5,66.8,69.5,,,,62.6,84.6,75.3,77.6,70.7,64.5,106.0,71.3,71.0,,72.6,64.8,68.0,,,63.3,,69.0,68.9,80.0,65.3,,66.9,72.0,65.7,71.6,70.0,65.0,64.5,,-4.3,-6.4,-3.1,-3.0,-4.0,2.0,5.0,10.2,10.2,3.0,2.5,-1.2,1.5,,,,-5.4,16.6,7.3,9.6,2.7,-3.5,38.0,3.3,3.0,,4.6,-3.2,0.0,,,-4.7,,1.0,0.9,12.0,-2.7,,-1.1,4.0,-2.3,3.6,2.0,-3.0,-3.5,,False,True,True,True,True,False,False,False,True,True,True,True,,,,False,False,False,False,True,True,False,True,True,,False,True,True,,,False,,True,True,False,True,,True,True,True,True,True,True,True,
Arizona,5869,5857.4,5809.1,5849.6,5865.0,5867.7,5933.0,5954.0,5959.0,5953.1,5942.0,6012.7,5951.7,5995.9,,5893.0,5971.0,5948.8,5922.3,5872.1,5995.8,5933.5,5864.2,5899.0,5811.2,6034.4,,5890.3,5875.3,5859.0,,5977.7,5808.2,,5914.0,6388.4,5865.0,6020.3,,5811.9,5922.0,6021.3,5950.6,5877.0,5842.0,5972.5,5822.0,-11.6,-59.9,-19.4,-4.0,-1.3,64.0,85.0,90.0,84.1,73.0,143.7,82.7,126.9,,24.0,102.0,79.8,53.3,3.1,126.8,64.5,-4.8,30.0,-57.8,165.4,,21.3,6.3,-10.0,,108.7,-60.8,,45.0,519.4,-4.0,151.3,,-57.1,53.0,152.3,81.6,8.0,-27.0,103.5,-47.0,False,False,True,True,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,True,False,False,False,,False,True,True,,False,False,,False,False,True,False,,False,False,False,False,True,False,False,False
Arkansas,1797,1836.4,1893.0,1839.6,1826.0,1842.0,1813.0,1722.0,1696.1,1669.3,1791.0,1879.2,1807.3,1899.9,,1874.0,1785.0,1859.3,1789.1,1713.3,1857.6,1785.3,1787.1,1739.0,1858.3,1831.2,,1609.3,1859.6,1755.0,,1827.0,1717.2,,1826.0,1540.6,1826.0,1801.5,,1865.3,1826.0,1807.2,1691.3,1816.0,1813.0,1710.8,1684.0,39.4,96.0,42.6,29.0,45.0,16.0,-75.0,-100.9,-127.7,-6.0,82.2,10.3,102.9,,77.0,-12.0,62.3,-7.9,-83.7,60.6,-11.7,-9.9,-58.0,61.3,34.2,,-187.7,62.6,-42.0,,30.0,-79.8,,29.0,-256.4,29.0,4.5,,68.3,29.0,10.2,-105.7,19.0,16.0,-86.2,-113.0,False,False,True,False,True,False,False,False,True,False,True,False,,False,True,False,True,False,False,True,True,False,False,True,,False,False,False,,True,False,,True,False,True,True,,False,True,True,False,True,True,False,False
California,17343,17381.3,17419.2,17450.2,17408.0,17470.8,17447.0,17330.0,17647.2,17184.6,17332.0,17573.9,17471.9,17455.4,,17533.0,17447.0,17538.1,17523.7,17522.0,17528.0,17251.3,17362.6,17358.0,17679.2,17516.8,,17158.0,17425.2,17261.0,,17592.0,17156.5,,17490.0,16553.9,17598.0,17439.3,17903.0,17679.1,17371.0,17530.4,17436.4,17551.0,17201.0,17385.4,17197.0,38.3,76.2,107.2,65.0,127.8,104.0,-13.0,304.2,-158.4,-11.0,230.9,128.9,112.4,,190.0,104.0,195.1,180.7,179.0,185.0,-91.7,19.6,15.0,336.2,173.8,,-185.0,82.2,-82.0,,249.0,-186.5,,147.0,-789.1,255.0,96.3,560.0,336.1,28.0,187.4,93.4,208.0,-142.0,42.4,-146.0,False,False,False,False,False,True,False,False,True,False,False,False,,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False
Colorado,2218,2196.6,2279.1,2211.9,2223.0,2216.0,2191.0,2235.0,2160.8,2141.8,2228.0,2177.2,2196.1,2177.0,,2209.0,2164.0,2188.9,2219.7,2204.4,2210.8,2181.2,2205.3,2235.0,2164.1,2184.6,,2195.9,2233.4,2166.0,,2154.9,2172.7,,2187.0,2497.0,2185.0,2194.9,,2172.3,2201.0,2180.1,2390.3,2204.0,2211.0,2150.8,2199.0,-21.4,61.1,-6.1,5.0,-2.0,-27.0,17.0,-57.2,-76.2,10.0,-40.8,-21.9,-41.0,,-9.0,-54.0,-29.1,1.7,-13.6,-7.2,-36.8,-12.7,17.0,-53.9,-33.4,,-22.1,15.4,-52.0,,-63.1,-45.3,,-31.0,279.0,-33.0,-23.1,,-45.7,-17.0,-37.9,172.3,-14.0,-7.0,-67.2,-19.0,False,True,True,True,False,True,False,False,True,False,False,False,,True,False,False,True,True,True,False,True,True,False,False,,False,True,False,,False,False,,False,False,False,False,,False,True,False,False,True,True,False,True
Connecticut,4577,4561.6,4602.8,4564.0,4568.0,4566.7,4563.0,4568.0,4567.5,4546.2,4578.0,4551.7,4561.6,4575.0,,4559.0,4566.0,4559.6,4602.0,4571.3,4572.5,4540.3,4559.3,4564.0,4547.3,4559.1,,4556.4,4571.0,4561.0,,4550.9,4543.1,,4568.0,5000.9,4549.0,4557.7,,4553.8,4574.0,4558.9,4779.2,4566.0,4559.0,4532.6,4562.0,-15.4,25.8,-13.0,-9.0,-10.3,-14.0,-9.0,-9.5,-30.8,1.0,-25.3,-15.4,-2.0,,-18.0,-11.0,-17.4,25.0,-5.7,-4.5,-36.7,-17.7,-13.0,-29.7,-17.9,,-20.6,-6.0,-16.0,,-26.1,-33.9,,-9.0,423.9,-28.0,-19.3,,-23.2,-3.0,-18.1,202.2,-11.0,-18.0,-44.4,-15.0,False,True,True,True,True,True,True,False,True,False,True,True,,False,True,False,False,True,True,False,False,True,False,False,,False,True,False,,False,False,,True,False,False,False,,False,True,False,False,True,False,False,True
Delaware,680,670.7,677.7,669.5,668.0,669.0,674.0,666.0,678.0,674.5,673.0,673.8,681.7,677.9,,672.0,674.0,672.5,676.7,666.8,680.5,663.8,668.0,673.0,668.9,688.1,,674.2,673.2,662.0,,,657.0,,676.0,752.5,677.0,666.7,,675.4,671.0,691.0,720.6,674.0,677.0,665.3,676.0,-9.3,-2.3,-10.5,-12.0,-11.0,-6.0,-14.0,-2.0,-5.5,-7.0,-6.2,1.7,-2.1,,-8.0,-6.0,-7.5,-3.3,-13.2,0.5,-16.2,-12.0,-7.0,-11.1,8.1,,-5.8,-6.8,-18.0,,,-23.0,,-4.0,72.5,-3.0,-13.3,,-4.6,-9.0,11.0,40.6,-6.0,-3.0,-14.7,-4.0,True,False,False,False,True,False,True,True,True,True,True,True,,True,True,True,True,False,True,False,False,True,False,True,,True,True,False,,,False,,True,False,True,False,,True,True,False,False,True,True,False,True
District of Columbia,642,648.1,650.7,649.7,649.0,650.0,649.0,652.0,646.8,640.2,641.0,647.6,644.8,647.9,,647.0,640.0,643.6,652.2,643.8,646.8,649.9,643.0,645.0,,,,642.8,653.7,650.0,,,644.4,,648.0,666.4,658.0,640.8,,,649.0,,665.5,648.0,651.0,640.9,652.0,6.1,8.7,7.7,7.0,8.0,7.0,10.0,4.8,-1.8,-1.0,5.6,2.8,5.9,,5.0,-2.0,1.6,10.2,1.8,4.8,7.9,1.0,3.0,,,,0.8,11.7,8.0,,,2.4,,6.0,24.4,16.0,-1.2,,,7.0,,23.5,6.0,9.0,-1.1,10.0,False,False,False,False,False,False,True,True,True,True,True,True,,True,True,True,False,True,True,False,True,True,,,,True,False,False,,,True,,True,False,False,True,,,False,,False,True,False,True,False
Florida,16417,16651.0,16361.1,16264.4,16181.0,16302.0,16290.0,15835.0,16291.3,15968.1,16151.0,16765.8,16107.1,16179.6,,16339.0,16424.0,16493.6,16340.4,16143.5,16281.4,16836.2,16501.2,16036.0,16272.7,16251.5,,16226.1,16349.6,15917.0,,16465.5,15719.3,,16329.0,18682.8,17018.0,16206.2,,16290.3,16406.0,16156.7,15745.4,16304.0,16928.0,16232.7,16789.0,234.0,-55.9,-152.6,-236.0,-115.0,-127.0,-582.0,-125.7,-448.9,-266.0,348.8,-309.9,-237.4,,-78.0,7.0,76.6,-76.6,-273.5,-135.6,419.2,84.2,-381.0,-144.3,-165.5,,-190.9,-67.4,-500.0,,48.5,-697.7,,-88.0,2265.8,601.0,-210.8,,-126.7,-11.0,-260.3,-671.6,-113.0,511.0,-184.3,372.0,True,True,False,True,True,False,True,False,False,False,False,False,,True,True,True,True,False,True,False,True,False,True,True,,True,True,False,,True,False,,True,False,False,True,,True,True,False,False,True,False,True,False
