,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2866,3453.0,4480.1,3679.0,2804.0,,3020.0,3046.2,587.0,1614.1,813.0,-62.0,,154.0,180.2,False,False,True,,True,True
Alaska,68,71.4,167.4,21.9,,,76.2,100.2,3.4,99.4,-46.1,,,8.2,32.2,False,False,,,False,False
Arizona,5869,9219.3,5597.8,7809.2,8074.0,,5781.0,6976.8,3350.3,-271.2,1940.2,2205.0,,-88.0,1107.8,True,True,True,,True,True
Arkansas,1797,1211.0,1267.0,895.1,1150.0,,900.1,1016.2,-586.0,-530.0,-901.9,-647.0,,-896.9,-780.8,True,False,False,,False,False
California,17343,20636.6,18758.8,15842.8,17328.0,,17783.5,18071.3,3293.6,1415.8,-1500.2,-15.0,,440.5,728.3,True,True,True,,True,True
Colorado,2218,2436.9,2607.4,2525.9,2138.0,,2218.4,2570.2,218.9,389.4,307.9,-80.0,,0.4,352.2,False,False,True,,True,False
Connecticut,4577,4657.3,4583.9,4813.1,4522.0,,4604.7,4639.4,80.3,6.9,236.1,-55.0,,27.7,62.4,True,False,True,,True,True
Delaware,709,656.1,684.9,697.1,634.0,,647.9,667.2,-37.9,-9.1,3.1,-60.0,,-46.1,-26.8,True,True,False,,False,True
District of Columbia,642,619.6,676.6,642.0,610.0,,639.5,644.5,-20.4,36.6,2.0,-30.0,,-0.5,4.5,False,True,False,,True,True
Florida,16417,21668.3,17681.3,16008.3,16442.0,,16856.8,15999.9,5251.3,1264.3,-408.7,25.0,,439.8,-417.1,True,True,True,,True,True
Georgia,7808,7895.1,7406.3,9822.5,5659.0,,6012.1,6600.1,87.1,-401.7,2014.5,-2149.0,,-1795.9,-1207.9,False,False,False,,False,False
Hawaii,212,26.0,130.0,34.3,,,36.3,59.9,-186.0,-82.0,-177.7,,,-175.7,-152.1,True,True,,,True,True
Idaho,572,801.7,860.5,359.8,401.0,,577.8,812.0,229.7,288.5,-212.2,-171.0,,5.8,240.0,False,True,True,,True,False
Illinois,9751,9184.3,9806.2,8239.6,8517.0,,9057.5,9587.5,-566.7,55.2,-1511.4,-1234.0,,-693.5,-163.5,True,False,False,,False,True
Indiana,4234,3828.7,4006.9,3879.6,3282.0,,3567.7,4189.9,-472.3,-294.1,-421.4,-1019.0,,-733.3,-111.1,True,True,False,,False,True
Iowa,1634,1459.0,1454.6,1593.6,991.0,,1196.9,1406.2,-175.0,-179.4,-40.4,-643.0,,-437.1,-227.8,False,True,False,,False,False
Kansas,975,716.7,934.4,565.5,647.0,,572.8,729.4,-258.3,-40.6,-409.5,-328.0,,-402.2,-245.6,True,False,False,,False,True
Kentucky,1404,1240.0,1644.5,1073.1,1017.0,,1194.8,1397.7,-164.0,240.5,-330.9,-387.0,,-209.2,-6.3,False,False,False,,False,True
Louisiana,5820,6900.1,5982.2,6163.9,5931.0,,5485.6,5581.0,1080.1,162.2,343.9,111.0,,-334.4,-239.0,True,True,True,,True,True
