,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,1078,640.0,,,,282.0,,384.4,,465.0,,510.0,-438.0,,,,-796.0,,-693.6,,-613.0,,-568.0,,,,False,,False,,False,,False
01003,3450,1136.0,,,,1319.0,,781.5,,652.0,,0.0,-2314.0,,,,-2131.0,,-2668.5,,-2798.0,,-3450.0,,,,True,,False,,False,,False
01005,279,168.0,,,,132.0,,150.2,,,,116.0,-111.0,,,,-147.0,,-128.8,,,,-163.0,,,,False,,False,,,,False
01007,549,384.0,,,,126.0,,259.3,,,,868.0,-165.0,,,,-423.0,,-289.7,,,,319.0,,,,False,,False,,,,False
01009,1561,392.0,,,,451.0,,239.7,,272.6,,120.0,-1169.0,,,,-1110.0,,-1321.3,,-1288.4,,-1441.0,,,,True,,False,,False,,False
01011,90,80.0,,,,49.0,,50.4,,,,0.0,-10.0,,,,-41.0,,-39.6,,,,-90.0,,,,False,,False,,,,False
01013,271,224.0,,,,98.0,,110.1,,,,172.0,-47.0,,,,-173.0,,-160.9,,,,-99.0,,,,False,,False,,,,False
01015,3198,1304.0,,,,889.0,,898.7,,1078.0,,14.0,-1894.0,,,,-2309.0,,-2299.3,,-2120.0,,-3184.0,,,,False,,False,,False,,False
01017,666,304.0,,,,142.0,,233.6,,103.6,,693.0,-362.0,,,,-524.0,,-432.4,,-562.4,,27.0,,,,False,,False,,False,,True
01019,433,216.0,,,,196.0,,174.3,,,,122.0,-217.0,,,,-237.0,,-258.7,,,,-311.0,,,,False,,False,,,,False
