,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,36881,29730.0,41648.1,28802.2,31515.0,35600.0,,28867.6,31604.0,38172.7,29973.0,,31419.0,29772.0,36434.6,36462.3,39945.0,19817.4,30228.7,31092.0,30718.9,39075.9,39912.0,37995.0,,45993.7,17237.1,,28066.7,38941.6,33219.6,25828.1,28981.7,34511.0,29918.5,-7151.0,4767.1,-8078.8,-5366.0,-1281.0,,-8013.4,-5277.0,1291.7,-6908.0,,-5462.0,-7109.0,-446.4,-418.7,3064.0,-17063.6,-6652.3,-5789.0,-6162.1,2194.9,3031.0,1114.0,,9112.7,-19643.9,,-8814.3,2060.6,-3661.4,-11052.9,-7899.3,-2370.0,-6962.5,True,False,True,True,,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,False,False,,False,True,True,False,False,True,True
Alaska,9047,8142.0,5162.7,8281.5,8300.0,6869.0,,8102.2,9729.0,10933.7,9810.3,,,,10591.1,11625.1,11783.0,3993.7,12852.8,7165.0,7839.0,9392.2,8022.0,10299.0,,8320.6,10011.3,,7393.4,12988.3,8440.5,7952.9,6058.8,9413.0,8414.6,-905.0,-3884.3,-765.5,-747.0,-2178.0,,-944.8,682.0,1886.7,763.3,,,,1544.1,2578.1,2736.0,-5053.3,3805.8,-1882.0,-1208.0,345.2,-1025.0,1252.0,,-726.4,964.3,,-1653.6,3941.3,-606.5,-1094.1,-2988.2,366.0,-632.4,False,True,True,False,,False,True,False,True,,,,False,False,False,False,False,False,False,True,False,False,,True,False,,False,False,True,False,False,True,True
Arizona,63566,44562.0,39367.0,44777.1,53816.0,48053.0,,39626.5,81256.0,70480.1,52656.3,,47263.0,58219.0,46800.2,47256.4,60783.0,43921.5,59275.5,65465.5,62203.5,66531.0,60478.0,56938.0,,76113.8,32217.9,,46290.3,57691.9,45878.3,56058.1,54092.6,57136.0,54548.4,-19004.0,-24199.0,-18788.9,-9750.0,-15513.0,,-23939.5,17690.0,6914.1,-10909.7,,-16303.0,-5347.0,-16765.8,-16309.6,-2783.0,-19644.5,-4290.5,1899.5,-1362.5,2965.0,-3088.0,-6628.0,,12547.8,-31348.1,,-17275.7,-5874.1,-17687.7,-7507.9,-9473.4,-6430.0,-9017.6,False,True,True,True,,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,True,True,True,True,True
Arkansas,25561,23310.0,38288.0,22692.9,25464.0,20476.0,,22920.5,17392.0,25433.9,28657.6,,26064.0,30987.0,30092.8,23551.1,30385.0,13937.0,34654.5,26649.0,25173.3,30164.0,31946.0,34074.0,,32079.4,12353.8,,25253.1,34405.4,25493.0,27981.5,19972.4,24592.0,23295.3,-2251.0,12727.0,-2868.1,-97.0,-5085.0,,-2640.5,-8169.0,-127.1,3096.6,,503.0,5426.0,4531.8,-2009.9,4824.0,-11624.0,9093.5,1088.0,-387.7,4603.0,6385.0,8513.0,,6518.4,-13207.2,,-307.9,8844.4,-68.0,2420.5,-5588.6,-969.0,-2265.7,False,False,True,False,,False,False,True,False,,True,False,False,True,False,False,False,True,True,False,False,False,,False,False,,True,False,True,False,False,True,False
California,232506,164736.0,308889.2,166098.1,206333.0,215207.0,,155280.2,217534.0,197636.8,192681.9,,169267.0,160176.0,159666.1,263827.2,221201.0,137956.0,264608.4,257889.0,208040.9,171377.1,212551.0,213955.0,,240530.6,8043.7,,177880.1,189603.0,203047.8,216089.4,201104.2,202625.0,193130.1,-67770.0,76383.2,-66407.9,-26173.0,-17299.0,,-77225.8,-14972.0,-34869.2,-39824.1,,-63239.0,-72330.0,-72839.9,31321.2,-11305.0,-94550.0,32102.4,25383.0,-24465.1,-61128.9,-19955.0,-18551.0,,8024.6,-224462.3,,-54625.9,-42903.0,-29458.2,-16416.6,-31401.8,-29881.0,-39375.9,False,True,True,True,,False,True,True,True,,True,False,False,True,True,False,True,True,True,True,True,True,,True,False,,True,True,True,True,True,True,True
Colorado,62668,70890.0,100708.6,70456.0,83144.0,69093.0,,63591.0,108350.0,102722.2,93785.7,,89383.0,77630.0,88820.2,91417.7,88741.0,49559.2,126968.4,74949.5,71712.0,87719.1,85368.0,87566.0,,91277.2,93909.6,,77921.4,111594.6,69408.0,87907.5,56184.2,75797.0,80658.8,8222.0,38040.6,7788.0,20476.0,6425.0,,923.0,45682.0,40054.2,31117.7,,26715.0,14962.0,26152.2,28749.7,26073.0,-13108.8,64300.4,12281.5,9044.0,25051.1,22700.0,24898.0,,28609.2,31241.6,,15253.4,48926.6,6740.0,25239.5,-6483.8,13129.0,17990.8,False,True,False,True,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,False,True,False,False
Connecticut,26246,25648.0,28295.0,25573.6,29331.0,26354.0,,24792.3,42561.0,102033.4,26885.9,,16684.0,29001.0,30532.3,38525.7,35365.0,30832.0,39213.1,41958.0,26953.9,35503.5,26605.0,32792.0,,19385.5,27440.7,,36321.6,35912.0,25462.0,41214.1,13707.6,26756.0,37272.9,-598.0,2049.0,-672.4,3085.0,108.0,,-1453.7,16315.0,75787.4,639.9,,-9562.0,2755.0,4286.3,12279.7,9119.0,4586.0,12967.1,15712.0,707.9,9257.5,359.0,6546.0,,-6860.5,1194.7,,10075.6,9666.0,-784.0,14968.1,-12538.4,510.0,11026.9,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False,True,False
Delaware,7775,5852.0,8670.2,5751.7,6669.0,6911.0,,5201.7,6978.0,6218.4,6770.7,,5468.0,6535.0,6090.1,6523.4,8652.0,4623.5,9987.4,8668.0,7133.4,9207.9,7682.0,7681.0,,8586.7,2479.7,,6122.9,5853.4,6513.1,7371.3,8181.5,7313.0,5212.3,-1923.0,895.2,-2023.3,-1106.0,-864.0,,-2573.3,-797.0,-1556.6,-1004.3,,-2307.0,-1240.0,-1684.9,-1251.6,877.0,-3151.5,2212.4,893.0,-641.6,1432.9,-93.0,-94.0,,811.7,-5295.3,,-1652.1,-1921.6,-1261.9,-403.7,406.5,-462.0,-2562.7,True,False,True,True,,False,True,True,True,,False,True,True,True,True,False,False,True,True,True,True,True,,True,False,,True,True,True,True,True,True,False
District of Columbia,2911,2294.0,3140.6,2285.8,2793.0,2240.0,,2212.5,3023.0,2922.6,2183.5,,2071.0,2783.0,2451.0,3494.6,3314.0,2517.6,3138.5,2931.0,2686.5,,3152.0,2166.0,,2835.2,2551.5,,2097.1,2952.2,2396.3,,2643.7,3008.0,3335.5,-617.0,229.6,-625.2,-118.0,-671.0,,-698.5,112.0,11.6,-727.5,,-840.0,-128.0,-460.0,583.6,403.0,-393.4,227.5,20.0,-224.5,,241.0,-745.0,,-75.8,-359.5,,-813.9,41.2,-514.7,,-267.3,97.0,424.5,True,False,True,False,,False,True,True,False,,False,True,True,True,True,True,True,True,True,,True,False,,True,True,,False,True,True,,True,True,True
Florida,117811,113462.0,140791.2,113528.8,123873.0,145672.0,,98041.3,155553.0,173067.0,121410.1,,109705.0,113188.0,111426.3,110543.5,155270.0,116027.7,142603.5,121985.0,124314.7,127869.0,144088.0,152395.0,,173168.1,88891.3,,118006.2,134436.8,130982.8,115551.4,114791.9,126340.0,85160.6,-4349.0,22980.2,-4282.2,6062.0,27861.0,,-19769.7,37742.0,55256.0,3599.1,,-8106.0,-4623.0,-6384.7,-7267.5,37459.0,-1783.3,24792.5,4174.0,6503.7,10058.0,26277.0,34584.0,,55357.1,-28919.7,,195.2,16625.8,13171.8,-2259.6,-3019.1,8529.0,-32650.4,False,True,False,False,,False,False,False,True,,False,False,False,False,False,True,False,True,False,False,False,False,,False,False,,True,False,False,True,True,False,False
