,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,22596,14285.0,14560.8,14041.8,14970.0,14189.0,,15180.8,16387.0,16536.6,14087.7,16474.8,,14976.0,14452.0,17055.5,15234.7,15215.0,9824.2,16062.1,16645.5,14923.1,15374.0,17030.0,15580.0,,23180.5,14162.9,,13538.3,23334.2,13005.6,,12244.5,14970.0,15823.7,-8311.0,-8035.2,-8554.2,-7626.0,-8407.0,,-7415.2,-6209.0,-6059.4,-8508.3,-6121.2,,-7620.0,-8144.0,-5540.5,-7361.3,-7381.0,-12771.8,-6533.9,-5950.5,-7672.9,-7222.0,-5566.0,-7016.0,,584.5,-8433.1,,-9057.7,738.2,-9590.4,,-10351.5,-7626.0,-6772.3,True,False,True,False,,True,True,True,False,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,,False,True,False,,False,True,True
Alaska,4827,4220.0,4526.2,4261.0,4240.0,2842.0,,3971.4,4551.0,3788.6,4338.5,4899.6,,,,4972.7,3254.3,4438.0,1205.7,4541.5,4004.0,4048.0,4417.5,4075.0,4325.0,,3447.6,6167.9,,4578.3,7085.0,3386.3,,4098.4,4319.0,6288.8,-607.0,-300.8,-566.0,-587.0,-1985.0,,-855.6,-276.0,-1038.4,-488.5,72.6,,,,145.7,-1572.7,-389.0,-3621.3,-285.5,-823.0,-779.0,-409.5,-752.0,-502.0,,-1379.4,1340.9,,-248.7,2258.0,-1440.7,,-728.6,-508.0,1461.8,True,True,True,False,,False,True,False,True,True,,,,True,False,True,False,True,False,False,True,False,True,,False,False,,True,False,False,,False,True,False
Arizona,36126,27440.0,30206.4,27568.7,27673.0,27099.0,,26837.1,45085.0,28654.4,32726.6,30960.2,,27140.0,27325.0,29828.6,37256.6,31630.0,25382.3,35715.5,33515.5,25097.4,28679.5,33946.0,29896.0,,42443.1,17353.4,,27062.1,38735.9,23766.3,,24853.4,27673.0,55216.8,-8686.0,-5919.6,-8557.3,-8453.0,-9027.0,,-9288.9,8959.0,-7471.6,-3399.4,-5165.8,,-8986.0,-8801.0,-6297.4,1130.6,-4496.0,-10743.7,-410.5,-2610.5,-11028.6,-7446.5,-2180.0,-6230.0,,6317.1,-18772.6,,-9063.9,2609.9,-12359.7,,-11272.6,-8453.0,19090.8,True,True,True,False,,False,False,True,True,True,,False,False,True,True,True,False,True,True,False,True,True,True,,True,False,,False,True,False,,False,True,False
Arkansas,14356,11205.0,11260.9,11338.6,11481.0,10783.0,,11784.6,14089.0,10077.4,11814.8,11908.2,,12212.0,13804.0,14591.5,10501.2,12061.0,6643.2,16400.2,11083.5,10378.9,10591.9,12841.0,11359.0,,16653.7,5928.1,,11528.4,19282.5,10380.4,,8081.5,11481.0,13742.0,-3151.0,-3095.1,-3017.4,-2875.0,-3573.0,,-2571.4,-267.0,-4278.6,-2541.2,-2447.8,,-2144.0,-552.0,235.5,-3854.8,-2295.0,-7712.8,2044.2,-3272.5,-3977.1,-3764.1,-1515.0,-2997.0,,2297.7,-8427.9,,-2827.6,4926.5,-3975.6,,-6274.5,-2875.0,-614.0,True,True,True,False,,True,True,False,True,True,,True,True,True,False,True,False,True,False,False,False,True,True,,True,False,,True,False,False,,False,True,True
California,144000,95189.0,132827.7,96670.4,103355.0,99633.0,,95435.1,135375.0,107053.8,115526.3,109140.0,,97501.0,102076.0,105717.3,132764.3,101776.0,72447.1,129467.0,116725.0,109462.0,95239.1,116353.0,110603.0,,128360.3,3435.6,,99019.9,140509.4,94742.9,,101063.3,93190.0,185642.6,-48811.0,-11172.3,-47329.6,-40645.0,-44367.0,,-48564.9,-8625.0,-36946.2,-28473.7,-34860.0,,-46499.0,-41924.0,-38282.7,-11235.7,-42224.0,-71552.9,-14533.0,-27275.0,-34538.0,-48760.9,-27647.0,-33397.0,,-15639.7,-140564.4,,-44980.1,-3490.6,-49257.1,,-42936.7,-50810.0,41642.6,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,False,,True,False,True
Colorado,32064,30604.0,34745.6,29875.2,31148.0,26534.0,,31979.3,46356.0,30244.6,29420.6,38540.0,,37413.0,31187.0,42586.6,30163.8,31863.0,21697.8,28717.6,24887.5,27755.2,30054.3,34991.0,29003.0,,60613.0,52267.0,,31402.0,63886.8,26712.4,,24976.6,31148.0,37421.7,-1460.0,2681.6,-2188.8,-916.0,-5530.0,,-84.7,14292.0,-1819.4,-2643.4,6476.0,,5349.0,-877.0,10522.6,-1900.2,-201.0,-10366.2,-3346.4,-7176.5,-4308.8,-2009.7,2927.0,-3061.0,,28549.0,20203.0,,-662.0,31822.8,-5351.6,,-7087.4,-916.0,5357.7,False,False,True,False,,True,False,False,False,False,,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,,True,False,False,,False,True,False
Connecticut,15134,11112.0,13403.0,11474.6,11475.0,9931.0,,11286.1,16882.0,33245.6,10332.7,10781.5,,8465.0,12064.0,14600.5,11740.8,11204.0,11020.0,20651.3,14782.0,9459.3,11517.7,9932.0,11703.0,,6958.8,16661.7,,12311.9,22234.8,10221.2,,5558.3,8806.0,16501.6,-4022.0,-1731.0,-3659.4,-3659.0,-5203.0,,-3847.9,1748.0,18111.6,-4801.3,-4352.5,,-6669.0,-3070.0,-533.5,-3393.2,-3930.0,-4114.0,5517.3,-352.0,-5674.7,-3616.3,-5202.0,-3431.0,,-8175.2,1527.7,,-2822.1,7100.8,-4912.8,,-9575.7,-6328.0,1367.6,True,True,True,False,,True,True,False,False,False,,False,True,True,True,True,False,False,True,False,True,False,True,,False,True,,True,False,False,,False,False,True
Delaware,4426,3349.0,4511.5,3333.9,3584.0,3523.0,,3235.2,4213.0,3137.6,4026.2,3822.0,,3228.0,3584.0,3727.6,3599.9,3402.0,2542.2,4594.3,3977.0,3544.0,4334.7,4151.0,3644.0,,5237.6,1247.3,,3435.7,4115.6,3191.4,,3853.9,3564.0,5568.1,-1077.0,85.5,-1092.1,-842.0,-903.0,,-1190.8,-213.0,-1288.4,-399.8,-604.0,,-1198.0,-842.0,-698.4,-826.1,-1024.0,-1883.8,168.3,-449.0,-882.0,-91.3,-275.0,-782.0,,811.6,-3178.7,,-990.3,-310.4,-1234.6,,-572.1,-862.0,1142.1,True,False,True,True,,False,True,False,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,False,,True,True,False
District of Columbia,1564,1077.0,1199.2,1081.2,1248.0,969.0,,1095.2,1612.0,1739.3,1074.3,1055.0,,965.0,1332.0,1301.3,1076.2,1074.0,1442.7,1642.2,1623.0,1622.2,,1267.0,991.0,,1424.5,1394.8,,979.6,1868.9,1052.5,,2021.8,1041.0,1248.4,-487.0,-364.8,-482.8,-316.0,-595.0,,-468.8,48.0,175.3,-489.7,-509.0,,-599.0,-232.0,-262.7,-487.8,-490.0,-121.3,78.2,59.0,58.2,,-297.0,-573.0,,-139.5,-169.2,,-584.4,304.9,-511.5,,457.8,-523.0,-315.6,True,True,True,False,,True,True,True,False,False,,False,True,True,False,False,True,True,True,True,,True,False,,True,True,,False,True,False,,True,False,True
Florida,64341,53470.0,67073.9,51853.6,55704.0,55618.0,,52819.2,80373.0,51180.1,55164.7,59949.1,,51528.0,55440.0,58127.2,60591.6,58430.0,54517.0,74155.3,60385.0,55703.6,59251.5,65238.0,55475.0,,88994.4,55151.9,,56275.8,97689.2,53072.4,,53807.5,48874.0,53793.6,-10871.0,2732.9,-12487.4,-8637.0,-8723.0,,-11521.8,16032.0,-13160.9,-9176.3,-4391.9,,-12813.0,-8901.0,-6213.8,-3749.4,-5911.0,-9824.0,9814.3,-3956.0,-8637.4,-5089.5,897.0,-8866.0,,24653.4,-9189.1,,-8065.2,33348.2,-11268.6,,-10533.5,-15467.0,-10547.4,True,False,True,True,,False,False,False,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,,True,False,False,,True,False,True
