,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,811,555.0,,667.0,,,,,383.0,,397.7,147.7,,574.0,,408.0,806.0,-256.0,,-144.0,,,,,-428.0,,-413.3,-663.3,,-237.0,,-403.0,-5.0,,True,,,,,False,,False,False,,True,,False,True
01003,2671,1515.0,,1987.0,,,,,1846.0,,1293.7,494.5,,2004.5,,820.3,26.0,-1156.0,,-684.0,,,,,-825.0,,-1377.3,-2176.5,,-666.5,,-1850.7,-2645.0,,True,,,,,True,,False,False,,True,,False,False
01005,160,145.0,,232.0,,,,,167.0,,227.4,67.3,,171.0,,123.5,72.0,-15.0,,72.0,,,,,7.0,,67.4,-92.7,,11.0,,-36.5,-88.0,,False,,,,,True,,False,False,,True,,False,False
01007,406,225.0,,325.0,,,,,202.0,,293.1,54.0,,214.0,,,160.0,-181.0,,-81.0,,,,,-204.0,,-112.9,-352.0,,-192.0,,,-246.0,,True,,,,,False,,True,False,,False,,,False
01009,1172,745.0,,1343.0,,,,,535.0,,597.2,105.5,,1283.0,,364.3,152.0,-427.0,,171.0,,,,,-637.0,,-574.8,-1066.5,,111.0,,-807.7,-1020.0,,True,,,,,False,,False,False,,True,,False,False
01011,61,25.0,,0.0,,,,,74.0,,57.5,21.7,,18.0,,,2.0,-36.0,,-61.0,,,,,13.0,,-3.5,-39.3,,-43.0,,,-59.0,,False,,,,,True,,True,False,,False,,,False
01013,202,75.0,,0.0,,,,,138.0,,65.5,35.3,,25.0,,65.8,35.0,-127.0,,-202.0,,,,,-64.0,,-136.5,-166.7,,-177.0,,-136.2,-167.0,,False,,,,,True,,False,False,,False,,False,False
01015,2144,1470.0,,1852.0,,,,,1088.0,,3511.4,295.9,,1504.5,,866.6,31.0,-674.0,,-292.0,,,,,-1056.0,,1367.4,-1848.1,,-639.5,,-1277.4,-2113.0,,True,,,,,False,,False,False,,True,,False,False
01017,509,195.0,,392.0,,,,,252.0,,191.3,77.7,,230.0,,86.9,97.0,-314.0,,-117.0,,,,,-257.0,,-317.7,-431.3,,-279.0,,-422.1,-412.0,,True,,,,,True,,False,False,,True,,False,False
01019,308,250.0,,195.0,,,,,280.0,,205.9,61.2,,239.0,,,247.0,-58.0,,-113.0,,,,,-28.0,,-102.1,-246.8,,-69.0,,,-61.0,,False,,,,,True,,False,False,,False,,,False
01021,421,345.0,,388.0,,,,,405.0,,358.1,113.8,,400.0,,194.3,190.0,-76.0,,-33.0,,,,,-16.0,,-62.9,-307.2,,-21.0,,-226.7,-231.0,,True,,,,,True,,True,False,,True,,False,False
01023,43,25.0,,4.0,,,,,101.0,,33.2,14.3,,5.0,,,9.0,-18.0,,-39.0,,,,,58.0,,-9.8,-28.7,,-38.0,,,-34.0,,False,,,,,False,,True,False,,False,,,False
01025,258,255.0,,193.0,,,,,341.0,,444.8,46.5,,395.0,,143.7,44.0,-3.0,,-65.0,,,,,83.0,,186.8,-211.5,,137.0,,-114.3,-214.0,,False,,,,,False,,False,False,,False,,False,False
01027,183,155.0,,152.0,,,,,110.0,,155.8,36.7,,107.0,,,82.0,-28.0,,-31.0,,,,,-73.0,,-27.2,-146.3,,-76.0,,,-101.0,,False,,,,,False,,True,False,,False,,,False
01029,228,135.0,,108.0,,,,,163.0,,244.9,24.3,,129.0,,,70.0,-93.0,,-120.0,,,,,-65.0,,16.9,-203.7,,-99.0,,,-158.0,,False,,,,,True,,True,False,,False,,,False
01031,762,510.0,,592.0,,,,,367.0,,776.3,225.8,,607.0,,334.2,300.0,-252.0,,-170.0,,,,,-395.0,,14.3,-536.2,,-155.0,,-427.8,-462.0,,True,,,,,False,,True,False,,True,,False,False
01033,1213,730.0,,1055.0,,,,,631.0,,738.3,142.6,,1289.0,,454.2,957.0,-483.0,,-158.0,,,,,-582.0,,-474.7,-1070.4,,76.0,,-758.8,-256.0,,True,,,,,False,,True,False,,True,,False,True
01035,157,80.0,,1.0,,,,,79.0,,34.2,11.8,,65.0,,,73.0,-77.0,,-156.0,,,,,-78.0,,-122.8,-145.2,,-92.0,,,-84.0,,False,,,,,False,,False,False,,False,,,False
01037,164,95.0,,81.0,,,,,58.0,,89.0,22.6,,128.0,,,129.0,-69.0,,-83.0,,,,,-106.0,,-75.0,-141.4,,-36.0,,,-35.0,,False,,,,,False,,False,False,,True,,,True
01039,471,730.0,,693.0,,,,,341.0,,408.5,131.3,,598.0,,337.4,259.0,259.0,,222.0,,,,,-130.0,,-62.5,-339.7,,127.0,,-133.6,-212.0,,True,,,,,True,,True,False,,True,,True,True
01041,120,70.0,,32.0,,,,,100.0,,59.6,37.0,,58.0,,,30.0,-50.0,,-88.0,,,,,-20.0,,-60.4,-83.0,,-62.0,,,-90.0,,False,,,,,True,,False,False,,False,,,False
01043,2164,1705.0,,2420.0,,,,,940.0,,1965.2,130.4,,2920.5,,878.5,771.0,-459.0,,256.0,,,,,-1224.0,,-198.8,-2033.6,,756.5,,-1285.5,-1393.0,,True,,,,,False,,True,False,,False,,False,False
01045,586,775.0,,433.0,,,,,373.0,,977.6,126.1,,1155.0,,424.7,578.0,189.0,,-153.0,,,,,-213.0,,391.6,-459.9,,569.0,,-161.3,-8.0,,True,,,,,False,,False,False,,False,,True,True
01047,472,205.0,,113.0,,,,,296.0,,89.5,49.8,,296.0,,142.6,267.0,-267.0,,-359.0,,,,,-176.0,,-382.5,-422.2,,-176.0,,-329.4,-205.0,,False,,,,,True,,False,False,,True,,False,True
01049,1596,1350.0,,1135.0,,,,,1005.0,,1364.3,186.0,,1536.5,,478.5,547.0,-246.0,,-461.0,,,,,-591.0,,-231.7,-1410.0,,-59.5,,-1117.5,-1049.0,,False,,,,,False,,True,False,,True,,False,False
01051,1142,545.0,,446.0,,,,,491.0,,600.7,205.2,,493.0,,329.5,359.0,-597.0,,-696.0,,,,,-651.0,,-541.3,-936.8,,-649.0,,-812.5,-783.0,,False,,,,,False,,True,False,,False,,False,False
