,predicted_cases,actual_cases,error,perc_error
IQVIA_ACOE-STAN,2481212.0,2494281,-13069.0,-0.5%
LANL-GrowthRate,2537981.0,2494281,43700.0,1.8%
LNQ-ens1,2538151.2,2494281,43870.2,1.8%
Covid19Sim-Simulator,2445921.5,2494281,-48359.5,-1.9%
CU-select,2441600.0,2494281,-52681.0,-2.1%
UCF-AEM,2549212.0,2494281,54931.0,2.2%
IBF-TimeSeries,2575013.0,2494281,80732.0,3.2%
UVA-Ensemble,2591924.4,2494281,97643.4,3.9%
CEID-Walk,2372482.7,2494281,-121798.3,-4.9%
COVIDhub-baseline,2369040.0,2494281,-125241.0,-5.0%
UChicagoCHATTOPADHYAY-UnIT,2639170.2,2494281,144889.2,5.8%
USC-SI_kJalpha,2657267.0,2494281,162986.0,6.5%
IowaStateLW-STEM,2694495.0,2494281,200214.0,8.0%
COVIDhub-ensemble,2726197.0,2494281,231916.0,9.3%
UCLA-SuEIR,2749704.5,2494281,255423.5,10.2%
JCB-PRM,2809406.5,2494281,315125.5,12.6%
QJHong-Encounter,2822796.3,2494281,328515.3,13.2%
MSRA-DeepST,2857955.9,2494281,363674.9,14.6%
USACE-ERDC_SEIR,2120182.2,2494281,-374098.8,-15.0%
TTU-squider,2087372.2,2494281,-406908.8,-16.3%
OliverWyman-Navigator,2944290.0,2494281,450009.0,18.0%
JHU_CSSE-DECOM,3069740.0,2494281,575459.0,23.1%
JHU_IDD-CovidSP,1913463.6,2494281,-580817.4,-23.3%
UMich-RidgeTfReg,3086146.6,2494281,591865.6,23.7%
BPagano-RtDriven,3176131.5,2494281,681850.5,27.3%
RobertWalraven-ESG,3292168.3,2494281,797887.3,32.0%
JHUAPL-Bucky,3339513.5,2494281,845232.5,33.9%
CovidAnalytics-DELPHI,3385892.0,2494281,891611.0,35.7%
Karlen-pypm,3391377.8,2494281,897096.8,36.0%
Columbia_UNC-SurvCon,3397881.0,2494281,903600.0,36.2%
DDS-NBDS,3448685.1,2494281,954404.1,38.3%
OneQuietNight-ML,3491174.0,2494281,996893.0,40.0%
Google_Harvard-CPF,,2494281,,
UCSB-ACTS,,2494281,,
