,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,51746,40083.0,56715.0,37663.3,43636.0,49446.0,,14357.0,52186.1,63292.2,,47466.0,41110.4,31589.1,59908.0,27891.2,40239.5,41986.1,45207.0,56054.9,48554.8,52864.0,,71315.6,22222.5,,25046.0,43004.3,36979.3,55037.3,28808.0,44152.8,-11663.0,4969.0,-14082.7,-8110.0,-2300.0,,-37389.0,440.1,11546.2,,-4280.0,-10635.6,-20156.9,8162.0,-23854.8,-11506.5,-9759.9,-6539.0,4308.9,-3191.2,1118.0,,19569.6,-29523.5,,-26700.0,-8741.7,-14766.7,3291.3,-22938.0,-7593.2,True,False,True,True,,False,True,True,,True,True,False,True,False,True,True,True,True,True,True,,False,False,,False,True,False,True,False,True
Alaska,13118,11541.0,10223.8,11480.8,13806.0,9147.0,,5113.0,16983.5,12968.9,,,14980.8,16193.5,17015.0,6980.1,15419.5,18108.0,17225.0,16327.8,15374.8,16614.0,,17296.8,12159.4,,11707.3,13799.6,8433.8,12551.2,0.0,16959.6,-1577.0,-2894.2,-1637.2,688.0,-3971.0,,-8005.0,3865.5,-149.1,,,1862.8,3075.5,3897.0,-6137.9,2301.5,4990.0,4107.0,3209.8,2256.8,3496.0,,4178.8,-958.6,,-1410.7,681.6,-4684.2,-566.8,-13118.0,3841.6,False,False,True,False,,False,False,True,,,False,False,False,False,False,False,False,False,False,False,,False,True,,True,True,False,True,False,False
Arizona,85847,47007.0,35129.8,47008.4,55312.0,66507.0,,3756.0,68110.5,90466.2,,45242.0,54938.2,54479.1,53709.0,63737.9,52779.0,75639.3,75804.0,67646.2,66341.5,72655.0,,72093.3,45200.2,,27274.7,50232.6,59886.4,66954.3,55399.0,64167.8,-38840.0,-50717.2,-38838.6,-30535.0,-19340.0,,-82091.0,-17736.5,4619.2,,-40605.0,-30908.8,-31367.9,-32138.0,-22109.1,-33068.0,-10207.7,-10043.0,-18200.8,-19505.5,-13192.0,,-13753.7,-40646.8,,-58572.3,-35614.4,-25960.6,-18892.7,-30448.0,-21679.2,False,True,True,True,,False,True,True,,False,True,True,True,True,True,True,True,True,True,True,,True,False,,False,True,True,True,True,True
Arkansas,37216,34014.0,24139.8,33981.9,36199.0,35164.0,,14950.0,33707.1,43013.7,,42109.0,39906.6,55205.4,48394.0,20521.6,34782.0,39089.7,36969.5,41973.1,41175.0,44892.0,,53098.9,17424.0,,22264.7,33162.8,42747.7,26992.9,24131.0,39146.9,-3202.0,-13076.2,-3234.1,-1017.0,-2052.0,,-22266.0,-3508.9,5797.7,,4893.0,2690.6,17989.4,11178.0,-16694.4,-2434.0,1873.7,-246.5,4757.1,3959.0,7676.0,,15882.9,-19792.0,,-14951.3,-4053.2,5531.7,-10223.1,-13085.0,1930.9,False,False,True,True,,False,False,False,,False,True,False,False,False,True,True,True,False,False,False,,False,False,,False,False,False,False,False,True
California,314874,161115.0,219439.9,159208.5,191993.0,228575.0,,21051.0,192522.7,186250.8,,178945.0,176856.6,227630.9,215761.0,155679.2,159329.0,206741.5,274904.0,275931.4,196071.3,247189.0,,228486.5,13921.9,,100068.6,154969.5,161514.4,323058.7,228697.0,238227.8,-153759.0,-95434.1,-155665.5,-122881.0,-86299.0,,-293823.0,-122351.3,-128623.2,,-135929.0,-138017.4,-87243.1,-99113.0,-159194.8,-155545.0,-108132.5,-39970.0,-38942.6,-118802.7,-67685.0,,-86387.5,-300952.1,,-214805.4,-159904.5,-153359.6,8184.7,-86177.0,-76646.2,True,False,True,True,,False,True,True,,True,True,True,True,False,False,True,True,True,True,True,,True,False,,False,False,True,True,True,True
Colorado,98113,93801.0,142032.0,96612.3,123441.0,113483.0,,336689.0,147465.2,148871.9,,77964.0,95390.8,120201.0,129262.0,74450.7,133013.5,170498.1,200698.5,134026.0,129069.6,126246.0,,161716.4,123808.8,,70505.7,89954.3,189893.0,83688.6,71821.0,148326.0,-4312.0,43919.0,-1500.7,25328.0,15370.0,,238576.0,49352.2,50758.9,,-20149.0,-2722.2,22088.0,31149.0,-23662.3,34900.5,72385.1,102585.5,35913.0,30956.6,28133.0,,63603.4,25695.8,,-27607.3,-8158.7,91780.0,-14424.4,-26292.0,50213.0,False,True,False,False,,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Connecticut,39070,31560.0,29754.2,31208.1,35617.0,45094.0,,33397.0,593433.7,26790.5,,22623.0,33598.9,36216.7,46846.0,40045.8,34523.5,54685.7,44167.5,37026.5,42984.4,33791.0,,43337.1,27366.9,,29581.1,30772.6,74495.0,20318.2,23981.0,44353.0,-7510.0,-9315.8,-7861.9,-3453.0,6024.0,,-5673.0,554363.7,-12279.5,,-16447.0,-5471.1,-2853.3,7776.0,975.8,-4546.5,15615.7,5097.5,-2043.5,3914.4,-5279.0,,4267.1,-11703.1,,-9488.9,-8297.4,35425.0,-18751.8,-15089.0,5283.0,False,False,True,True,,True,False,False,,False,True,True,False,True,True,False,True,True,True,True,,True,False,,False,False,False,False,False,True
Delaware,10701,6411.0,7302.6,6517.1,7044.0,9660.0,,3206.0,8892.3,7990.2,,7987.0,6774.6,8308.4,8912.0,5704.8,5697.5,7928.8,9776.5,9542.4,8933.9,9818.0,,9313.7,3687.7,,4240.3,5101.7,3994.1,10061.4,6817.0,5003.6,-4290.0,-3398.4,-4183.9,-3657.0,-1041.0,,-7495.0,-1808.7,-2710.8,,-2714.0,-3926.4,-2392.6,-1789.0,-4996.2,-5003.5,-2772.2,-924.5,-1158.6,-1767.1,-883.0,,-1387.3,-7013.3,,-6460.7,-5599.3,-6706.9,-639.6,-3884.0,-5697.4,True,True,True,True,,False,True,True,,True,True,True,True,False,False,True,True,True,True,True,,True,False,,False,False,False,True,True,False
District of Columbia,4058,2769.0,2351.6,2893.5,3127.0,4110.0,,1657.0,4310.8,4244.1,,2960.0,3200.3,3087.7,4056.0,3366.9,2457.5,4196.9,3610.0,4158.6,,4303.0,,4264.9,912.3,,1935.8,2631.6,,4521.3,3080.0,3097.9,-1289.0,-1706.4,-1164.5,-931.0,52.0,,-2401.0,252.8,186.1,,-1098.0,-857.7,-970.3,-2.0,-691.1,-1600.5,138.9,-448.0,100.6,,245.0,,206.9,-3145.7,,-2122.2,-1426.4,,463.3,-978.0,-960.1,False,True,True,True,,False,True,True,,True,True,True,True,True,False,True,True,True,,True,,True,False,,False,False,,True,True,True
Florida,174542,114057.0,179281.3,113541.5,128585.0,116702.0,,19692.0,172645.0,186472.9,,108330.0,138547.4,97998.2,151747.0,135162.8,119278.0,159315.2,147849.0,191356.1,154835.9,186600.0,,132608.4,88029.0,,67104.3,147620.0,120693.2,158244.3,83054.0,121783.3,-60485.0,4739.3,-61000.5,-45957.0,-57840.0,,-154850.0,-1897.0,11930.9,,-66212.0,-35994.6,-76543.8,-22795.0,-39379.2,-55264.0,-15226.8,-26693.0,16814.1,-19706.1,12058.0,,-41933.6,-86513.0,,-107437.7,-26922.0,-53848.8,-16297.7,-91488.0,-52758.7,True,False,True,True,,False,True,True,,False,True,False,True,True,True,True,True,True,True,True,,True,False,,False,True,True,True,False,True
