,predicted_cases,actual_cases,error,perc_error
BPagano-RtDriven,3740287.0,6616593,-2876306.0,-43.5%
Columbia_UNC-SurvCon,3718792.8,6616593,-2897800.2,-43.8%
JHUAPL-Bucky,3061738.4,6616593,-3554854.6,-53.7%
IBF-TimeSeries,2772229.0,6616593,-3844364.0,-58.1%
COVIDhub-baseline,2719164.0,6616593,-3897429.0,-58.9%
JCB-PRM,2651795.4,6616593,-3964797.6,-59.9%
USC-SI_kJalpha,2265626.0,6616593,-4350967.0,-65.8%
IowaStateLW-STEM,2011071.0,6616593,-4605522.0,-69.6%
Covid19Sim-Simulator,1828216.7,6616593,-4788376.3,-72.4%
UCLA-SuEIR,1695077.2,6616593,-4921515.8,-74.4%
LANL-GrowthRate,1308423.8,6616593,-5308169.2,-80.2%
CovidAnalytics-DELPHI,1026036.0,6616593,-5590557.0,-84.5%
