,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Alabama,64071,40788.0,74610.8,37231.5,41294.0,51271.0,,38591.7,17515.0,63086.4,64882.0,,36420.0,39948.4,40966.8,46867.0,45897.0,53948.5,36319.5,43004.7,49026.3,,25526.8,30113.3,22235.5,52580.1,38633.9,35619.0,57510.1,-23283.0,10539.8,-26839.5,-22777.0,-12800.0,,-25479.3,-46556.0,-984.6,811.0,,-27651.0,-24122.6,-23104.2,-17204.0,-18174.0,-10122.5,-27751.5,-21066.3,-15044.7,,-38544.2,-33957.7,-41835.5,-11490.9,-25437.1,-28452.0,-6560.9,True,False,True,True,,False,False,True,True,,False,False,True,True,True,True,False,True,True,,False,False,False,True,False,False,True
Alaska,16965,11804.0,2367.0,11960.0,14397.0,9075.0,,11009.0,5844.0,25829.0,15897.4,,,13162.3,21053.9,14179.0,16604.5,22043.0,22744.5,17873.8,17544.8,,15288.0,15452.4,10352.3,14791.9,27934.4,76.0,19339.6,-5161.0,-14598.0,-5005.0,-2568.0,-7890.0,,-5956.0,-11121.0,8864.0,-1067.6,,,-3802.7,4088.9,-2786.0,-360.5,5078.0,5779.5,908.8,579.8,,-1677.0,-1512.6,-6612.7,-2173.1,10969.4,-16889.0,2374.6,False,True,True,False,,False,False,False,True,,,True,True,True,True,True,False,True,True,,True,True,False,True,False,False,True
Arizona,101516,45752.0,86023.4,45365.1,54175.0,77493.0,,44248.7,3871.0,62567.8,58287.8,,31514.0,40725.3,36425.3,55725.0,52917.0,91121.9,71350.5,67638.7,59280.1,,95552.8,55853.0,24290.1,51736.8,54854.2,56854.0,65456.7,-55764.0,-15492.6,-56150.9,-47341.0,-24023.0,,-57267.3,-97645.0,-38948.2,-43228.2,,-70002.0,-60790.7,-65090.7,-45791.0,-48599.0,-10394.1,-30165.5,-33877.3,-42235.9,,-5963.2,-45663.0,-77225.9,-49779.2,-46661.8,-44662.0,-36059.3,True,False,True,True,,False,False,True,True,,False,False,False,True,True,True,True,True,True,,True,True,False,True,True,True,True
Arkansas,48554,34552.0,35505.0,34738.6,35899.0,47480.0,,31510.6,19021.0,47720.9,35269.3,,32740.0,33078.3,35382.5,39529.0,35605.0,32674.8,39308.0,46329.7,33511.1,,64967.1,22228.3,17909.6,35930.3,32738.1,29343.0,45840.7,-14002.0,-13049.0,-13815.4,-12655.0,-1074.0,,-17043.4,-29533.0,-833.1,-13284.7,,-15814.0,-15475.7,-13171.5,-9025.0,-12949.0,-15879.2,-9246.0,-2224.3,-15042.9,,16413.1,-26325.7,-30644.4,-12623.7,-15815.9,-19211.0,-2713.3,True,True,True,True,,False,False,True,True,,False,False,True,True,True,False,True,True,False,,False,False,False,True,False,False,True
California,368579,148876.0,166696.6,150368.4,153450.0,242706.0,,142437.8,27388.0,208552.5,216743.3,,109216.0,131485.8,128089.3,156221.0,146653.5,193248.5,194247.0,187203.8,141580.1,,161595.8,21603.7,92824.3,143419.9,160543.4,170661.0,165032.4,-219703.0,-201882.4,-218210.6,-215129.0,-125873.0,,-226141.2,-341191.0,-160026.5,-151835.7,,-259363.0,-237093.2,-240489.7,-212358.0,-221925.5,-175330.5,-174332.0,-181375.2,-226998.9,,-206983.2,-346975.3,-275754.7,-225159.1,-208035.6,-197918.0,-203546.6,True,True,True,True,,False,False,True,True,,False,False,False,True,False,True,True,True,False,,True,False,False,False,True,True,True
Colorado,129380,82468.0,194031.8,83486.3,99497.0,118494.0,,75715.1,467669.0,171834.9,109638.9,,67818.0,78962.6,76177.2,97232.0,131092.0,178313.7,166730.5,121555.9,79657.0,,89322.4,147518.7,70542.8,72727.7,278382.9,74543.0,113346.0,-46912.0,64651.8,-45893.7,-29883.0,-10886.0,,-53664.9,338289.0,42454.9,-19741.1,,-61562.0,-50417.4,-53202.8,-32148.0,1712.0,48933.7,37350.5,-7824.1,-49723.0,,-40057.6,18138.7,-58837.2,-56652.3,149002.9,-54837.0,-16034.0,False,True,True,True,,False,False,True,True,,False,False,False,True,True,False,True,True,False,,True,True,False,False,False,False,True
Connecticut,49590,27672.0,35369.1,27278.9,29227.0,32847.0,,29241.6,28900.0,46329.2,24364.6,,21061.0,29167.5,23068.2,33441.0,34870.0,52102.1,29689.0,32685.2,31721.9,,19645.1,27385.5,25728.2,28524.6,29887.8,31157.0,36824.2,-21918.0,-14220.9,-22311.1,-20363.0,-16743.0,,-20348.4,-20690.0,-3260.8,-25225.4,,-28529.0,-20422.5,-26521.8,-16149.0,-14720.0,2512.1,-19901.0,-16904.8,-17868.1,,-29944.9,-22204.5,-23861.8,-21065.4,-19702.2,-18433.0,-12765.8,True,False,True,True,,True,True,True,False,,False,True,False,True,True,True,True,True,True,,False,False,False,True,True,True,True
Delaware,12838,5228.0,2166.0,5186.3,5313.0,7887.0,,5709.2,3190.0,9381.3,5493.4,,4279.0,4887.1,4437.6,5937.0,4813.0,5315.4,6581.5,9906.9,10972.3,,10604.8,4862.8,3815.0,5575.4,3659.7,6424.0,10771.6,-7610.0,-10672.0,-7651.7,-7525.0,-4951.0,,-7128.8,-9648.0,-3456.7,-7344.6,,-8559.0,-7950.9,-8400.4,-6901.0,-8025.0,-7522.6,-6256.5,-2931.1,-1865.7,,-2233.2,-7975.2,-9023.0,-7262.6,-9178.3,-6414.0,-2066.4,False,False,True,True,,True,False,True,True,,False,False,False,True,False,True,True,True,True,,True,False,False,True,False,True,True
District of Columbia,4981,2500.0,14896.8,2554.4,2657.0,2003.0,,2422.6,522.0,3862.3,5121.6,,1633.0,2226.7,1800.4,3209.0,2323.5,3165.7,3377.5,3671.0,,,5209.4,1244.4,2058.4,2845.2,,3279.0,3751.4,-2481.0,9915.8,-2426.6,-2324.0,-2978.0,,-2558.4,-4459.0,-1118.7,140.6,,-3348.0,-2754.3,-3180.6,-1772.0,-2657.5,-1815.3,-1603.5,-1310.0,,,228.4,-3736.6,-2922.6,-2135.8,,-1702.0,-1229.6,False,True,True,False,,False,False,True,True,,False,False,False,True,False,True,True,True,,,True,False,False,True,,True,True
Florida,212561,138120.0,153318.6,142216.7,148338.0,234792.0,,142554.5,24518.0,231641.0,168845.0,,100410.0,131042.3,121230.1,157217.0,148296.5,198403.1,179974.5,201072.4,141898.1,,150608.8,109087.2,75678.9,148197.6,152602.9,110598.0,153388.5,-74441.0,-59242.4,-70344.3,-64223.0,22231.0,,-70006.5,-188043.0,19080.0,-43716.0,,-112151.0,-81518.7,-91330.9,-55344.0,-64264.5,-14157.9,-32586.5,-11488.6,-70662.9,,-61952.2,-103473.8,-136882.1,-64363.4,-59958.1,-101963.0,-59172.5,True,True,True,True,,True,False,True,True,,False,False,False,True,True,True,True,True,True,,True,False,False,True,True,False,True
