,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,95452,49952.0,76011.2,,43917.6,13571.0,,31174.0,49585.3,38867.3,27041.8,28476.5,39706.0,-45500.0,-19440.8,,-51534.4,-81881.0,,-64278.0,-45866.7,-56584.7,-68410.2,-66975.5,-55746.0,True,,False,False,,False,False,False,False,False,False
Alaska,24447,9303.0,84989.8,,10229.6,5937.0,,,10638.4,19885.7,5990.5,2970.1,3352.0,-15144.0,60542.8,,-14217.4,-18510.0,,,-13808.6,-4561.3,-18456.5,-21476.9,-21095.0,False,,True,False,,,True,True,False,False,False
Arizona,128441,38367.0,136916.3,,34467.9,1404.0,,18006.0,47639.6,24491.0,20945.4,20749.7,38040.0,-90074.0,8475.3,,-93973.1,-127037.0,,-110435.0,-80801.4,-103950.0,-107495.6,-107691.3,-90401.0,True,,False,False,,False,True,False,False,False,False
Arkansas,70960,43414.0,43544.4,,38348.0,28343.0,,50036.0,40744.3,50254.9,23333.8,16818.5,31266.0,-27546.0,-27415.6,,-32612.0,-42617.0,,-20924.0,-30215.7,-20705.1,-47626.2,-54141.5,-39694.0,True,,False,False,,True,False,True,False,False,False
California,478891,148428.0,230519.3,,131120.3,76520.0,,88237.0,169062.7,142453.2,63212.5,79618.0,128758.0,-330463.0,-248371.7,,-347770.7,-402371.0,,-390654.0,-309828.3,-336437.8,-415678.5,-399273.0,-350133.0,True,,False,False,,False,True,False,False,False,False
Colorado,172978,47096.0,69718.8,,45893.0,83786.0,,29831.0,48107.3,31712.1,29316.9,22445.7,53029.0,-125882.0,-103259.2,,-127085.0,-89192.0,,-143147.0,-124870.7,-141265.9,-143661.1,-150532.3,-119949.0,True,,False,True,,False,True,False,False,False,True
Connecticut,64885,19544.0,11737.1,,13222.1,2124.0,,10198.0,17000.9,10976.3,4974.8,11203.2,18157.0,-45341.0,-53147.9,,-51662.9,-62761.0,,-54687.0,-47884.1,-53908.7,-59910.2,-53681.8,-46728.0,False,,False,False,,False,False,False,False,False,False
Delaware,16154,6608.0,4286.6,,4734.7,6685.0,,4232.0,7870.1,4604.7,3648.3,3699.6,6038.0,-9546.0,-11867.4,,-11419.3,-9469.0,,-11922.0,-8283.9,-11549.3,-12505.7,-12454.4,-10116.0,False,,False,True,,False,True,False,False,False,False
District of Columbia,6538,2912.0,3026.3,,2336.1,188.0,,2042.0,2794.0,2163.7,1468.2,1546.5,4251.0,-3626.0,-3511.7,,-4201.9,-6350.0,,-4496.0,-3744.0,-4374.3,-5069.8,-4991.5,-2287.0,True,,False,False,,False,False,False,False,False,True
Florida,297157,164920.0,197014.3,,115472.6,15373.0,,66209.0,125416.5,94733.9,76945.6,82758.5,98573.0,-132237.0,-100142.7,,-181684.4,-281784.0,,-230948.0,-171740.5,-202423.1,-220211.4,-214398.5,-198584.0,True,,False,False,,False,False,False,False,False,False
Georgia,159987,63805.0,90750.4,,48962.2,22852.0,,35295.0,52749.1,46847.7,35160.8,37410.6,50065.0,-96182.0,-69236.6,,-111024.8,-137135.0,,-124692.0,-107237.9,-113139.3,-124826.2,-122576.4,-109922.0,True,,False,False,,False,False,False,False,False,False
Hawaii,4595,4046.0,4589.7,,4310.5,564.0,,,6080.5,5205.0,2318.0,1812.1,1787.0,-549.0,-5.3,,-284.5,-4031.0,,,1485.5,610.0,-2277.0,-2782.9,-2808.0,True,,True,False,,,False,False,False,False,False
Idaho,57123,34167.0,28247.5,,27991.1,7139.0,,19013.0,26646.5,46559.0,19684.9,12915.0,29154.0,-22956.0,-28875.5,,-29131.9,-49984.0,,-38110.0,-30476.5,-10564.0,-37438.1,-44208.0,-27969.0,False,,False,False,,False,False,True,False,False,False
Illinois,436589,167545.0,303964.5,,149794.9,21234.0,,99672.0,135175.5,133844.7,122613.8,91057.1,227190.0,-269044.0,-132624.5,,-286794.1,-415355.0,,-336917.0,-301413.5,-302744.3,-313975.2,-345531.9,-209399.0,True,,False,False,,False,False,False,False,False,True
Indiana,229042,87962.0,155890.1,,79092.1,24212.0,,58710.0,82139.4,93270.0,51567.5,44743.1,193252.0,-141080.0,-73151.9,,-149949.9,-204830.0,,-170332.0,-146902.6,-135772.0,-177474.5,-184298.9,-35790.0,True,,False,False,,False,False,True,False,False,True
Iowa,136687,53592.0,48592.8,,49557.9,19629.0,,40637.0,48961.6,71467.9,23728.2,21031.2,71543.0,-83095.0,-88094.2,,-87129.1,-117058.0,,-96050.0,-87725.4,-65219.1,-112958.8,-115655.8,-65144.0,False,,False,False,,False,False,True,False,False,True
Kansas,98601,34888.0,44032.4,,29921.6,18309.0,,32206.0,37448.1,62070.9,14705.1,20112.7,20659.0,-63713.0,-54568.6,,-68679.4,-80292.0,,-66395.0,-61152.9,-36530.1,-83895.9,-78488.3,-77942.0,True,,False,False,,False,True,True,False,False,False
Kentucky,111267,51464.0,114503.9,,49965.0,48570.0,,43828.0,57991.9,59313.1,27028.1,21351.3,73776.0,-59803.0,3236.9,,-61302.0,-62697.0,,-67439.0,-53275.1,-51953.9,-84238.9,-89915.7,-37491.0,True,,False,False,,False,True,True,False,False,True
Louisiana,69451,26320.0,16902.2,,19726.3,5856.0,,22963.0,17139.3,19599.9,15824.3,11857.8,12111.0,-43131.0,-52548.8,,-49724.7,-63595.0,,-46488.0,-52311.7,-49851.1,-53626.7,-57593.2,-57340.0,False,,False,False,,False,False,False,False,False,False
Maine,7215,1519.0,11367.0,,1210.7,507.0,,2051.0,1781.6,2217.1,790.6,1075.0,1436.0,-5696.0,4152.0,,-6004.3,-6708.0,,-5164.0,-5433.4,-4997.9,-6424.4,-6140.0,-5779.0,True,,False,False,,True,True,True,False,False,False
Maryland,77257,30324.0,50043.4,,26262.5,4799.0,,21273.0,32070.7,18401.2,16664.0,19329.5,33912.0,-46933.0,-27213.6,,-50994.5,-72458.0,,-55984.0,-45186.3,-58855.8,-60593.0,-57927.5,-43345.0,True,,False,False,,False,True,False,False,False,True
Massachusetts,109087,32130.0,44387.0,,23386.7,4021.0,,16862.0,37187.8,22078.3,16684.4,17136.8,29727.0,-76957.0,-64700.0,,-85700.3,-105066.0,,-92225.0,-71899.2,-87008.7,-92402.6,-91950.2,-79360.0,True,,False,False,,False,True,False,False,False,False
Michigan,265471,81564.0,181016.1,,69465.4,3944.0,,52793.0,94719.3,64654.1,26992.3,48957.2,152324.0,-183907.0,-84454.9,,-196005.6,-261527.0,,-212678.0,-170751.7,-200816.9,-238478.7,-216513.8,-113147.0,True,,False,False,,False,True,False,False,False,True
Minnesota,224191,71834.0,138078.2,,62345.0,58033.0,,72364.0,66698.4,70405.9,50792.1,39247.8,59487.0,-152357.0,-86112.8,,-161846.0,-166158.0,,-151827.0,-157492.6,-153785.1,-173398.9,-184943.2,-164704.0,True,,False,False,,True,False,False,False,False,False
Mississippi,53452,37576.0,43754.2,,22485.5,8410.0,,26376.0,31171.4,31004.4,15623.9,16722.7,24542.0,-15876.0,-9697.8,,-30966.5,-45042.0,,-27076.0,-22280.6,-22447.6,-37828.1,-36729.3,-28910.0,True,,False,False,,False,False,False,False,False,False
Missouri,168798,79982.0,105190.3,,79627.7,53317.0,,68591.0,78687.5,130749.8,60486.8,30025.3,42890.0,-88816.0,-63607.7,,-89170.3,-115481.0,,-100207.0,-90110.5,-38048.2,-108311.2,-138772.7,-125908.0,True,,False,False,,False,False,True,False,False,False
Montana,44844,28756.0,51436.4,,32650.8,17962.0,,31333.0,21772.2,140060.0,20052.2,8559.6,15357.0,-16088.0,6592.4,,-12193.2,-26882.0,,-13511.0,-23071.8,95216.0,-24791.8,-36284.4,-29487.0,True,,True,False,,True,False,False,False,False,False
Nebraska,81236,38115.0,96095.7,,37527.1,27189.0,,27631.0,29805.6,66467.3,23542.0,18576.0,28641.0,-43121.0,14859.7,,-43708.9,-54047.0,,-53605.0,-51430.4,-14768.7,-57694.0,-62660.0,-52595.0,True,,False,False,,False,False,True,False,False,False
Nevada,75976,29771.0,47177.6,,27126.2,5147.0,,15858.0,33311.7,25150.7,18353.2,13240.3,35643.0,-46205.0,-28798.4,,-48849.8,-70829.0,,-60118.0,-42664.3,-50825.3,-57622.8,-62735.7,-40333.0,True,,False,False,,False,True,False,False,False,True
New Hampshire,14513,3731.0,1765.6,,3871.0,5667.0,,3249.0,7531.2,5023.7,1454.0,2571.4,4907.0,-10782.0,-12747.4,,-10642.0,-8846.0,,-11264.0,-6981.8,-9489.3,-13059.0,-11941.6,-9606.0,False,,True,True,,False,True,True,False,False,True
New Jersey,170141,41027.0,35617.7,,27555.2,8234.0,,30753.0,52588.2,21269.5,22707.4,26203.9,40194.0,-129114.0,-134523.3,,-142585.8,-161907.0,,-139388.0,-117552.8,-148871.5,-147433.6,-143937.1,-129947.0,False,,False,False,,False,True,False,False,False,False
