,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,102891,49168.0,,51872.1,,33508.0,50005.5,34120.5,19717.9,42533.4,40520.0,-53723.0,,-51018.9,,-69383.0,-52885.5,-68770.5,-83173.1,-60357.6,-62371.0,,True,,False,True,False,False,False,False
Alaska,25824,9712.0,,9412.6,,,11417.5,9402.6,3966.2,17056.1,3677.0,-16112.0,,-16411.4,,,-14406.5,-16421.4,-21857.8,-8767.9,-22147.0,,False,,,True,False,False,True,False
Arizona,133922,36632.0,,32437.0,,13738.0,43884.6,23711.6,20934.5,38710.3,40416.0,-97290.0,,-101485.0,,-120184.0,-90037.4,-110210.4,-112987.5,-95211.7,-93506.0,,False,,False,True,False,False,True,True
Arkansas,77162,45560.0,,45016.1,,52430.0,39415.7,39567.8,26371.5,29286.7,31990.0,-31602.0,,-32145.9,,-24732.0,-37746.3,-37594.2,-50790.5,-47875.3,-45172.0,,False,,True,False,False,False,False,False
California,500523,183112.0,,187281.1,,87058.0,204280.0,137018.7,104880.7,146284.6,163783.0,-317411.0,,-313241.9,,-413465.0,-296243.0,-363504.3,-395642.3,-354238.4,-336740.0,,True,,False,True,False,False,False,False
Colorado,179705,40680.0,,36832.3,,22492.0,62240.4,25362.9,19930.3,82909.5,49340.0,-139025.0,,-142872.7,,-157213.0,-117464.6,-154342.1,-159774.7,-96795.5,-130365.0,,False,,False,True,False,False,True,True
Connecticut,67677,13928.0,,13218.9,,10527.0,11938.2,9467.4,8570.1,10144.9,19127.0,-53749.0,,-54458.1,,-57150.0,-55738.8,-58209.6,-59106.9,-57532.1,-48550.0,,False,,False,False,False,False,False,True
Delaware,17098,6984.0,,5562.5,,4258.0,8838.5,4471.0,3111.0,5160.6,5315.0,-10114.0,,-11535.5,,-12840.0,-8259.5,-12627.0,-13987.0,-11937.4,-11783.0,,False,,False,True,False,False,False,False
District of Columbia,6954,3560.0,,2524.8,,1321.0,3723.7,2172.0,2741.1,7962.7,6036.0,-3394.0,,-4429.2,,-5633.0,-3230.3,-4782.0,-4212.9,1008.7,-918.0,,False,,False,True,False,False,True,True
Florida,320717,114640.0,,120593.1,,62642.0,123369.3,93914.3,61037.1,97710.6,60952.0,-206077.0,,-200123.9,,-258075.0,-197347.7,-226802.7,-259679.9,-223006.4,-259765.0,,True,,False,True,False,False,False,False
Georgia,169102,64800.0,,60396.9,,33081.0,48295.6,49300.1,35447.0,28174.9,52524.0,-104302.0,,-108705.1,,-136021.0,-120806.4,-119801.9,-133655.0,-140927.1,-116578.0,,False,,False,False,False,False,False,False
Hawaii,5173,5096.0,,5439.9,,,8429.7,5116.9,1913.7,4982.2,1189.0,-77.0,,266.9,,,3256.7,-56.1,-3259.3,-190.8,-3984.0,,False,,,False,True,False,False,False
Idaho,62004,31992.0,,30834.1,,18483.0,40965.8,31577.3,11648.7,20917.5,15719.0,-30012.0,,-31169.9,,-43521.0,-21038.2,-30426.7,-50355.3,-41086.5,-46285.0,,False,,False,True,False,False,False,False
Illinois,460524,133352.0,,122847.0,,83039.0,173826.5,92283.4,99414.9,190072.7,98977.0,-327172.0,,-337677.0,,-377485.0,-286697.5,-368240.6,-361109.1,-270451.3,-361547.0,,False,,False,True,False,False,True,False
Indiana,241608,74816.0,,71116.2,,49788.0,99313.0,56100.4,35746.5,129272.7,130900.0,-166792.0,,-170491.8,,-191820.0,-142295.0,-185507.6,-205861.5,-112335.3,-110708.0,,False,,False,True,False,False,True,True
Iowa,144343,53928.0,,54634.9,,39084.0,56656.6,46237.9,23649.1,43506.8,62028.0,-90415.0,,-89708.1,,-105259.0,-87686.4,-98105.1,-120693.9,-100836.2,-82315.0,,True,,False,True,False,False,False,True
Kansas,103814,34512.0,,33301.2,,26196.0,17992.6,44055.3,25317.5,18441.9,25129.0,-69302.0,,-70512.8,,-77618.0,-85821.4,-59758.7,-78496.5,-85372.1,-78685.0,,False,,False,False,True,False,False,False
Kentucky,118619,59552.0,,62145.3,,39857.0,71749.5,64533.9,48971.0,57106.9,98141.0,-59067.0,,-56473.7,,-78762.0,-46869.5,-54085.1,-69648.0,-61512.1,-20478.0,,True,,False,True,True,False,False,True
Louisiana,73771,27816.0,,28548.7,,28314.0,9929.5,22140.7,11593.0,16544.8,12529.0,-45955.0,,-45222.3,,-45457.0,-63841.5,-51630.3,-62178.0,-57226.2,-61242.0,,True,,True,False,False,False,False,False
Maine,7432,1688.0,,1609.3,,1923.0,1609.6,1615.0,1401.2,1304.6,1475.0,-5744.0,,-5822.7,,-5509.0,-5822.4,-5817.0,-6030.8,-6127.4,-5957.0,,False,,True,False,False,False,False,False
Maryland,81589,31808.0,,30129.7,,20848.0,35995.4,18827.9,17885.5,35866.6,37959.0,-49781.0,,-51459.3,,-60741.0,-45593.6,-62761.1,-63703.5,-45722.4,-43630.0,,False,,False,True,False,False,True,True
Massachusetts,113677,32296.0,,38281.2,,20347.0,60282.9,21415.0,16858.3,36539.3,25698.0,-81381.0,,-75395.8,,-93330.0,-53394.1,-92262.0,-96818.7,-77137.7,-87979.0,,True,,False,True,False,False,True,False
Michigan,277123,65456.0,,66871.8,,50160.0,123325.8,47067.4,40255.5,48578.6,112721.0,-211667.0,,-210251.2,,-226963.0,-153797.2,-230055.6,-236867.5,-228544.4,-164402.0,,True,,False,True,False,False,False,True
Minnesota,234453,64328.0,,58319.8,,65394.0,82169.6,49239.9,43766.7,83800.2,62572.0,-170125.0,,-176133.2,,-169059.0,-152283.4,-185213.1,-190686.3,-150652.8,-171881.0,,False,,True,True,False,False,True,False
Mississippi,58820,35768.0,,21242.4,,24383.0,45140.6,27032.1,21848.5,24622.3,36062.0,-23052.0,,-37577.6,,-34437.0,-13679.4,-31787.9,-36971.5,-34197.7,-22758.0,,False,,False,True,False,False,False,True
Missouri,194154,104416.0,,71964.3,,55355.0,70679.6,82152.9,57739.3,112830.5,55576.0,-89738.0,,-122189.7,,-138799.0,-123474.4,-112001.1,-136414.7,-81323.5,-138578.0,,False,,False,False,False,False,True,False
Montana,48952,30088.0,,37753.0,,28040.0,29990.1,55476.2,11010.0,27112.4,18381.0,-18864.0,,-11199.0,,-20912.0,-18961.9,6524.2,-37942.0,-21839.6,-30571.0,,True,,False,False,True,False,False,False
Nebraska,86681,35872.0,,27900.2,,23199.0,23534.9,28505.1,20215.5,37309.4,34867.0,-50809.0,,-58780.8,,-63482.0,-63146.1,-58175.9,-66465.5,-49371.6,-51814.0,,False,,False,False,False,False,True,False
Nevada,80229,29528.0,,32057.1,,9640.0,50971.1,20661.4,13238.6,28420.2,28947.0,-50701.0,,-48171.9,,-70589.0,-29257.9,-59567.6,-66990.4,-51808.8,-51282.0,,True,,False,True,False,False,False,False
New Hampshire,16275,3960.0,,4222.8,,3131.0,3510.5,3043.9,2178.4,16802.1,14299.0,-12315.0,,-12052.2,,-13144.0,-12764.5,-13231.1,-14096.6,527.1,-1976.0,,True,,False,False,False,False,True,True
New Jersey,177245,42408.0,,52150.0,,21037.0,87914.3,21987.2,35341.1,45003.8,67387.0,-134837.0,,-125095.0,,-156208.0,-89330.7,-155257.8,-141903.9,-132241.2,-109858.0,,True,,False,True,False,False,True,True
New Mexico,74134,19408.0,,23338.2,,11868.0,47566.3,18010.9,10121.5,40956.5,23163.0,-54726.0,,-50795.8,,-62266.0,-26567.7,-56123.1,-64012.5,-33177.5,-50971.0,,True,,False,True,False,False,True,True
New York,228286,78264.0,,87536.2,,37742.0,227130.2,50140.4,53537.9,120368.4,153532.0,-150022.0,,-140749.8,,-190544.0,-1155.8,-178145.6,-174748.1,-107917.6,-74754.0,,True,,False,True,False,False,True,True
North Carolina,158800,102928.0,,75824.5,,86651.0,180863.2,89850.7,100240.1,131771.2,115517.0,-55872.0,,-82975.5,,-72149.0,22063.2,-68949.3,-58559.9,-27028.8,-43283.0,,False,,False,True,False,False,True,True
North Dakota,55877,27944.0,,21580.4,,21844.0,18866.7,29428.3,30504.5,18061.2,32470.0,-27933.0,,-34296.6,,-34033.0,-37010.3,-26448.7,-25372.5,-37815.8,-23407.0,,False,,False,False,True,True,False,True
Ohio,299974,75936.0,,68133.5,,63414.0,84554.8,71750.1,36818.5,118168.8,70940.0,-224038.0,,-231840.5,,-236560.0,-215419.2,-228223.9,-263155.5,-181805.2,-229034.0,,False,,False,True,False,False,True,False
Oklahoma,114624,62984.0,,62560.4,,58979.0,58976.5,48623.9,23429.4,50832.4,44179.0,-51640.0,,-52063.6,,-55645.0,-55647.5,-66000.1,-91194.6,-63791.6,-70445.0,,False,,False,False,False,False,False,False
Oregon,46319,19304.0,,17687.4,,9803.0,36407.5,21924.1,9051.0,35285.4,26835.0,-27015.0,,-28631.6,,-36516.0,-9911.5,-24394.9,-37268.0,-11033.6,-19484.0,,False,,False,True,True,False,True,True
Pennsylvania,239838,76472.0,,60813.0,,45690.0,95009.8,55718.3,97691.8,97914.4,67298.0,-163366.0,,-179025.0,,-194148.0,-144828.2,-184119.7,-142146.2,-141923.6,-172540.0,,False,,False,True,False,True,True,False
Rhode Island,35843,9744.0,,7360.6,,4938.0,8796.9,6840.5,5438.8,4613.2,16088.0,-26099.0,,-28482.4,,-30905.0,-27046.1,-29002.5,-30404.2,-31229.8,-19755.0,,False,,False,False,False,False,False,True
South Carolina,72614,45840.0,,43445.9,,39792.0,61799.0,37904.0,19665.9,27836.9,28954.0,-26774.0,,-29168.1,,-32822.0,-10815.0,-34710.0,-52948.1,-44777.1,-43660.0,,False,,False,True,False,False,False,False
South Dakota,57357,31688.0,,24265.6,,26204.0,23336.8,37210.7,13208.3,20263.4,15269.0,-25669.0,,-33091.4,,-31153.0,-34020.2,-20146.3,-44148.7,-37093.6,-42088.0,,False,,False,False,True,False,False,False
Tennessee,184873,104432.0,,83217.8,,71361.0,75087.1,88792.6,52152.2,87009.7,67826.0,-80441.0,,-101655.2,,-113512.0,-109785.9,-96080.4,-132720.8,-97863.3,-117047.0,,False,,False,False,False,False,False,False
Texas,550770,227920.0,,259530.3,,252779.0,273360.3,186458.0,112601.0,116528.9,160118.0,-322850.0,,-291239.7,,-297991.0,-277409.7,-364312.0,-438169.0,-434241.1,-390652.0,,True,,True,True,False,False,False,False
Utah,128200,67352.0,,69274.9,,46580.0,57932.6,36972.8,25630.7,46568.8,44538.0,-60848.0,,-58925.1,,-81620.0,-70267.4,-91227.2,-102569.3,-81631.2,-83662.0,,True,,False,False,False,False,False,False
Vermont,3037,632.0,,983.0,,286.0,1229.4,1563.3,457.5,1832.7,2662.0,-2405.0,,-2054.0,,-2751.0,-1807.6,-1473.7,-2579.5,-1204.3,-375.0,,True,,False,True,True,False,True,True
Virginia,93268,56208.0,,41407.0,,32295.0,41497.9,52239.0,43478.9,91365.5,86244.0,-37060.0,,-51861.0,,-60973.0,-51770.1,-41029.0,-49789.1,-1902.5,-7024.0,,False,,False,False,False,False,True,True
Washington,87542,28928.0,,20877.7,,13357.0,53825.2,24858.7,13599.6,11335.4,25584.0,-58614.0,,-66664.3,,-74185.0,-33716.8,-62683.3,-73942.4,-76206.6,-61958.0,,False,,False,True,False,False,False,False
West Virginia,35645,11568.0,,8879.6,,6684.0,8291.3,18251.5,4669.8,18879.3,11060.0,-24077.0,,-26765.4,,-28961.0,-27353.7,-17393.5,-30975.2,-16765.7,-24585.0,,False,,False,False,True,False,True,False
Wisconsin,290358,134096.0,,134009.1,,119496.0,113714.5,118443.8,65706.1,87369.0,81414.0,-156262.0,,-156348.9,,-170862.0,-176643.5,-171914.2,-224651.9,-202989.0,-208944.0,,False,,False,False,False,False,False,False
Wyoming,28486,8720.0,,11501.4,,7838.0,9680.3,12330.5,3478.0,9733.4,9905.0,-19766.0,,-16984.6,,-20648.0,-18805.7,-16155.5,-25008.0,-18752.6,-18581.0,,True,,False,True,True,False,True,True
US,7007120,2684728.0,3221326.4,2850740.0,2405322.0,1910389.0,3201393.2,2203246.8,1725646.6,2621663.9,2208170.0,-4322392.0,-3785793.6,-4156380.0,-4601798.0,-5096731.0,-3805726.8,-4803873.2,-5281473.4,-4385456.1,-4798950.0,True,True,False,False,True,False,False,False,False
