,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,244,138.0,,140.2,,121.0,108.0,,,,,98.7,,118.7,,,151.0,,115.6,,89.3,,107.0,126.8,,143.0,166.0,,,,,139.6,176.1,,,,,212.8,-106.0,,-103.8,,-123.0,-136.0,,,,,-145.3,,-125.3,,,-93.0,,-128.4,,-154.7,,-137.0,-117.2,,-101.0,-78.0,,,,,-104.4,-67.9,,,,,-31.2,,True,,False,False,,,,,False,,False,,,True,,False,,False,,False,False,,True,True,,,,,True,True,,,,,True
01003,893,602.0,,615.4,,615.0,688.0,,,,,335.8,,601.1,,,392.0,,777.2,,371.9,,910.5,604.4,,789.0,737.0,,,,,573.9,490.4,756.0,,,,766.0,-291.0,,-277.6,,-278.0,-205.0,,,,,-557.2,,-291.9,,,-501.0,,-115.8,,-521.1,,17.5,-288.6,,-104.0,-156.0,,,,,-319.1,-402.6,-137.0,,,,-127.0,,True,,True,True,,,,,False,,False,,,False,,True,,False,,True,True,,True,True,,,,,False,False,True,,,,True
01005,46,16.0,,15.5,,18.0,20.0,,,,,28.0,,20.2,,,55.0,,23.7,,24.4,,10.0,18.5,,18.0,23.0,,,,,,18.9,,,,,18.9,-30.0,,-30.5,,-28.0,-26.0,,,,,-18.0,,-25.8,,,9.0,,-22.3,,-21.6,,-36.0,-27.5,,-28.0,-23.0,,,,,,-27.1,,,,,-27.1,,False,,True,True,,,,,True,,True,,,True,,True,,True,,False,True,,True,True,,,,,,True,,,,,True
01007,104,143.0,,136.7,,107.0,107.0,,,,,42.3,,47.9,,,74.0,,287.3,,48.7,,45.0,53.0,,145.0,129.0,,,,,,97.9,,,,,163.1,39.0,,32.7,,3.0,3.0,,,,,-61.7,,-56.1,,,-30.0,,183.3,,-55.3,,-59.0,-51.0,,41.0,25.0,,,,,,-6.1,,,,,59.1,,True,,True,True,,,,,False,,False,,,True,,False,,False,,False,False,,False,True,,,,,,True,,,,,False
01009,359,187.0,,188.4,,177.0,183.0,,,,,119.6,,172.8,,,205.0,,155.0,,148.4,,160.0,170.6,,195.0,223.0,,,,,194.1,131.9,,,,,375.8,-172.0,,-170.6,,-182.0,-176.0,,,,,-239.4,,-186.2,,,-154.0,,-204.0,,-210.6,,-199.0,-188.4,,-164.0,-136.0,,,,,-164.9,-227.1,,,,,16.8,,True,,False,False,,,,,False,,False,,,True,,False,,False,,False,False,,True,True,,,,,True,False,,,,,True
01011,18,8.0,,8.0,,9.0,2.0,,,,,17.0,,10.6,,,22.0,,8.6,,8.7,,9.0,14.0,,15.0,16.0,,,,,,8.0,,,,,13.1,-10.0,,-10.0,,-9.0,-16.0,,,,,-1.0,,-7.4,,,4.0,,-9.4,,-9.3,,-9.0,-4.0,,-3.0,-2.0,,,,,,-10.0,,,,,-4.9,,True,,True,False,,,,,True,,True,,,True,,True,,True,,True,True,,True,True,,,,,,False,,,,,True
01013,60,33.0,,36.6,,37.0,14.0,,,,,36.1,,43.4,,,41.0,,43.0,,30.1,,44.0,40.8,,52.0,37.0,,,,,,30.5,,,,,33.7,-27.0,,-23.4,,-23.0,-46.0,,,,,-23.9,,-16.6,,,-19.0,,-17.0,,-29.9,,-16.0,-19.2,,-8.0,-23.0,,,,,,-29.5,,,,,-26.3,,True,,True,False,,,,,True,,True,,,True,,True,,False,,True,True,,True,True,,,,,,False,,,,,True
01015,726,377.0,,382.3,,380.0,394.0,,,,,241.2,,473.4,,,382.0,,262.3,,219.8,,387.0,392.5,,405.0,428.0,,,,,372.7,363.3,,,,,374.9,-349.0,,-343.7,,-346.0,-332.0,,,,,-484.8,,-252.6,,,-344.0,,-463.7,,-506.2,,-339.0,-333.5,,-321.0,-298.0,,,,,-353.3,-362.7,,,,,-351.1,,True,,True,True,,,,,False,,True,,,True,,False,,False,,True,True,,True,True,,,,,False,False,,,,,False
01017,133,99.0,,101.7,,93.0,105.0,,,,,54.0,,54.7,,,82.0,,138.9,,63.5,,64.0,66.4,,126.0,102.0,,,,,,98.2,,,,,92.6,-34.0,,-31.3,,-40.0,-28.0,,,,,-79.0,,-78.3,,,-51.0,,5.9,,-69.5,,-69.0,-66.6,,-7.0,-31.0,,,,,,-34.8,,,,,-40.4,,True,,False,True,,,,,False,,False,,,False,,True,,False,,False,False,,True,True,,,,,,False,,,,,False
01019,68,43.0,,42.6,,49.0,64.0,,,,,35.9,,40.8,,,80.0,,68.0,,51.3,,43.0,49.0,,57.0,61.0,,,,,,51.3,,,,,76.2,-25.0,,-25.4,,-19.0,-4.0,,,,,-32.1,,-27.2,,,12.0,,-0.0,,-16.7,,-25.0,-19.0,,-11.0,-7.0,,,,,,-16.7,,,,,8.2,,False,,True,True,,,,,False,,False,,,True,,True,,True,,False,True,,True,True,,,,,,True,,,,,True
