,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,3221326.4,7007120,-3785793.6,-54.0%
JCB-PRM,3201393.2,7007120,-3805726.8,-54.3%
Covid19Sim-Simulator,2850740.0,7007120,-4156380.0,-59.3%
COVIDhub-baseline,2684728.0,7007120,-4322392.0,-61.7%
USACE-ERDC_SEIR,2621663.9,7007120,-4385456.1,-62.6%
IBF-TimeSeries,2405322.0,7007120,-4601798.0,-65.7%
USC-SI_kJalpha,2208170.0,7007120,-4798950.0,-68.5%
JHUAPL-Bucky,2203246.8,7007120,-4803873.2,-68.6%
IowaStateLW-STEM,1910389.0,7007120,-5096731.0,-72.7%
UCLA-SuEIR,1725646.6,7007120,-5281473.4,-75.4%
