,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,994,595.0,,,,,,265.0,,402.0,341.2,,389.4,1081.0,-399.0,,,,,,-729.0,,-592.0,-652.8,,-604.6,87.0,,,,,,False,,False,False,,False,True
01003,3276,1120.0,,,,,,1207.0,,713.2,725.3,,972.6,0.0,-2156.0,,,,,,-2069.0,,-2562.8,-2550.7,,-2303.4,-3276.0,,,,,,True,,False,False,,False,False
01005,241,245.0,,,,,,116.0,,114.5,77.5,,,169.0,4.0,,,,,,-125.0,,-126.5,-163.5,,,-72.0,,,,,,False,,False,False,,,False
01007,500,343.0,,,,,,136.0,,294.0,186.0,,,589.0,-157.0,,,,,,-364.0,,-206.0,-314.0,,,89.0,,,,,,False,,False,False,,,True
01009,1444,721.0,,,,,,419.0,,446.8,537.8,,370.6,207.0,-723.0,,,,,,-1025.0,,-997.2,-906.2,,-1073.4,-1237.0,,,,,,False,,False,False,,False,False
01011,81,77.0,,,,,,46.0,,48.6,16.8,,,0.0,-4.0,,,,,,-35.0,,-32.4,-64.2,,,-81.0,,,,,,False,,False,False,,,False
01013,232,266.0,,,,,,102.0,,218.5,70.1,,,178.0,34.0,,,,,,-130.0,,-13.5,-161.9,,,-54.0,,,,,,False,,True,False,,,False
01015,2956,1701.0,,,,,,818.0,,1019.1,966.9,,1267.6,0.0,-1255.0,,,,,,-2138.0,,-1936.9,-1989.1,,-1688.4,-2956.0,,,,,,False,,False,False,,False,False
01017,640,168.0,,,,,,148.0,,190.3,26.6,,81.6,263.0,-472.0,,,,,,-492.0,,-449.7,-613.4,,-558.4,-377.0,,,,,,False,,True,False,,False,True
01019,384,329.0,,,,,,181.0,,241.5,85.4,,,233.0,-55.0,,,,,,-203.0,,-142.5,-298.6,,,-151.0,,,,,,False,,False,False,,,False
01021,583,462.0,,,,,,273.0,,331.6,239.1,,380.1,233.0,-121.0,,,,,,-310.0,,-251.4,-343.9,,-202.9,-350.0,,,,,,False,,False,False,,False,False
01023,54,77.0,,,,,,101.0,,49.8,15.7,,,57.0,23.0,,,,,,47.0,,-4.2,-38.3,,,3.0,,,,,,False,,True,False,,,True
01025,403,301.0,,,,,,219.0,,289.1,138.2,,149.9,65.0,-102.0,,,,,,-184.0,,-113.9,-264.8,,-253.1,-338.0,,,,,,False,,False,False,,False,False
01027,256,392.0,,,,,,66.0,,270.6,130.3,,,437.0,136.0,,,,,,-190.0,,14.6,-125.7,,,181.0,,,,,,False,,True,True,,,False
01029,299,336.0,,,,,,92.0,,312.3,168.1,,,134.0,37.0,,,,,,-207.0,,13.3,-130.9,,,-165.0,,,,,,False,,True,False,,,False
01031,1011,658.0,,,,,,265.0,,496.7,473.1,,417.4,371.0,-353.0,,,,,,-746.0,,-514.3,-537.9,,-593.6,-640.0,,,,,,False,,False,False,,False,False
01033,1626,553.0,,,,,,541.0,,426.7,237.7,,264.2,498.0,-1073.0,,,,,,-1085.0,,-1199.3,-1388.3,,-1361.8,-1128.0,,,,,,False,,False,False,,False,False
01035,181,49.0,,,,,,66.0,,33.5,5.0,0.0,,56.0,-132.0,,,,,,-115.0,,-147.5,-176.0,-181.0,,-125.0,,,,,,True,,False,False,False,,True
01037,190,63.0,,,,,,38.0,,67.9,20.9,0.0,,44.0,-127.0,,,,,,-152.0,,-122.1,-169.1,-190.0,,-146.0,,,,,,False,,True,False,False,,False
01039,720,693.0,,,,,,251.0,,493.7,228.9,0.2,324.7,266.0,-27.0,,,,,,-469.0,,-226.3,-491.1,-719.8,-395.3,-454.0,,,,,,False,,False,False,False,False,False
01041,153,147.0,,,,,,61.0,,116.6,46.7,0.0,,95.0,-6.0,,,,,,-92.0,,-36.4,-106.3,-153.0,,-58.0,,,,,,False,,False,False,False,,False
01043,2756,1232.0,,,,,,799.0,,900.8,408.9,3.3,533.6,1397.0,-1524.0,,,,,,-1957.0,,-1855.2,-2347.1,-2752.7,-2222.4,-1359.0,,,,,,False,,False,False,False,False,True
01045,900,434.0,,,,,,246.0,,218.7,248.5,0.4,369.5,149.0,-466.0,,,,,,-654.0,,-681.3,-651.5,-899.6,-530.5,-751.0,,,,,,False,,False,False,False,False,False
01047,540,112.0,,,,,,215.0,,94.2,13.4,0.1,64.8,123.0,-428.0,,,,,,-325.0,,-445.8,-526.6,-539.9,-475.2,-417.0,,,,,,True,,False,False,False,False,True
01049,2151,2044.0,,,,,,742.0,,1924.2,1620.9,391.5,1047.8,1119.0,-107.0,,,,,,-1409.0,,-226.8,-530.1,-1759.5,-1103.2,-1032.0,,,,,,False,,False,False,False,False,False
