,mean_rank
LNQ-ens1,9.5
COVIDhub-ensemble,10.2
CU-select,11.5
UCLA-SuEIR,11.7
LANL-GrowthRate,12.1
COVIDhub-baseline,12.5
USC-SI_kJalpha,13.0
UChicagoCHATTOPADHYAY-UnIT,13.1
CEID-Walk,13.2
Google_Harvard-CPF,14.0
OliverWyman-Navigator,14.3
Covid19Sim-Simulator,14.5
USACE-ERDC_SEIR,14.8
RobertWalraven-ESG,15.1
UVA-Ensemble,15.4
IQVIA_ACOE-STAN,15.5
IowaStateLW-STEM,15.6
JCB-PRM,16.0
OneQuietNight-ML,16.3
UMich-RidgeTfReg,16.4
MSRA-DeepST,16.8
DDS-NBDS,17.4
JHU_CSSE-DECOM,17.6
JHU_IDD-CovidSP,17.9
JHUAPL-Bucky,18.3
UCSB-ACTS,19.9
BPagano-RtDriven,20.5
Karlen-pypm,20.5
CovidAnalytics-DELPHI,20.8
TTU-squider,20.8
