,predicted_cases,actual_cases,error,perc_error
Karlen-pypm,4753390.0,5517463,-764073.0,-13.8%
LANL-GrowthRate,4119626.5,5517463,-1397836.5,-25.3%
Covid19Sim-Simulator,3519370.6,5517463,-1998092.4,-36.2%
QJHong-Encounter,3469781.4,5517463,-2047681.6,-37.1%
CU-select,3434725.0,5517463,-2082738.0,-37.7%
JHUAPL-Bucky,3324461.3,5517463,-2193001.7,-39.7%
BPagano-RtDriven,3088366.3,5517463,-2429096.7,-44.0%
Columbia_UNC-SurvCon,8078508.0,5517463,2561045.0,46.4%
JCB-PRM,2932704.9,5517463,-2584758.1,-46.8%
IBF-TimeSeries,2910177.0,5517463,-2607286.0,-47.3%
UCLA-SuEIR,2875787.3,5517463,-2641675.7,-47.9%
USC-SI_kJalpha,2841832.5,5517463,-2675630.5,-48.5%
COVIDhub-baseline,2743320.0,5517463,-2774143.0,-50.3%
IowaStateLW-STEM,2698209.0,5517463,-2819254.0,-51.1%
CovidAnalytics-DELPHI,1998349.0,5517463,-3519114.0,-63.8%
JHU_IDD-CovidSP,1733965.7,5517463,-3783497.3,-68.6%
