,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3140,160.1,45.8,550.4,0.0,15.6,122.7,18229.4
COVIDhub-ensemble,3141,174.7,50.0,616.5,0.0,18.0,130.0,20189.0
COVIDhub-baseline,3141,195.5,52.0,759.5,0.0,18.0,142.0,27378.0
CEID-Walk,3141,197.1,53.3,770.8,0.0,18.5,143.9,28263.5
OneQuietNight-ML,3134,203.7,59.0,747.4,0.0,21.0,156.0,25872.0
UChicagoCHATTOPADHYAY-UnIT,3093,204.3,63.3,614.4,0.0,26.3,166.8,18717.7
CU-select,3089,223.3,70.0,672.0,0.0,29.0,180.0,17212.0
JHU_IDD-CovidSP,3139,239.6,85.1,829.5,0.0,33.4,208.0,30706.3
FAIR-NRAR,3136,239.8,67.5,780.8,0.0,24.1,176.7,23665.2
LANL-GrowthRate,3104,245.6,67.0,654.7,0.0,24.0,193.0,12505.0
UVA-Ensemble,3131,248.0,59.9,738.0,0.0,21.0,170.3,13405.3
OliverWyman-Navigator,3041,248.9,69.0,740.1,0.0,25.0,201.0,20122.0
IowaStateLW-STEM,3103,250.3,68.0,1083.6,0.0,25.0,178.0,44607.0
Google_Harvard-CPF,3140,297.6,62.2,1534.6,0.0,22.0,176.6,48133.4
JHUAPL-Bucky,3141,477.1,99.7,1819.9,0.0,35.0,312.1,47728.0
