,predicted_cases,actual_cases,error,perc_error
TTU-squider,1365819.9,1363518,2301.9,0.2%
BPagano-RtDriven,1351743.5,1363518,-11774.5,-0.9%
Geneva-DetGrowth,1320611.5,1363518,-42906.5,-3.1%
OneQuietNight-ML,1320388.0,1363518,-43130.0,-3.2%
JCB-PRM,1408971.5,1363518,45453.5,3.3%
Karlen-pypm,1306550.2,1363518,-56967.8,-4.2%
OliverWyman-Navigator,1278581.0,1363518,-84937.0,-6.2%
QJHong-Encounter,1270855.0,1363518,-92663.0,-6.8%
JHUAPL-Bucky,1246570.5,1363518,-116947.5,-8.6%
IowaStateLW-STEM,1246500.0,1363518,-117018.0,-8.6%
JHU_CSSE-DECOM,1225109.0,1363518,-138409.0,-10.2%
DDS-NBDS,1223674.6,1363518,-139843.4,-10.3%
UMich-RidgeTfReg,1199536.8,1363518,-163981.2,-12.0%
UVA-Ensemble,1562116.2,1363518,198598.2,14.6%
IQVIA_ACOE-STAN,1161098.0,1363518,-202420.0,-14.8%
LANL-GrowthRate,1157821.5,1363518,-205696.5,-15.1%
Covid19Sim-Simulator,1156724.7,1363518,-206793.3,-15.2%
UCF-AEM,1151797.0,1363518,-211721.0,-15.5%
COVIDhub-ensemble,1148850.0,1363518,-214668.0,-15.7%
MSRA-DeepST,1144716.5,1363518,-218801.5,-16.0%
COVIDhub-baseline,1140385.0,1363518,-223133.0,-16.4%
USC-SI_kJalpha,1140043.0,1363518,-223475.0,-16.4%
CEID-Walk,1120137.6,1363518,-243380.4,-17.8%
CU-select,1114614.0,1363518,-248904.0,-18.3%
UCLA-SuEIR,1113283.0,1363518,-250235.0,-18.4%
IBF-TimeSeries,1104789.0,1363518,-258729.0,-19.0%
LNQ-ens1,1100520.3,1363518,-262997.7,-19.3%
UChicagoCHATTOPADHYAY-UnIT,1077445.9,1363518,-286072.1,-21.0%
CovidAnalytics-DELPHI,1655255.0,1363518,291737.0,21.4%
Columbia_UNC-SurvCon,1017235.0,1363518,-346283.0,-25.4%
USACE-ERDC_SEIR,983161.6,1363518,-380356.4,-27.9%
RobertWalraven-ESG,943978.3,1363518,-419539.7,-30.8%
JHU_IDD-CovidSP,893264.2,1363518,-470253.8,-34.5%
Google_Harvard-CPF,,1363518,,
UCSB-ACTS,,1363518,,
